at	word	L_patient	S_patient	X_patient	L_type	S_type	L_status	S_status	X_status	destination	row_status
f83r.2:10	chedy	f83r.1:6	f83r.3:7	f83r.3:7	shedy	lchedy	COMPLETE	COMPLETE	COMPLETE	NONE	recorded
f83r.4:2	chedy	f83r.3:7	f83r.4:7	f83r.4:7	lchedy	shedy	COMPLETE	COMPLETE	COMPLETE	NONE	recorded
f83r.4:9	chedy	f83r.4:7	f83r.5:6	f83r.5:6	shedy	shedy	COMPLETE	COMPLETE	COMPLETE	NONE	recorded
f83r.6:6	chedy	f83r.5:6	f83r.6:8	NONE	shedy	lchedy	COMPLETE	COMPLETE	MISSING_MATERIAL	NONE	recorded
f83r.6:7	qokeedy	f83r.5:6	f83r.6:8	f83r.6:8	shedy	lchedy	COMPLETE	COMPLETE	COMPLETE	f83r.6:5	recorded
f83r.8:5	chedy	f83r.6:8	NONE	NONE	lchedy	NONE	COMPLETE	MISSING_MATERIAL	MISSING_MATERIAL	NONE	recorded
f83r.14:2	qokeedy	f83r.13:3	f83r.14:3	f83r.14:3	shedy	shedy	COMPLETE	COMPLETE	COMPLETE	f83r.11:3	recorded
f83r.16:5	chedy	f83r.15:9	NONE	NONE	lchedy	NONE	COMPLETE	MISSING_MATERIAL	MISSING_MATERIAL	NONE	recorded
f83r.21:5	chedy	f83r.19:11	f83r.23:4	NONE	lchedy	shedy	COMPLETE	COMPLETE	MISSING_MATERIAL	NONE	recorded
f83r.22:3	qokeedy	f83r.19:11	f83r.23:4	NONE	lchedy	shedy	MISSING_VESSEL	MISSING_VESSEL	MISSING_MATERIAL_AND_VESSEL	NONE	recorded
f83r.22:5	chedy	f83r.19:11	f83r.23:4	f83r.23:4	lchedy	shedy	COMPLETE	COMPLETE	COMPLETE	NONE	recorded
f83r.23:9	chedy	f83r.23:4	f83r.24:6	f83r.24:6	shedy	shedy	COMPLETE	COMPLETE	COMPLETE	NONE	recorded
f83r.25:1	qokeedy	NONE	f83r.26:5	NONE	NONE	shedy	MISSING_MATERIAL_AND_VESSEL	MISSING_VESSEL	MISSING_MATERIAL_AND_VESSEL	NONE	recorded
f83r.25:5	chedy	NONE	f83r.26:5	f83r.26:5	NONE	shedy	MISSING_MATERIAL	COMPLETE	COMPLETE	NONE	recorded
f83r.27:2	chedy	f83r.26:5	f83r.28:5	NONE	shedy	shedy	COMPLETE	COMPLETE	MISSING_MATERIAL	NONE	recorded
f83r.27:3	qokeedy	f83r.26:5	f83r.28:5	f83r.28:5	shedy	shedy	MISSING_VESSEL	MISSING_VESSEL	MISSING_VESSEL	NONE	recorded
f83r.30:3	qokeedy	f83r.28:5	NONE	NONE	shedy	NONE	MISSING_VESSEL	MISSING_MATERIAL_AND_VESSEL	MISSING_MATERIAL_AND_VESSEL	NONE	recorded
f83r.42:5	chedy	f83r.41:2	f83r.44:2	NONE	lchedy	shedy	COMPLETE	COMPLETE	MISSING_MATERIAL	NONE	recorded
f83r.43:3	chedy	f83r.41:2	f83r.44:2	f83r.44:2	lchedy	shedy	COMPLETE	COMPLETE	COMPLETE	NONE	recorded
f83r.49:3	chedy	NONE	NONE	NONE	NONE	NONE	MISSING_MATERIAL	MISSING_MATERIAL	MISSING_MATERIAL	NONE	recorded
