record	locus	at	word	version	render	read_status	row_status
F83_P1	f83r.1	f83r.1:1	tchedy	S	[tchedy — offen]	OPEN	recorded
F83_P1	f83r.1	f83r.1:2	lpchedy	S	[lpchedy — offen]	OPEN	recorded
F83_P1	f83r.1	f83r.1:3	opedy	S	[opedy — offen]	OPEN	recorded
F83_P1	f83r.1	f83r.1:4	chepol	S	[chepol — offen]	OPEN	recorded
F83_P1	f83r.1	f83r.1:5	pchedar	S	[pchedar — offen]	OPEN	recorded
F83_P1	f83r.1	f83r.1:6	shedy	S	Flüssigkeit	HYPOTHESIS	recorded
F83_P1	f83r.1	f83r.1:7	qopchedy	S	[qopchedy — offen]	OPEN	recorded
F83_P1	f83r.2	f83r.2:1	sol	S	[sol — offen]	OPEN	recorded
F83_P1	f83r.2	f83r.2:2	cheey	S	[cheey — offen]	OPEN	recorded
F83_P1	f83r.2	f83r.2:3	qokaiin	S	Gefäß	HYPOTHESIS	recorded
F83_P1	f83r.2	f83r.2:4	shol	S	[shol — offen]	OPEN	recorded
F83_P1	f83r.2	f83r.2:5	lchs	S	[lchs — offen]	OPEN	recorded
F83_P1	f83r.2	f83r.2:6	shey	S	[shey — offen]	OPEN	recorded
F83_P1	f83r.2	f83r.2:7	qoteedy	S	[qoteedy — offen]	OPEN	recorded
F83_P1	f83r.2	f83r.2:8	rches	S	[rches — offen]	OPEN	recorded
F83_P1	f83r.2	f83r.2:9	ar	S	[ar — offen]	OPEN	recorded
F83_P1	f83r.2	f83r.2:10	chedy	S	erwärme Zusatzstoff@f83r.3:7; COMPLETE	HYPOTHESIS	recorded
F83_P1	f83r.2	f83r.2:11	dor	S	[dor — offen]	OPEN	recorded
F83_P1	f83r.3	f83r.3:1	olkeedy	S	[olkeedy — offen]	OPEN	recorded
F83_P1	f83r.3	f83r.3:2	qotal	S	[qotal — offen]	OPEN	recorded
F83_P1	f83r.3	f83r.3:3	chkeedy	S	[chkeedy — offen]	OPEN	recorded
F83_P1	f83r.3	f83r.3:4	chey	S	[chey — offen]	OPEN	recorded
F83_P1	f83r.3	f83r.3:5	daiin	S	[daiin — offen]	OPEN	recorded
F83_P1	f83r.3	f83r.3:6	chey	S	[chey — offen]	OPEN	recorded
F83_P1	f83r.3	f83r.3:7	lchedy	S	Zusatzstoff	HYPOTHESIS	recorded
F83_P1	f83r.3	f83r.3:8	qokaiin	S	Gefäß	HYPOTHESIS	recorded
F83_P1	f83r.3	f83r.3:9	qotal	S	[qotal — offen]	OPEN	recorded
F83_P1	f83r.3	f83r.3:10	dar	S	[dar — offen]	OPEN	recorded
F83_P1	f83r.4	f83r.4:1	qokshedy	S	[qokshedy — offen]	OPEN	recorded
F83_P1	f83r.4	f83r.4:2	chedy	S	erwärme Flüssigkeit@f83r.4:7; COMPLETE	HYPOTHESIS	recorded
F83_P1	f83r.4	f83r.4:3	qokedy	S	[qokedy — offen]	OPEN	recorded
F83_P1	f83r.4	f83r.4:4	chkedy	S	[chkedy — offen]	OPEN	recorded
F83_P1	f83r.4	f83r.4:5	daiin	S	[daiin — offen]	OPEN	recorded
F83_P1	f83r.4	f83r.4:6	shetar	S	[shetar — offen]	OPEN	recorded
F83_P1	f83r.4	f83r.4:7	shedy	S	Flüssigkeit	HYPOTHESIS	recorded
F83_P1	f83r.4	f83r.4:8	qekaiin	S	[qekaiin — offen]	OPEN	recorded
F83_P1	f83r.4	f83r.4:9	chedy	S	erwärme Flüssigkeit@f83r.5:6; COMPLETE	HYPOTHESIS	recorded
F83_P1	f83r.5	f83r.5:1	deey	S	[deey — offen]	OPEN	recorded
F83_P1	f83r.5	f83r.5:2	qotaiin	S	[qotaiin — offen]	OPEN	recorded
F83_P1	f83r.5	f83r.5:3	checkhy	S	[checkhy — offen]	OPEN	recorded
F83_P1	f83r.5	f83r.5:4	qoty	S	[qoty — offen]	OPEN	recorded
F83_P1	f83r.5	f83r.5:5	cheg	S	[cheg — offen]	OPEN	recorded
F83_P1	f83r.5	f83r.5:6	shedy	S	Flüssigkeit	HYPOTHESIS	recorded
F83_P1	f83r.5	f83r.5:7	qokeey	S	[qokeey — offen]	OPEN	recorded
F83_P1	f83r.5	f83r.5:8	rchedy	S	[rchedy — offen]	OPEN	recorded
F83_P1	f83r.5	f83r.5:9	qoteedy	S	[qoteedy — offen]	OPEN	recorded
F83_P1	f83r.5	f83r.5:10	lo	S	[lo — offen]	OPEN	recorded
F83_P1	f83r.6	f83r.6:1	schedy	S	[schedy — offen]	OPEN	recorded
F83_P1	f83r.6	f83r.6:2	chedchy	S	[chedchy — offen]	OPEN	recorded
F83_P1	f83r.6	f83r.6:3	qokal	S	[qokal — offen]	OPEN	recorded
F83_P1	f83r.6	f83r.6:4	olchedy	S	[olchedy — offen]	OPEN	recorded
F83_P1	f83r.6	f83r.6:5	qokaiin	S	Gefäß	HYPOTHESIS	recorded
