record	locus	at	word	version	group	patient	patient_word	destination	binding	status	intervening_groups	intervening_open	row_status
F83_P1	f83r.2	f83r.2:10	chedy	S	F83_P1_G2	f83r.3:7	lchedy	NONE	BOUND	COMPLETE	7	7	recorded
F83_P1	f83r.4	f83r.4:2	chedy	S	F83_P1_G3	f83r.4:7	shedy	NONE	BOUND	COMPLETE	4	4	recorded
F83_P1	f83r.4	f83r.4:9	chedy	S	F83_P1_G4	f83r.5:6	shedy	NONE	BOUND	COMPLETE	5	5	recorded
F83_P1	f83r.6	f83r.6:6	chedy	S	F83_P1_G5	f83r.6:8	lchedy	NONE	BOUND	COMPLETE	1	0	recorded
F83_P1	f83r.6	f83r.6:7	qokeedy	S	F83_P1_G5	f83r.6:8	lchedy	f83r.6:5	BOUND	COMPLETE	0	0	recorded
F83_P1	f83r.8	f83r.8:5	chedy	S	F83_P1_G6	NONE	NONE	NONE	NO_RIGHT_MATERIAL	MISSING_MATERIAL	NA	NA	recorded
F83_P2	f83r.14	f83r.14:2	qokeedy	S	F83_P2_G4	f83r.14:3	shedy	f83r.11:3	BOUND	COMPLETE	0	0	recorded
F83_P2	f83r.16	f83r.16:5	chedy	S	F83_P2_G7	NONE	NONE	NONE	NO_RIGHT_MATERIAL	MISSING_MATERIAL	NA	NA	recorded
F83_P3	f83r.21	f83r.21:5	chedy	S	F83_P3_G5	f83r.23:4	shedy	NONE	BOUND	COMPLETE	17	15	recorded
F83_P3	f83r.22	f83r.22:3	qokeedy	S	F83_P3_G5	f83r.23:4	shedy	NONE	BOUND	MISSING_VESSEL	9	8	recorded
F83_P3	f83r.22	f83r.22:5	chedy	S	F83_P3_G5	f83r.23:4	shedy	NONE	BOUND	COMPLETE	7	7	recorded
F83_P3	f83r.23	f83r.23:9	chedy	S	F83_P3_G6	f83r.24:6	shedy	NONE	BOUND	COMPLETE	5	5	recorded
F83_P4	f83r.25	f83r.25:1	qokeedy	S	F83_P4_G1	f83r.26:5	shedy	NONE	BOUND	MISSING_VESSEL	9	8	recorded
F83_P4	f83r.25	f83r.25:5	chedy	S	F83_P4_G1	f83r.26:5	shedy	NONE	BOUND	COMPLETE	5	5	recorded
F83_P4	f83r.27	f83r.27:2	chedy	S	F83_P4_G2	f83r.28:5	shedy	NONE	BOUND	COMPLETE	7	6	recorded
F83_P4	f83r.27	f83r.27:3	qokeedy	S	F83_P4_G2	f83r.28:5	shedy	NONE	BOUND	MISSING_VESSEL	6	6	recorded
F83_P4	f83r.30	f83r.30:3	qokeedy	S	F83_P4_G3	NONE	NONE	NONE	NO_RIGHT_MATERIAL	MISSING_MATERIAL_AND_VESSEL	NA	NA	recorded
F83_P5	f83r.42	f83r.42:5	chedy	S	F83_P5_G6	f83r.44:2	shedy	NONE	BOUND	COMPLETE	7	6	recorded
F83_P5	f83r.43	f83r.43:3	chedy	S	F83_P5_G6	f83r.44:2	shedy	NONE	BOUND	COMPLETE	3	3	recorded
F83_Q1	f83r.49	f83r.49:3	chedy	S	F83_Q1_G1	NONE	NONE	NONE	NO_RIGHT_MATERIAL	MISSING_MATERIAL	NA	NA	recorded
