statement_id	page	record	phase_signature	nearest_macro	nearest_macro_signature	edit_distance	edit_operations	learning_mode	complete_expansion_de
H1-S001	f10r	H1	MATERIAL_PREP>ROUTE>MATERIAL_PREP>SPECIALIST>MATERIAL_PREP	WM01	ROUTE>CLOSE	4	INSERT_MATERIAL_PREP|INSERT_MATERIAL_PREP|INSERT_SPECIALIST|SUBSTITUTE_CLOSE_WITH_MATERIAL_PREP	FREE_COMPOSITION	abnehmen → übertragen → ablaufen lassen → eintragen + abnehmen → Pflanzenstoff in den Ansatz geben → eintragen
H1-S002	f10r	H1	SPECIALIST>MATERIAL_PREP	WM10	MATERIAL_PREP	1	INSERT_SPECIALIST	SIMPLE_ONE_EDIT_VARIANT	Pflanzenstoff in den Ansatz geben → abnehmen
H2-S003	f10r	H2	MEASURE_CHARGE>MATERIAL_PREP	WM04	MEASURE_CHARGE	1	INSERT_MATERIAL_PREP	SIMPLE_ONE_EDIT_VARIANT	zugeben → zugeben → abziehen
H3-S001	f11r	H3	MATERIAL_PREP>HOLD>MATERIAL_PREP>HOLD>MEASURE_CHARGE>HOLD>MATERIAL_PREP>CLOSE	WM05	MEASURE_CHARGE>HOLD>CLOSE	5	INSERT_MATERIAL_PREP|INSERT_HOLD|INSERT_MATERIAL_PREP|INSERT_HOLD|INSERT_MATERIAL_PREP	FREE_COMPOSITION	eintragen + halten → an Ort halten → auswringen → ziehen lassen → hineingeben → ziehen lassen → abschließend eintragen + abziehen
H3-S002	f11r	H3	HOLD>MATERIAL_PREP	WM02	HOLD>CLOSE	1	SUBSTITUTE_CLOSE_WITH_MATERIAL_PREP	SIMPLE_ONE_EDIT_VARIANT	halten + eintragen
H4-S002	f55v	H4	MEASURE_CHARGE>SETTLE	WM04	MEASURE_CHARGE	1	INSERT_SETTLE	SIMPLE_ONE_EDIT_VARIANT	abmessen und umsetzen → verwahren
H4-S003	f55v	H4	MEASURE_CHARGE>MATERIAL_PREP>THERMAL>CLOSE	WM05	MEASURE_CHARGE>HOLD>CLOSE	2	INSERT_MATERIAL_PREP|SUBSTITUTE_HOLD_WITH_THERMAL	EXTENDED_TWO_EDIT_VARIANT	dosiert zugeben → entnehmen → temperieren
H4-S004	f55v	H4	APPLY>MATERIAL_PREP	WM10	MATERIAL_PREP	1	INSERT_APPLY	SIMPLE_ONE_EDIT_VARIANT	anlegen → eintragen
H5-S001	f56r	H5	MATERIAL_PREP>ROUTE>MATERIAL_PREP>SPECIALIST	WM01	ROUTE>CLOSE	3	INSERT_MATERIAL_PREP|INSERT_MATERIAL_PREP|SUBSTITUTE_CLOSE_WITH_SPECIALIST	FREE_COMPOSITION	abziehen → zuführen → abziehen → Pflanzenstoff in den Ansatz geben
H5-S002	f56r	H5	APPLY>ROUTE>CLOSE	WM01	ROUTE>CLOSE	1	INSERT_APPLY	SIMPLE_ONE_EDIT_VARIANT	anlegen → ablaufen lassen
H5-S003	f56r	H5	HOLD>MEASURE_CHARGE	WM02	HOLD>CLOSE	1	SUBSTITUTE_CLOSE_WITH_MEASURE_CHARGE	SIMPLE_ONE_EDIT_VARIANT	ziehen lassen → zugeben → einsetzen + einsetzen
H5-S004	f56r	H5	SPECIALIST>MATERIAL_PREP>ROUTE	WM10	MATERIAL_PREP	2	INSERT_SPECIALIST|INSERT_ROUTE	EXTENDED_TWO_EDIT_VARIANT	Pflanzenstoff in den Ansatz geben → ansetzen + abziehen → zuführen
H5-S005	f56r	H5	SPECIALIST>MEASURE_CHARGE	WM04	MEASURE_CHARGE	1	INSERT_SPECIALIST	SIMPLE_ONE_EDIT_VARIANT	ansetzen → zugeben
B1-S002	f81v	B1	MEASURE_CHARGE>ROUTE>APPLY>MEASURE_CHARGE>THERMAL>ROUTE>HOLD>APPLY>ROUTE>CLOSE	WM13	ROUTE>MEASURE_CHARGE>ROUTE>CLOSE	6	INSERT_MEASURE_CHARGE|INSERT_APPLY|INSERT_THERMAL|INSERT_ROUTE|INSERT_HOLD|INSERT_APPLY	FREE_COMPOSITION	bis zum Sollmaß beschicken → einspeisen → anlegen → dosiert zugeben → dosiert zugeben → abkühlen lassen → führen → zurückhalten → anlegen → durchleiten
B1-S003	f81v	B1	HOLD>MEASURE_CHARGE>ROUTE>CLOSE	WM06	MEASURE_CHARGE>ROUTE>CLOSE	1	INSERT_HOLD	SIMPLE_ONE_EDIT_VARIANT	halten + zugeben + überführen
B1-S006	f81v	B1	MEASURE_CHARGE>ROUTE>THERMAL	WM06	MEASURE_CHARGE>ROUTE>CLOSE	1	SUBSTITUTE_CLOSE_WITH_THERMAL	SIMPLE_ONE_EDIT_VARIANT	eine Portion einfüllen → durchleiten → abkühlen lassen
B1-S012	f81v	B1	WASH>HOLD>WASH>CLOSE	WM02	HOLD>CLOSE	2	INSERT_WASH|INSERT_WASH	EXTENDED_TWO_EDIT_VARIANT	waschen → wirken lassen → durchwaschen
B1-S013	f81v	B1	WASH>CLOSE	WM01	ROUTE>CLOSE	1	SUBSTITUTE_ROUTE_WITH_WASH	SIMPLE_ONE_EDIT_VARIANT	durchwaschen
B1-S014	f81v	B1	ROUTE>SETTLE>ROUTE	WM14	ROUTE>SETTLE>CLOSE	1	SUBSTITUTE_CLOSE_WITH_ROUTE	SIMPLE_ONE_EDIT_VARIANT	umschöpfen → auffangen → hinleiten + umfüllen
B1-S016	f81v	B1	APPLY>HOLD>SETTLE>CLOSE	WM09	HOLD>SETTLE>CLOSE	1	INSERT_APPLY	SIMPLE_ONE_EDIT_VARIANT	anlegen → wirken lassen → absetzen lassen
B1-S018	f81v	B1	ROUTE>HOLD>SETTLE>HOLD>CLOSE	WM09	HOLD>SETTLE>CLOSE	2	INSERT_ROUTE|INSERT_HOLD	EXTENDED_TWO_EDIT_VARIANT	führen → stehen lassen → auffangen und stehen lassen
B1-S021	f81v	B1	STATE_ONLY	WM04	MEASURE_CHARGE	1	SUBSTITUTE_MEASURE_CHARGE_WITH_STATE_ONLY	SIMPLE_ONE_EDIT_VARIANT	NO_EXPLICIT_ACTION_CARD
B2-S004	f82r	B2	APPLY>ROUTE>SPECIALIST>HOLD>ROUTE>CLOSE	WM13	ROUTE>MEASURE_CHARGE>ROUTE>CLOSE	3	INSERT_APPLY|INSERT_SPECIALIST|SUBSTITUTE_MEASURE_CHARGE_WITH_HOLD	FREE_COMPOSITION	anlegen → durchleiten → führen + umsetzen → wirken lassen → durchleiten
B2-S005	f82r	B2	APPLY>SETTLE>ROUTE>HOLD>ROUTE>CLOSE	WM13	ROUTE>MEASURE_CHARGE>ROUTE>CLOSE	3	INSERT_APPLY|INSERT_SETTLE|SUBSTITUTE_MEASURE_CHARGE_WITH_HOLD	FREE_COMPOSITION	anlegen → bis zum Maß auffangen → einleiten → einleiten → warm halten → abführen
B2-S006	f82r	B2	APPLY>HOLD>MEASURE_CHARGE	WM02	HOLD>CLOSE	2	INSERT_APPLY|SUBSTITUTE_CLOSE_WITH_MEASURE_CHARGE	EXTENDED_TWO_EDIT_VARIANT	anlegen → zurückhalten → den Arbeitsstoff einsetzen
B2-S010	f82r	B2	HOLD>MEASURE_CHARGE>HOLD	WM02	HOLD>CLOSE	2	INSERT_MEASURE_CHARGE|SUBSTITUTE_CLOSE_WITH_HOLD	EXTENDED_TWO_EDIT_VARIANT	wirken lassen → den Arbeitsstoff einsetzen → stehen lassen
B2-S012	f82r	B2	ROUTE>MATERIAL_PREP>HOLD>ROUTE>MEASURE_CHARGE>CLOSE	WM13	ROUTE>MEASURE_CHARGE>ROUTE>CLOSE	3	INSERT_MATERIAL_PREP|SUBSTITUTE_MEASURE_CHARGE_WITH_HOLD|INSERT_MEASURE_CHARGE	FREE_COMPOSITION	führen + abnehmen → stehen lassen → wirken lassen → führen → vollständig beschicken und abschließen
B2-S016	f82r	B2	ROUTE>MATERIAL_PREP>MEASURE_CHARGE>HOLD>MEASURE_CHARGE>ROUTE>CLOSE	WM13	ROUTE>MEASURE_CHARGE>ROUTE>CLOSE	3	INSERT_MATERIAL_PREP|INSERT_MEASURE_CHARGE|INSERT_HOLD	FREE_COMPOSITION	ableiten + umfüllen → abnehmen + abteilen → bis zum Sollmaß beschicken → wirken lassen → einfüllen + überführen
B3-S001	f83r	B3	SETTLE>HOLD>CLOSE	WM02	HOLD>CLOSE	1	INSERT_SETTLE	SIMPLE_ONE_EDIT_VARIANT	auffangen und stehen lassen
B3-S002	f83r	B3	THERMAL>CLOSE	WM01	ROUTE>CLOSE	1	SUBSTITUTE_ROUTE_WITH_THERMAL	SIMPLE_ONE_EDIT_VARIANT	anwärmen
B3-S003	f83r	B3	ROUTE>MEASURE_CHARGE>CLOSE	WM01	ROUTE>CLOSE	1	INSERT_MEASURE_CHARGE	SIMPLE_ONE_EDIT_VARIANT	abführen + abmessen und umsetzen
B3-S006	f83r	B3	ROUTE>APPLY>ROUTE>CLOSE	WM13	ROUTE>MEASURE_CHARGE>ROUTE>CLOSE	1	SUBSTITUTE_MEASURE_CHARGE_WITH_APPLY	SIMPLE_ONE_EDIT_VARIANT	umschöpfen → anlegen → in die nächste Station weitergeben
B3-S007	f83r	B3	MEASURE_CHARGE>ROUTE>HOLD>CLOSE	WM05	MEASURE_CHARGE>HOLD>CLOSE	1	INSERT_ROUTE	SIMPLE_ONE_EDIT_VARIANT	bis zum Sollmaß beschicken → umschöpfen → einwirken lassen
B3-S011	f83r	B3	HOLD>SPECIALIST>MEASURE_CHARGE>ROUTE	WM02	HOLD>CLOSE	3	INSERT_SPECIALIST|INSERT_MEASURE_CHARGE|SUBSTITUTE_CLOSE_WITH_ROUTE	FREE_COMPOSITION	halten + umsetzen → den Arbeitsstoff einsetzen → umschöpfen
B3-S021	f83r	B3	MEASURE_CHARGE>SETTLE>HOLD>ROUTE>CLOSE	WM05	MEASURE_CHARGE>HOLD>CLOSE	2	INSERT_SETTLE|INSERT_ROUTE	EXTENDED_TWO_EDIT_VARIANT	bis zum Sollmaß beschicken → ablagern → stehen lassen → umfüllen
B3-S026	f83r	B3	ROUTE>MEASURE_CHARGE>THERMAL>SETTLE>HOLD>CLOSE	WM05	MEASURE_CHARGE>HOLD>CLOSE	3	INSERT_ROUTE|INSERT_THERMAL|INSERT_SETTLE	FREE_COMPOSITION	ableiten → umschöpfen → eine Portion einfüllen → abkühlen lassen → auffangen und stehen lassen
B4-S003	f83r	B4	ROUTE>APPLY>MEASURE_CHARGE>SETTLE>CLOSE	WM08	MEASURE_CHARGE>SETTLE>CLOSE	2	INSERT_ROUTE|INSERT_APPLY	EXTENDED_TWO_EDIT_VARIANT	umschöpfen → anlegen → den Arbeitsstoff einsetzen → absetzen lassen
B4-S004	f83r	B4	MEASURE_CHARGE>APPLY>CLOSE	WM05	MEASURE_CHARGE>HOLD>CLOSE	1	SUBSTITUTE_HOLD_WITH_APPLY	SIMPLE_ONE_EDIT_VARIANT	einsetzen + festbinden
B4-S011	f83r	B4	HOLD>MEASURE_CHARGE>ROUTE>MEASURE_CHARGE>CLOSE	WM06	MEASURE_CHARGE>ROUTE>CLOSE	2	INSERT_HOLD|INSERT_MEASURE_CHARGE	EXTENDED_TWO_EDIT_VARIANT	warm halten → wirken lassen → eine Portion einfüllen → umschöpfen → abführen + zugeben
B4-S015	f83r	B4	MEASURE_CHARGE>HOLD>MEASURE_CHARGE>ROUTE>SETTLE>ROUTE>CLOSE	WM05	MEASURE_CHARGE>HOLD>CLOSE	4	INSERT_MEASURE_CHARGE|INSERT_ROUTE|INSERT_SETTLE|INSERT_ROUTE	FREE_COMPOSITION	eine Portion einfüllen → stehen lassen → dosiert zugeben → ablaufen lassen → auffangen → abführen + überführen
B4-S016	f83r	B4	MEASURE_CHARGE>ROUTE>SETTLE>CLOSE	WM06	MEASURE_CHARGE>ROUTE>CLOSE	1	INSERT_SETTLE	SIMPLE_ONE_EDIT_VARIANT	dosiert zugeben → zuführen → absetzen lassen
B5-S003	f83r	B5	SETTLE>ROUTE>MEASURE_CHARGE	WM01	ROUTE>CLOSE	2	INSERT_SETTLE|SUBSTITUTE_CLOSE_WITH_MEASURE_CHARGE	EXTENDED_TWO_EDIT_VARIANT	ablagern → hinleiten → umfüllen → abmessen und umsetzen
B6-S001	f83r	B6	SETTLE>MEASURE_CHARGE>THERMAL>ROUTE	WM03	SETTLE>CLOSE	3	INSERT_MEASURE_CHARGE|INSERT_THERMAL|SUBSTITUTE_CLOSE_WITH_ROUTE	FREE_COMPOSITION	auffangen → zugeben → abkühlen lassen → hinleiten
