variant_rule_no	edit_operation	statements	teaching_rule_de
V01	INSERT_APPLY	3	füge Anwendung ein
V02	INSERT_SETTLE	3	füge Absetzen ein
V03	INSERT_SPECIALIST	2	füge Fachhandlung ein
V04	INSERT_HOLD	1	füge Halten ein
V05	INSERT_MATERIAL_PREP	1	füge Abziehen ein
V06	INSERT_MEASURE_CHARGE	1	füge Maß/Teil ein
V07	INSERT_ROUTE	1	füge Führen/Umsetzen ein
V08	SUBSTITUTE_CLOSE_WITH_MATERIAL_PREP	1	ersetze Schluss durch Abziehen
V09	SUBSTITUTE_CLOSE_WITH_MEASURE_CHARGE	1	ersetze Schluss durch Maß/Teil
V10	SUBSTITUTE_CLOSE_WITH_ROUTE	1	ersetze Schluss durch Führen/Umsetzen
V11	SUBSTITUTE_CLOSE_WITH_THERMAL	1	ersetze Schluss durch Wärmen/Kühlen
V12	SUBSTITUTE_HOLD_WITH_APPLY	1	ersetze Halten durch Anwendung
V13	SUBSTITUTE_MEASURE_CHARGE_WITH_APPLY	1	ersetze Maß/Teil durch Anwendung
V14	SUBSTITUTE_MEASURE_CHARGE_WITH_STATE_ONLY	1	ersetze Maß/Teil durch Zustand
V15	SUBSTITUTE_ROUTE_WITH_THERMAL	1	ersetze Führen/Umsetzen durch Wärmen/Kühlen
V16	SUBSTITUTE_ROUTE_WITH_WASH	1	ersetze Führen/Umsetzen durch Waschen
