page	locus	reader	proposal	source_text	literal_json	confidence
f31r	f31r.12	zl3b_clean	IF_AIR_IS_COLD	qoaiin yches okedy sheey chedaiin dar	"[""[qoaiin]"", ""[yches]"", ""[okedy]"", ""[sheey]"", ""ist?"", ""[dar]""]"	C0_COMPLETION_MOTIVATED_NOT_WORD_EVIDENCE
f31r	f31r.12	zl3b_clean	WITH_UNNAMED_CONTENT	qoaiin yches okedy sheey chedaiin dar	"[""[qoaiin]"", ""[yches]"", ""[okedy]"", ""[sheey]"", ""[chedaiin]"", ""[dar]""]"	C0_COMPLETION_MOTIVATED_NOT_WORD_EVIDENCE
f31r	f31r.12	it2a_clean	IF_AIR_IS_COLD	qoaiin yches okedy sheey chedaiin dar	"[""[qoaiin]"", ""[yches]"", ""[okedy]"", ""[sheey]"", ""ist?"", ""[dar]""]"	C0_COMPLETION_MOTIVATED_NOT_WORD_EVIDENCE
f31r	f31r.12	it2a_clean	WITH_UNNAMED_CONTENT	qoaiin yches okedy sheey chedaiin dar	"[""[qoaiin]"", ""[yches]"", ""[okedy]"", ""[sheey]"", ""[chedaiin]"", ""[dar]""]"	C0_COMPLETION_MOTIVATED_NOT_WORD_EVIDENCE
f31r	f31r.12	rf1b_clean	IF_AIR_IS_COLD	qoaiin ches okedy sheey chedaiin dar	"[""[qoaiin]"", ""[ches]"", ""[okedy]"", ""[sheey]"", ""ist?"", ""[dar]""]"	C0_COMPLETION_MOTIVATED_NOT_WORD_EVIDENCE
f31r	f31r.12	rf1b_clean	WITH_UNNAMED_CONTENT	qoaiin ches okedy sheey chedaiin dar	"[""[qoaiin]"", ""[ches]"", ""[okedy]"", ""[sheey]"", ""[chedaiin]"", ""[dar]""]"	C0_COMPLETION_MOTIVATED_NOT_WORD_EVIDENCE
f66r	f66r.80	zl3b_clean	IF_AIR_IS_COLD	daiin shey qoteoly raiin sheedy shcthy lkeol qokol dkar	"[""[daiin]"", ""[shey]"", ""[qoteoly]"", ""[raiin]"", ""wenn?"", ""[shcthy]"", ""[lkeol]"", ""[qokol]"", ""[dkar]""]"	C0_COMPLETION_MOTIVATED_NOT_WORD_EVIDENCE
f66r	f66r.80	zl3b_clean	WITH_UNNAMED_CONTENT	daiin shey qoteoly raiin sheedy shcthy lkeol qokol dkar	"[""[daiin]"", ""[shey]"", ""[qoteoly]"", ""[raiin]"", ""mit?"", ""[shcthy]"", ""[lkeol]"", ""[qokol]"", ""[dkar]""]"	C0_COMPLETION_MOTIVATED_NOT_WORD_EVIDENCE
f66r	f66r.80	it2a_clean	IF_AIR_IS_COLD	daiin shey qoteoly raiin sheedy shcthy lkeol qokol dkar	"[""[daiin]"", ""[shey]"", ""[qoteoly]"", ""[raiin]"", ""wenn?"", ""[shcthy]"", ""[lkeol]"", ""[qokol]"", ""[dkar]""]"	C0_COMPLETION_MOTIVATED_NOT_WORD_EVIDENCE
f66r	f66r.80	it2a_clean	WITH_UNNAMED_CONTENT	daiin shey qoteoly raiin sheedy shcthy lkeol qokol dkar	"[""[daiin]"", ""[shey]"", ""[qoteoly]"", ""[raiin]"", ""mit?"", ""[shcthy]"", ""[lkeol]"", ""[qokol]"", ""[dkar]""]"	C0_COMPLETION_MOTIVATED_NOT_WORD_EVIDENCE
