page	locus	kind	paragraph_start	paragraph_end	readings_json
f31r	f31r.12	P	0	0	"{""zl3b_clean"": ""qoaiin yches okedy sheey chedaiin dar"", ""it2a_clean"": ""qoaiin yches okedy sheey chedaiin dar"", ""rf1b_clean"": ""qoaiin ches okedy sheey chedaiin dar""}"
f66r	f66r.80	P	0	0	"{""zl3b_clean"": ""daiin shey qoteoly raiin sheedy shcthy lkeol qokol dkar"", ""it2a_clean"": ""daiin shey qoteoly raiin sheedy shcthy lkeol qokol dkar"", ""rf1b_clean"": ""daiin shey qoteoly raiin sheedy shcthy lkeol qokol dkar""}"
f67r2	f67r2.39	P	0	0	"{""zl3b_clean"": ""sor chedaiin dy"", ""it2a_clean"": ""sor chedaiin dy"", ""rf1b_clean"": ""sor che iin dy""}"
f70v2	f70v2.21	C	0	0	"{""zl3b_clean"": ""daii amdy otar am aral otair chedaiin oteey dair shchey daiin chalaly oteody chotol chedy oteotey oteeeor ar alody daiir oteedar oteey teey dalal cheoltey oteedy sheeteey okeeol ykeeos shey ykair arar alos"", ""it2a_clean"": ""daimdy otar am ar al otard chedaiin otchy dair shchey daiin chalaly oteody chotol chedy oteatey otcheor ar alody daiir oteedar otchy tchy dal al cheoltey oteedy sheeteey s hs keeol ykeeos shey okear ar ar alos"", ""rf1b_clean"": ""daii amdy otar am aral otair chedaiin oteey dair shchey daiin chalaly oteody chotol che y oteotey oteeeor ar alo y aiir otee ar oteey teey dalal cheoltey oteedy sheeteey sh okeeol akeeos shey ykair arar alos""}"
f72r3	f72r3.1	C	0	0	"{""zl3b_clean"": ""okeey chekoy oteo ykeey chedaiin okeeol cheeor chocthar ar oteody oteedy okeolaiin oteey okarar teo sheol al alaiiin okeos alaiin okor o keodar okee s ar aiin chekackhy chokees oteedy chekar okar choly ches os oiin okeeey cheey ches okeody chealdy shocthy choteey sheoly eol sheey chorain"", ""it2a_clean"": ""okeey cheky oteo ykeey chedaiin okeeol cheeor chocthar ar oteody oteedy okeolaiin oteey okarar dy sheol al alaiiin okeos olaiin okos okeoar otes sar aiin chekaithhy chokees oteedy chekar okar ch ches os oiin okeeey cheey ches oteody cheal dy shocthy choteey ereoly oheol sheey chorain"", ""rf1b_clean"": ""okeey chekoy oteo keey chedaiin okeeol cheeor chocthar ar oteody otee y okeolaiin oteey okarar a teo sheol al alaiiin okeos olaiin okor o keodar okee sar aiin chekackhy chokees oteedy che ar okar chaly ches os oiin okeeey cheey ches oteody cheal y shocthy chotay sheoly cheol sheey chorain""}"
f72r3	f72r3.14	C	0	0	"{""zl3b_clean"": ""otochedy otey o koey sheedy oteodar ykeolol y air oteos cheo l aiin ykeeoly otaiin shear oiiin oral o tealy cheokeor oteody oes otees chteos doteey sosor oteol shol cheeg okeody eol shey sheysy shoteey cheor yoeteey okeeol chy okeeo ykoly"", ""it2a_clean"": ""otochedy otal okoey sheedy oteodar ykeolal ya r oteos cheolaiin ykeeoly otaiin shear oiin or o oa sheokeor oteody oekes otees oeteos dotsey seor oteol shol cheem okeody sheol shey sheysy sho teey cheor yoeteey okeeoy chy okeeo ykoly"", ""rf1b_clean"": ""otochedy otey o eey shee y oteodar ykeolal yair oteos cheolaiin ykee ly otaiin shear oiiin oral y kealy cheokeor oteody oes otees chteos doteey sosor oteol shol cheeg okeo y eol shey sheysy shoteey cheor yoeteey okeeol chy okeeo ykoly""}"
f75r	f75r.5	P	0	0	"{""zl3b_clean"": ""shey kar chey ckhey r ain ol olsheedy qokeey qoky"", ""it2a_clean"": ""shey kar chey ckhey r ain ol ol sheedy qokeey qoky"", ""rf1b_clean"": ""sheykar chey ckhey r ain ol ol sheedy qokeey qoky""}"
f75r	f75r.16	P	0	0	"{""zl3b_clean"": ""dshedy qokar sheedy lch shokain chy okshedy qokain chedy"", ""it2a_clean"": ""dshedy qokar sheedy lch shokain chy otshedy qokain chedy"", ""rf1b_clean"": ""dshedy qokar sheedy lch shokain chy okedy qokain chedy""}"
f75r	f75r.18	P	0	0	"{""zl3b_clean"": ""sol sheedy qol shedy qol otain char sar oly"", ""it2a_clean"": ""sol sheedy qol shedy qol otain char sar oly"", ""rf1b_clean"": ""sol sheedy qol shedy qol otain char s r oly""}"
f75r	f75r.28	P	0	0	"{""zl3b_clean"": ""tchedy pchedy qokeey sol oldair shecthy qol l sheedy qokeedy lolchedy"", ""it2a_clean"": ""tchedy pchedy qokeey sol ol dair shecthy qol l sheedy qokeedy lol chedy"", ""rf1b_clean"": ""tchedy pchedy qokeey sol oldair shecthy qol l shee y qokeedy lolchedy""}"
