page	locus	reader	world	source_text	literal_json	confidence
f77r	f77r.25	zl3b_clean	V_BECOMES	otedy qokar shedy qokal shedar dal chedy daror	"[""Quelle?"", ""[qokar]"", ""[shedy]"", ""[qokal]"", ""[shedar]"", ""[dal]"", ""wird?"", ""[daror]""]"	C0_UNCONFIRMED
f77r	f77r.25	zl3b_clean	B_BECOMES	otedy qokar shedy qokal shedar dal chedy daror	"[""Quelle?"", ""[qokar]"", ""[shedy]"", ""[qokal]"", ""[shedar]"", ""[dal]"", ""wird?"", ""[daror]""]"	C0_UNCONFIRMED
f77r	f77r.25	zl3b_clean	V_CONTAINS	otedy qokar shedy qokal shedar dal chedy daror	"[""Quelle?"", ""[qokar]"", ""[shedy]"", ""[qokal]"", ""[shedar]"", ""[dal]"", ""enthält?"", ""[daror]""]"	C0_UNCONFIRMED
f77r	f77r.25	zl3b_clean	B_CONTAINS	otedy qokar shedy qokal shedar dal chedy daror	"[""Quelle?"", ""[qokar]"", ""[shedy]"", ""[qokal]"", ""[shedar]"", ""[dal]"", ""enthält?"", ""[daror]""]"	C0_UNCONFIRMED
f77r	f77r.25	it2a_clean	V_BECOMES	otedy qokor shedy qokal shedar dal chedy daror	"[""Quelle?"", ""[qokor]"", ""[shedy]"", ""[qokal]"", ""[shedar]"", ""[dal]"", ""wird?"", ""[daror]""]"	C0_UNCONFIRMED
f77r	f77r.25	it2a_clean	B_BECOMES	otedy qokor shedy qokal shedar dal chedy daror	"[""Quelle?"", ""[qokor]"", ""[shedy]"", ""[qokal]"", ""[shedar]"", ""[dal]"", ""wird?"", ""[daror]""]"	C0_UNCONFIRMED
f77r	f77r.25	it2a_clean	V_CONTAINS	otedy qokor shedy qokal shedar dal chedy daror	"[""Quelle?"", ""[qokor]"", ""[shedy]"", ""[qokal]"", ""[shedar]"", ""[dal]"", ""enthält?"", ""[daror]""]"	C0_UNCONFIRMED
f77r	f77r.25	it2a_clean	B_CONTAINS	otedy qokor shedy qokal shedar dal chedy daror	"[""Quelle?"", ""[qokor]"", ""[shedy]"", ""[qokal]"", ""[shedar]"", ""[dal]"", ""enthält?"", ""[daror]""]"	C0_UNCONFIRMED
f77r	f77r.25	rf1b_clean	V_BECOMES	otedy qokor shedy qokal shedar dal chedy daror	"[""Quelle?"", ""[qokor]"", ""[shedy]"", ""[qokal]"", ""[shedar]"", ""[dal]"", ""wird?"", ""[daror]""]"	C0_UNCONFIRMED
f77r	f77r.25	rf1b_clean	B_BECOMES	otedy qokor shedy qokal shedar dal chedy daror	"[""Quelle?"", ""[qokor]"", ""[shedy]"", ""[qokal]"", ""[shedar]"", ""[dal]"", ""wird?"", ""[daror]""]"	C0_UNCONFIRMED
