page	locus	reader	pattern	first_ordinal	last_ordinal	words_json
f72r3	f72r3.26	zl3b_clean	EXACT_CHEDY_DUPLICATE	20	21	"[""chedy"", ""chedy""]"
f72r3	f72r3.26	it2a_clean	EXACT_CHEDY_DUPLICATE	20	21	"[""chedy"", ""chedy""]"
f75r	f75r.16	zl3b_clean	CONTACT_DISTANCE_1	8	9	"[""qokain"", ""chedy""]"
f75r	f75r.16	it2a_clean	CONTACT_DISTANCE_1	8	9	"[""qokain"", ""chedy""]"
f75r	f75r.16	rf1b_clean	CONTACT_DISTANCE_1	8	9	"[""qokain"", ""chedy""]"
f75r	f75r.22	zl3b_clean	CONTACT_DISTANCE_1	3	4	"[""qokain"", ""chedy""]"
f75r	f75r.22	it2a_clean	CONTACT_DISTANCE_1	3	4	"[""qokain"", ""chedy""]"
f75r	f75r.22	rf1b_clean	CONTACT_DISTANCE_1	3	4	"[""qokain"", ""chedy""]"
f75r	f75r.33	zl3b_clean	CONTACT_DISTANCE_1	6	7	"[""chedy"", ""qokain""]"
f75r	f75r.33	it2a_clean	CONTACT_DISTANCE_1	4	5	"[""chedy"", ""qokain""]"
f76r	f76r.23	zl3b_clean	CONTACT_DISTANCE_2	3	5	"[""chedy"", ""chedy"", ""qokain""]"
f76r	f76r.23	zl3b_clean	EXACT_CHEDY_DUPLICATE	3	4	"[""chedy"", ""chedy""]"
f76r	f76r.23	zl3b_clean	CONTACT_DISTANCE_1	4	5	"[""chedy"", ""qokain""]"
f76r	f76r.23	it2a_clean	CONTACT_DISTANCE_2	3	5	"[""chedy"", ""chedy"", ""qokain""]"
f76r	f76r.23	it2a_clean	EXACT_CHEDY_DUPLICATE	3	4	"[""chedy"", ""chedy""]"
f76r	f76r.23	it2a_clean	CONTACT_DISTANCE_1	4	5	"[""chedy"", ""qokain""]"
f77r	f77r.35	zl3b_clean	CONTACT_DISTANCE_1	3	4	"[""chedy"", ""qokain""]"
f77r	f77r.35	it2a_clean	CONTACT_DISTANCE_1	3	4	"[""chedy"", ""qokain""]"
f77r	f77r.35	rf1b_clean	CONTACT_DISTANCE_1	3	4	"[""chedy"", ""qokain""]"
f83r	f83r.16	zl3b_clean	CONTACT_DISTANCE_1	5	6	"[""chedy"", ""qokain""]"
f83r	f83r.16	it2a_clean	CONTACT_DISTANCE_1	5	6	"[""chedy"", ""qokain""]"
