component_id	surface	segment	working_value_de	evidence_path	evidence_kind	licensed_use
G643-B01	cheodain	ch+e	trocken, attributiv/resultativ	experiments/yolo/gdt633_cth_interfix_semantic_contrasts/REPORT.md	DRY_E_BINDING	inside exact cheodain only
G643-B02	cheodain	o	Ansatz/Zubereitung	experiments/yolo/gdt633_cth_interfix_semantic_contrasts/REPORT.md	PREPARATION_HEAD	inside exact cheodain only
G643-B03	cheodain	d+ain	Dosis-/Wertstufe II	experiments/yolo/gdt627_value_head_role_atlas/REPORT.md	D_VALUE_II	inside exact cheodain only
G643-B04	oiin	o	Ansatz/Zubereitung	experiments/yolo/gdt633_cth_interfix_semantic_contrasts/REPORT.md	PREPARATION_HEAD	inside exact oiin only
G643-B05	oiin	iin	Form III	experiments/yolo/gdt636_residual_four_head_semantics/artifacts/WORKING_DICTIONARY_V13.tsv	FORM_III_REMAINDER	inside exact oiin only
G643-B06	choky	ch+o	Trockenansatz	experiments/yolo/gdt639_strict_hole_component_repair/REPORT.md	DRY_PREPARATION	inside exact choky only
G643-B07	choky	k	heiß	experiments/yolo/gdt624_productive_quality_shell_grid/artifacts/GRID_CELLS.tsv	HOT_QUALITY	inside exact choky only
G643-B08	choky	y	Grundform	experiments/yolo/gdt624_productive_quality_shell_grid/artifacts/GRID_CELLS.tsv	BASE_FORM	inside exact choky only
G643-B09	soysar	s+o+y	Samenzubereitung, Grundform	experiments/yolo/gdt636_residual_four_head_semantics/REPORT.md	SEED_PREPARATION_BASE	inside exact soysar only
G643-B10	soysar	s+ar	Samenfraktion I	experiments/yolo/gdt636_residual_four_head_semantics/artifacts/WORKING_DICTIONARY_V13.tsv	SEED_FRACTION_I	inside exact soysar only
G643-B11	kcheedy	k+ch	heiß-trocken	experiments/yolo/gdt624_productive_quality_shell_grid/artifacts/GRID_CELLS.tsv	HOT_DRY_QUALITY	inside exact kcheedy only
G643-B12	kcheedy	ee	erweiterte Bindung / Stufe II	experiments/yolo/gdt633_cth_interfix_semantic_contrasts/REPORT.md	E_LENGTH_II	inside exact kcheedy only
G643-B13	kcheedy	d+y	Zustandsabschluss	experiments/yolo/gdt624_productive_quality_shell_grid/artifacts/GRID_CELLS.tsv	STATE_CLOSURE	inside exact kcheedy only
