audit_id	round	surface	page	locus	section	language	hand	token_ordinal	line_position	previous	following	zl3b_line	it2a_line	rf1b_line	reader_support	reader_support_note	reader_exact	split_normalized	before_state	before_gloss	after_gloss	known_other_tokens	clean_known_other_tokens	local_before_de	local_after_de	flags	thermal_reader_rival	hard_collision	verdict	review_reason
G643-A01-001	1	cheodain	f104r	f104r.32	S	B	3	9	MEDIAL	lkaiin	qokar	ysheeody qocth okshey otechshy cheol kaiin shoda lkaiin cheodain qokar alchd	ysheeody qoete okshey otechshy cheol kaiin shoda lkaiin cheodain qokar alchd	ysheeody qocth okshey otechshy cheol taiin shoda lkaiin cheo ain qokar alchd	READER_VARIANT	one or more readers change the target beyond boundary normalization	0	0	UNKNOWN_SURFACE	[cheodain:?]	Trockenansatz, Dosis II	3	2	[ysheeody:?] | [qocth:?] | [okshey:?] | [otechshy:?] | trockener Drogenstoff | heiß, Grad III | [shoda:?] | [lkaiin:?] | [cheodain:?] | heiße Portion | [alchd:?]	[ysheeody:?] | [qocth:?] | [okshey:?] | [otechshy:?] | trockener Drogenstoff | heiß, Grad III | [shoda:?] | [lkaiin:?] | Trockenansatz, Dosis II | heiße Portion | [alchd:?]	READER_VARIANT	0	0	READER_VARIANT_WARNING	one or more readers change the target beyond boundary normalization
G643-A01-002	1	cheodain	f106v	f106v.45	S	B	3	3	MEDIAL	okeey	chey	ysair okeey cheodain chey tchar oqotaiin oty rasal oteey sar aildy	ysoir okeey cheodain chey tchar oqotaiin oty raral oteey sar aildy	ysair okeey cheodain chey tchar oqotaiin oty raral oteey sar aildy	ALL_THREE_EXACT	all three readers retain the exact token	1	1	UNKNOWN_SURFACE	[cheodain:?]	Trockenansatz, Dosis II	3	3	[ysair:?] | heißer Ansatz, Bindungsstufe II | [cheodain:?] | [chey:?] | [tchar:?] | [oqotaiin:?] | kalter Ansatz, Grundform | [rasal:?] | [oteey:?] | Samenfraktion I | [aildy:?]	[ysair:?] | heißer Ansatz, Bindungsstufe II | Trockenansatz, Dosis II | [chey:?] | [tchar:?] | [oqotaiin:?] | kalter Ansatz, Grundform | [rasal:?] | [oteey:?] | Samenfraktion I | [aildy:?]	NONE	0	0	CLEAN_CONTEXT_COMPATIBLE	complete reading fits at least two clean already glossed companion positions
G643-A01-003	1	cheodain	f111v	f111v.24	S	B	3	1	INITIAL	<BOS>	qokar	cheodain qokar otain chedy lkain chey shckhy qokl chedy qokar chctham	cheodain qokar otain chedy lkain chey shckhy qokl chedy qokar chctham	cheodain qokar otain chedy lkain chey shckhy qokl che qokar chctham	ALL_THREE_EXACT	all three readers retain the exact token	1	1	UNKNOWN_SURFACE	[cheodain:?]	Trockenansatz, Dosis II	5	4	[cheodain:?] | heiße Portion | kalt im Zubereitungsrahmen, Grad II | getrockneter Zustand | [lkain:?] | [chey:?] | [shckhy:?] | [qokl:?] | getrockneter Zustand | heiße Portion | [chctham:?]	Trockenansatz, Dosis II | heiße Portion | kalt im Zubereitungsrahmen, Grad II | getrockneter Zustand | [lkain:?] | [chey:?] | [shckhy:?] | [qokl:?] | getrockneter Zustand | heiße Portion | [chctham:?]	NONE	0	0	CLEAN_CONTEXT_COMPATIBLE	complete reading fits at least two clean already glossed companion positions
G643-A01-004	1	cheodain	f115r	f115r.25	S	B	@	2	MEDIAL	y	cheey	y cheodain cheey qotchedy qokeeody choar cheey	y cheodain cheey qotchedy qokeeody choar cheey	y cheodain cheey qotchedy qokeeody choar cheey	ALL_THREE_EXACT	all three readers retain the exact token	1	1	UNKNOWN_SURFACE	[cheodain:?]	Trockenansatz, Dosis II	0	0	[y:?] | [cheodain:?] | [cheey:?] | [qotchedy:?] | [qokeeody:?] | [choar:?] | [cheey:?]	[y:?] | Trockenansatz, Dosis II | [cheey:?] | [qotchedy:?] | [qokeeody:?] | [choar:?] | [cheey:?]	FEWER_THAN_TWO_CLEAN_COMPANIONS	0	0	OPAQUE_OR_UNSTABLE_CONTEXT	all-reader exact target but fewer than two clean already glossed companion positions
G643-A01-005	1	cheodain	f115v	f115v.25	S	B	3	6	MEDIAL	ain	chcthy	ykees aiin olkeeody qos ain cheodain chcthy tchedy qokeedy lkeedas	ykees aiin olkeeody qos ain cheodain chcthy tchedy qokeedy lkeedor	ykees aiin olkeeody qos ain cheodain chcthy tchedy qokee y lkeedas	ALL_THREE_EXACT	all three readers retain the exact token	1	1	UNKNOWN_SURFACE	[cheodain:?]	Trockenansatz, Dosis II	4	3	[ykees:?] | Menge III | [olkeeody:?] | [qos:?] | Menge-/Klassenwert II | [cheodain:?] | trockene CTH-Materialform; im Herbal trockenes Blatt-/Krautgut | [tchedy:?] | heißer Zustand, Bindungsstufe II | [lkeedas:?]	[ykees:?] | Menge III | [olkeeody:?] | [qos:?] | Menge-/Klassenwert II | Trockenansatz, Dosis II | trockene CTH-Materialform; im Herbal trockenes Blatt-/Krautgut | [tchedy:?] | heißer Zustand, Bindungsstufe II | [lkeedas:?]	NONE	0	0	CLEAN_CONTEXT_COMPATIBLE	complete reading fits at least two clean already glossed companion positions
G643-A01-006	1	cheodain	f51v	f51v.13	H	A	1	3	FINAL	cheol	<EOS>	daiin cheol cheodain	daiin cheol cheodain	daiin cheol cheodain	ALL_THREE_EXACT	all three readers retain the exact token	1	1	UNKNOWN_SURFACE	[cheodain:?]	Trockenansatz, Dosis II	2	2	Grad-/Maßwert III | trockener Drogenstoff | [cheodain:?]	Grad-/Maßwert III | trockener Drogenstoff | Trockenansatz, Dosis II	NONE	0	0	CLEAN_CONTEXT_COMPATIBLE	complete reading fits at least two clean already glossed companion positions
G643-A01-007	1	cheodain	f86v3	f86v3.16	C	B	2	4	MEDIAL	qokshey	ykched	dcheody skeeody qokshey cheodain ykched sar aldy	dcheody skeeody qokshey chodain ykched raraldy	dcheody skeeo y qokshey cheo ain ykched saral y	READER_VARIANT	one or more readers change the target beyond boundary normalization	0	0	UNKNOWN_SURFACE	[cheodain:?]	Trockenansatz, Dosis II	1	0	[dcheody:?] | [skeeody:?] | [qokshey:?] | [cheodain:?] | [ykched:?] | Samenfraktion I | [aldy:?]	[dcheody:?] | [skeeody:?] | [qokshey:?] | Trockenansatz, Dosis II | [ykched:?] | Samenfraktion I | [aldy:?]	READER_VARIANT|FEWER_THAN_TWO_CLEAN_COMPANIONS	0	0	READER_VARIANT_WARNING	one or more readers change the target beyond boundary normalization
G643-A01-008	1	cheodain	f89r1	f89r1.23	P	A	1	4	MEDIAL	cheody	daiin	dain oteos cheody cheodain daiin chodaiin	dain oteor cheody cheodain daiin chodaiin	dain oteos cheody cheojain daiin chodaiin	READER_VARIANT	one or more readers change the target beyond boundary normalization	0	0	UNKNOWN_SURFACE	[cheodain:?]	Trockenansatz, Dosis II	3	3	Grad-/Maßwert II | [oteos:?] | getrockneter Ansatz | [cheodain:?] | Grad-/Maßwert III | [chodaiin:?]	Grad-/Maßwert II | [oteos:?] | getrockneter Ansatz | Trockenansatz, Dosis II | Grad-/Maßwert III | [chodaiin:?]	READER_VARIANT	0	0	READER_VARIANT_WARNING	one or more readers change the target beyond boundary normalization
G643-A02-001	2	oiin	f102v2	f102v2.21	P	A	1	8	MEDIAL	os	oeees	ycheey s od eey okeeor cheol os oiin oeees okear chey keey saiin oteo	ycheey s odeeeey okeeor cheol or oiin oeees okear chey keey saiin oteos	ycheey s odeey okeeor cheol os oiin oeees okear chey keey s aiin oteo	ALL_THREE_EXACT	all three readers retain the exact token	1	1	UNKNOWN_SURFACE	[oiin:?]	Zubereitungsform III	2	1	[ycheey:?] | [s:?] | [od:?] | [eey:?] | [okeeor:?] | trockener Drogenstoff | [os:?] | [oiin:?] | [oeees:?] | [okear:?] | [chey:?] | [keey:?] | Samen/Saatgut, Typ/Charge III | [oteo:?]	[ycheey:?] | [s:?] | [od:?] | [eey:?] | [okeeor:?] | trockener Drogenstoff | [os:?] | Zubereitungsform III | [oeees:?] | [okear:?] | [chey:?] | [keey:?] | Samen/Saatgut, Typ/Charge III | [oteo:?]	FEWER_THAN_TWO_CLEAN_COMPANIONS	0	0	OPAQUE_OR_UNSTABLE_CONTEXT	all-reader exact target but fewer than two clean already glossed companion positions
G643-A02-002	2	oiin	f105r	f105r.30	S	B	3	4	MEDIAL	dar	y	oleedar aiildy dar oiin y teey tair cheody qokolky cheolkary	oleedar aiildy dar oiin yteey tair cheody qokolky cheolkary	ol eed ar aiildy dar oiin y teey tair cheody qokolky cheolkary	ALL_THREE_EXACT	all three readers retain the exact token	1	1	UNKNOWN_SURFACE	[oiin:?]	Zubereitungsform III	1	1	[oleedar:?] | [aiildy:?] | [dar:?] | [oiin:?] | [y:?] | [teey:?] | [tair:?] | getrockneter Ansatz | [qokolky:?] | [cheolkary:?]	[oleedar:?] | [aiildy:?] | [dar:?] | Zubereitungsform III | [y:?] | [teey:?] | [tair:?] | getrockneter Ansatz | [qokolky:?] | [cheolkary:?]	FEWER_THAN_TWO_CLEAN_COMPANIONS	0	0	OPAQUE_OR_UNSTABLE_CONTEXT	all-reader exact target but fewer than two clean already glossed companion positions
