source_id	source_type	public_url	locator	publication_or_source_date	accessed_date	inspected_claim	limits
L52_CATALOGUE	HUMAN_CATALOGUE_METADATA	https://e-codices.unifr.ch/en/description/bcuf/L0052/Jurot	Jurot 2006 pp.108-116; catalogue contents ff.8r-9r	Catalogue 2006; manuscript beginning of fifteenth century	2026-09-05	Southern Germany possibly Zurich; ff.8r-9r attributed to Guibert of Tournai Easter sermon Schneyer II p.285 no.36 with different ending; contemporary German glosses reported elsewhere	Catalogue attribution not independently reconstructed; no precise composition date; no shared hand or Voynich relation
L52_FACSIMILE	OFFICIAL_HISTORICAL_FACSIMILE_PAGE	https://www.e-codices.unifr.ch/en/bcuf/L0052/8v	MS L52 f.8v main-text lines18-19 counted from first written main-text line	Manuscript beginning of fifteenth century; facsimile release date not separately verified	2026-09-05	Official page resolves the inspected historical f.8v image; ointment oil and balsam sentence occurs in homiletic context	Page metadata obtained directly; web text viewer incomplete; reading rests on official IIIF images below; no Voynich image
L52_FULL_VIEW	OFFICIAL_IIIF_IMAGE	https://www.e-codices.ch/loris/bcuf/bcuf-L0052/bcuf-L0052_008v.jp2/full/1000,/0/default.jpg	Complete f.8v; main-text line-count coordinate	Manuscript beginning of fifteenth century; image date not separately verified	2026-09-05	Native direct visual inspection locates phrase at main-text lines18-19 within passage about anointing	AI visual assessment not independent human annotation; no OCR; no image redistribution; no lexical transfer
L52_PHRASE_DETAIL	OFFICIAL_IIIF_REGION	https://www.e-codices.ch/loris/bcuf/bcuf-L0052/bcuf-L0052_008v.jp2/pct:20,41,70,25/1400,/0/default.jpg	F.8v detail spanning the target and surrounding lines; target main-text lines18-19	Manuscript beginning of fifteenth century; image date not separately verified	2026-09-05	Normalized expanded Latin in companion memo authenticated visually; oil shines and balsam gives off fragrance; abbreviated lucet ending visible	Expanded normalized reading not diplomatic transcription; abbreviation comparator only; no same hand authorial bridge bilingual equivalence or Voynich meaning
CELT_CLARY_BROOM	EDITED_HISTORICAL_PRIMARY_TEXT	https://celt.ucc.ie/published/G600006.html	Chapters144 and150; Irish pp.175 and179; English pp.552 and556	Historical text; edition date not independently checked in this source-only audit	2026-09-05	Coordinating agent directly verified primary text: clary and broom with bathing have opposite flow effects	Contextual counterexamples only; no Voynich plant identification depicted flow direction word meaning or translation; separate follow-up memo supplies interpretation
MEDIMANUS_LATIN9333	HISTORICAL_SOURCE_EDITION	https://medimanus.chs.harvard.edu/app/en/pharmantica/tacuinum_sanitatis	Latin9333 f.34v	Historical manuscript; dating not independently checked in this source-only audit	2026-09-05	Coordinating agent directly verified primary source presentation separating name and constitution fields	Historical record-architecture comparator only; no Voynich field assignment plant identification word meaning or translation; separate follow-up memo supplies interpretation
MACER_POSTPOSED_INTENSITY	EDITED_MEDIEVAL_PRIMARY_TEXT	https://celt.ucc.ie/published/G600006.html	Latin comparanda chapter242 pp.417-418; Macer Satureia verse843	Medieval Latin literary text; no dated circa1420 manuscript witness established here	2026-09-05	Postposed qualitative intensity fervida valde; coordinating agent directly verified source	Not adjacent doubled valde; actual1415 Irish entry uses hot dry degreeIII; no Voynich word identity or plant match
LATIN9333_SCALAR_RANGE	HISTORICAL_SOURCE_EDITION	https://medimanus.chs.harvard.edu/app/en/pharmantica/tacuinum_sanitatis	F071v F077v F097r	Manuscript1445-1450 or earlier	2026-09-05	Same multum surface expresses quantity and verbal or adjectival intensity	Nominal agreement and variable order;not invariant Voynichpostfix Latinidentity or fourcellkey
REGIMEN_FOUR_GRADES_AND_DOSE	CRITICAL_PRIMARY_TEXT_EDITION	https://uvadoc.uva.es/bitstream/handle/10324/10581/Minerva-2010-23-regimen-sanitatis-safernitanum.pdf?sequence=1	DeFrutosGonzalez2010 p163 vv1090-1095	Add12190 and Sloane351 broadly15thcentury	2026-09-05	Four effect-defined grades followed by distinct dose and weight sections	Not narrowlypre1450;not four interchangeable intensifiers or Voynichglyphs
PETRUS_GRADE_QUANTITY	EDITED_HISTORICAL_PRIMARY_TEXT	https://upload.wikimedia.org/wikipedia/commons/4/44/Neue_litterarische_Beitr%C3%A4ge_zur_mittelalterlichen_Medicin_%28IA_39002086313427.med.yale.edu%29.pdf	Pagel1896 pp56-57	Work14thcentury;BnFlat14734 witness15thcentury	2026-09-05	Four qualitygrades with three internalpositions;quantity increasinggrade explicitlyleftopen	Printedordinalabbreviations notmanuscriptglyphs;nominimkey
