passage_id	locus	surface	target_ordinal	historical_preference	focus_display_de	interpretive_note_de
G786-P01	f58r.39	salol	8	TIE	Drogenzubereitung	Droge-Kompositum und gelernte Zubereitung bleiben gleichwertig; Salz gewinnt nichts.
G786-P02	f58v.9	salal	1	TIE	Drogenmaterial I	Namensanfang passt, aber Stolfi setzt keinen sal|al-Schnitt.
G786-P03	f66r.7	salf	1	LEARNED_WHOLE	Drogenname	Einzelzeilige Randkennung; f hat keinen Restwert.
G786-P04	f75r.52	saldy	1	LEARNED_WHOLE	Fertigdroge	Einzelzeilige ownerlokale Abschlusskarte; dy ist nicht suffixfähig.
G786-P05	f80r.16	saltar	9	DRUG_COMPOSITE	kalter Drogenanteil I	tar liefert die stärkste Kalt-/Anteil-Lesung; kein besonderes Salzsignal.
G786-P06	f80v.7	saly	6	LEARNED_WHOLE	Arzneidroge	Zwischen gegensätzlichen Zustandsfeldern; y bleibt unbestimmt.
G786-P07	f81v.15	salshcthdy	5	LEARNED_WHOLE	feuchte Fertigdroge	Feucht-/Trockenfeld erlaubt diese Ganzwortlesung, aber keine interne Zerlegung.
G786-P08	f87r.11	saldal	4	DRUG_COMPOSITE	abgemessene Rohdroge	Freies dal in derselben Zeile liefert das sauberste Restwert-Echo.
G786-P09	f89r1.25	saldam	1	LEARNED_WHOLE	Pflanzendroge	Ownergebundene GDT585-Namensstruktur ist der stärkste Kompositionsgegenfall; Blatt und Wurzel bleiben Kontext, nicht Wortbedeutung.
G786-P10	f99r.5	salo	1	LEARNED_WHOLE	Arzneidroge	Einzelzeilige geschlossene Bezeichnung; o hat keinen portablen Stoffwert.
G786-P11	f106v.17	salar	1	TIE	Drogenanteil I	ar-Anteil und gelernter Fraktionsname bleiben gleichwertig.
G786-P12	f111r.29	salkeedy	1	DRUG_COMPOSITE	erhitzte Fertigdroge	Stabiler keedy-Restwert und folgende Qualitätsreihe.
G786-P13	f116r.3	saly	9	LEARNED_WHOLE	Arzneidroge	Nach qo plausibles nominales Objekt, aber kein y-Modifikator.
G786-P14	f116r.23	salo	12	LEARNED_WHOLE	Arzneidroge	Stoff-/Zubereitungsfeld möglich; die o-Bedeutung bleibt offen.
