surface	remainder	primary_geometry	independent_remainder_role	preferred_mechanism	practical_default_de	drug_composite_de	learned_whole_rival_de	salt_rival_de	working_confidence	positive_evidence_de	counterevidence_de
salal	al	1	MATERIAL_I_C1	LEARNED_WHOLE_WITH_COMPOSITE_RIVAL	Drogenmaterial I	Droge, Materialklasse I	gelernter Arzneidrogenname	Salz, Materialklasse I	C0_REPLACEABLE_WHOLE	Initiales Namensfeld vor Qualitäts- und Gradfeldern; al besitzt eine Material-I-Ganzwortrolle.	Stolfi schreibt s,alal statt sal.al; der interne Schnitt wird gerade nicht bestätigt.
salar	ar	1	PART_OR_MATERIAL_I_C1	TIE_DRUG_COMPOSITE_OR_LEARNED_WHOLE	Drogenanteil I	Drogenanteil I	benannte Arzneidroge oder Fraktion	Salzanteil I	C0_REPLACEABLE_WHOLE	ar besitzt eine Anteil-I-Ganzwortrolle; die Zeile führt anschließend Wärme- und Gradfelder.	Ein exaktes Vorkommen; ar wurde nicht als gebundenes Suffix bestätigt.
saldal	dal	1	MEASURED_RAW_MATERIAL_W1	FORM_SPECIFIC_DRUG_COMPOSITE	abgemessene Rohdroge	abgemessene Rohdroge	benannte abgemessene Drogenform	abgemessenes Rohsalz	C1_FORM_SPECIFIC_WHOLE	Freies dal steht in derselben Zeile; Maß-/Rohstoffrolle und Feuchtfeld bilden ein direktes lokales Echo.	Ein exaktes Vorkommen; freie sal-Komponente bleibt unbewiesen.
saldam	dam	1	MEASURE_W1_WITH_OWNER_NAME_COUNTEREVIDENCE	LEARNED_WHOLE_OWNER_BOUND	Pflanzendroge	Droge, Maß I	gelernter pflanzengebundener Drogenname	Salz- oder Solemaß I	C0_LOCAL_WHOLE	GDT585 bindet die vollständige Form lokal an dieselbe dargestellte Pflanze; Blatt- und Wurzelteil bleiben Kontext, nicht Teil der Wörterbuchglosse.	Singleton; die ältere Bildlesung ist kreativ und dam als Maß nur W1; kein sal-dam-Schnitt.
saldy	dy	1	STRUCTURAL_ONLY_NOT_SUFFIX_EXPORTABLE	LEARNED_WHOLE	Fertigdroge	fertige Droge	benannte Drogenform	fertiges oder getrocknetes Salz	C0_LOCAL_WHOLE	Singleton-Zeile und ältere ownerlokale Karte geben der Ganzform eine Abschluss-/Fertigfunktion.	Freies dy hat nur positionsgebundene Strukturwerte, keinen portablen Suffixwert.
salf	f	0	NONE	LEARNED_LOCAL_MARK	Drogenname	Droge besonderer Form	Randkennzeichen einer Arzneidroge	Salz besonderer Form	C0_LOCAL_WHOLE	Singleton in der bereits kartierten f66r-Randkennungszone; als Ganzwort ist eine kurze Benennung die sparsamste konkrete Anzeige.	f besitzt keine zulässige Restbedeutung und keine same-remainder Kontrollform.
salkeedy	keedy	1	HOT_END_CLOSE_W3	FORM_SPECIFIC_DRUG_COMPOSITE	erhitzte Fertigdroge	erhitzte Fertigdroge	benannte erhitzte Drogenform	erhitztes Fertigsalz	C1_FORM_SPECIFIC_WHOLE	keedy ist der stärkste Restwert; direktes salkeedy/lkeedy und die folgende Qualitätsreihe stützen Hitze plus Endstufe.	Ein exaktes Vorkommen; lkeedy-Stoffidentität und sal-Komponente bleiben offen.
salo	o	1	NO_PORTABLE_O_ROLE	LEARNED_WHOLE	Arzneidroge	Drogenansatz	gelernter Arzneidrogen- oder Zubereitungsname	Salzansatz	C0_REPLACEABLE_WHOLE	Zwei geschlossene Vorkommen in nominal passenden Feldern; eines ist eine Singleton-Zeile.	Die zwei Außenfelder sind geometrisch unähnlich; o=Ansatzwasser ist W0 und nicht exportierbar.
salol	ol	1	CONTEXTUAL_PREPARATION_OR_FIELD	TIE_DRUG_COMPOSITE_OR_LEARNED_WHOLE	Drogenzubereitung	Drogenzubereitung	benannte Arzneizubereitung	Salzansatz oder Salzlösung	C0_REPLACEABLE_WHOLE	ol besitzt eine korrigierte kontextuelle Ansatz-/Zubereitungsrolle; die umgebende Zeile enthält Feuchte, Hitze und Maß.	Ein exaktes Vorkommen; ol ist kein universeller Ansatzkopf und kein freies Suffix.
salshcthdy	shcthdy	0	NONE	LEARNED_WHOLE	feuchte Fertigdroge	Droge in komplexer Feuchtform	gelernte komplexe Arzneizubereitung	feuchte Salzzubereitung	C0_REPLACEABLE_WHOLE	Die vollständige Form liegt zwischen Feucht- und Trocken-/Zubereitungsfeldern.	shcthdy selbst ist ein Singleton ohne Kontrollfamilie; Feuchte ist eine Ganzwort-/Feldlesung, keine interne Zerlegung.
saltar	tar	1	COLD_PART_MATERIAL_I_C1	FORM_SPECIFIC_DRUG_COMPOSITE	kalter Drogenanteil I	kalter Drogenanteil I	benannte kalte Stoffform	kalte Salzfraktion I	C0_FORM_SPECIFIC_WHOLE	tar besitzt kalt plus Anteil/Material I; die dichte Qualitätszeile ist mit dieser ganzen Lesung kompatibel.	Ein exaktes Vorkommen; die Kältekarte ist nur familiengestützt, keine getrennte sal-tar-Konstruktion und kein Salzsignal.
saly	y	1	STRUCTURAL_ONLY_NOT_SUFFIX_EXPORTABLE	LEARNED_WHOLE	Arzneidroge	Droge in Grundform	gelernter Arzneidrogenname	Salz in Grundform	C0_REPLACEABLE_WHOLE	Zwei nominal mögliche Stellen; eine folgt direkt auf das Arbeitswort qo und kann dessen Objekt sein.	Die beiden Außenfelder sind geometrisch unähnlich; y besitzt nur kontextuelle Strukturrollen.
