locus	token_index	surface	action_de
f81r.1	7	oly	abseihen
f81r.2	4	qokol	erhitzen
f81r.5	1	qol	Drogenstoff zugeben
f81r.8	6	oly	abseihen
f81r.12	6	loly	seihe den Holzabsud ab
f81r.13	4	qol	Drogenstoff zugeben
f81r.14	1	qokechedy	erhitze bis zur Mittelstufe, trockne bis zur Mittelstufe und schließe ab
f81r.16	1	polchdy	Pulverstoff trocknen und fertigstellen
f81r.20	1	qopchedy	nimm das bis zur Mittelstufe getrocknete und fertiggestellte Pulverpräparat
f81r.20	2	qol	Drogenstoff zugeben
f81r.21	1	dshedy	weiche eine Dosis Droge bis zur Mittelstufe ein und schließe ab
f81r.22	3	qol	Drogenstoff zugeben
f81r.22	9	oly	abseihen
f81r.24	7	oly	abseihen
f81r.25	3	qol	Drogenstoff zugeben
f81r.26	4	qol	Drogenstoff zugeben
f81r.26	7	qcthdys	stelle eine Charge Krautdroge fertig
f81r.29	7	ytar	nimm hiervon die erste gekühlte Drogenfraktion
