surface	count	class	composition	working_meaning_de	strongest_rival_de	confidence	rationale
polchoy	1	P	P_POWDER+OL_MATERIAL+CH_DRY+O_PREP+Y_START_OR_CLOSE	Pulverstoff trocknen, ansetzen und leicht abschließen	leicht getrockneter Pulverstoff im Grundansatz	MEDIUM	All seven visible characters are covered by five existing roles; unlike terminal OY_PREP_BASE this split respects the bound O plus terminal Y scopes.
olpchedy	2	P	O_PREP+L_WOOD+P_POWDER+CH_DRY+E_MIDDLE+DY_FINISHED	Holzdrogenansatz zu Trockenpulver verarbeiten und fertigstellen	getrocknetes Pulver aus einem Holzdrogenansatz	MEDIUM	The full surface is the regular O-L-P-CH-E-DY stack and differs by one character from several exact V48 powder cards.
ofshdy	1	P	O_PREP+F_FLOWER+SH_MOIST+DY_FINISHED	Blütenfraktionsansatz einweichen und fertigstellen	Ansatz mit einer Blütenfraktion anfeuchten und abschließen	LOW	This is an explicitly marked extension of the narrow V48 F_FLOWER family, not a general productive f value.
dchey	1	P	D_MEASURE+CH_DRY+E_MIDDLE+Y_START_OR_CLOSE	eine Dosis bis zur Mittelstufe trocknen und abschließen	abgemessene Trockendroge der Mittelstufe	HIGH	The D-CH-E-Y stack is directly predicted by the productive measure, dry, middle and closure roles.
lshl	1	W	LEARNED_LSHL_WHOLE	eingeweichte Holzdroge	Drogenholz in Holzabsud einweichen	LOW	Both edge l signs are visible, but a productive L-SH-L reading would duplicate the wood head without an established valence; keep the practical whole explicit.
alched	1	P	AL_RAW_I+CH_DRY+E_MIDDLE+D_TERM_CLOSE	Rohdroge I bis zur Mittelstufe trocknen und abschließen	Rohdroge I bis zur Mittelstufe trocknen und abziehen	HIGH	AL-CH-E-D is a complete productive stack and is the terminal-d neighbour of exact alchedy.
qolsheedy	1	P	QOL_ADD+SH_MOIST+EE_END+DY_FINISHED	vollständig eingeweichten Drogenstoff zugeben und fertigstellen	vollständig eingeweichten Drogenstoff zugeben und die Zugabe abschließen	HIGH	QOL is the exact add frame; SH-EE-DY is the inherited complete moist process.
oeeedy	1	P	O_PREP+EEE_LONG_OR_FINAL+DY_FINISHED	Ansatz lange oder bis zur letzten Stufe ruhen lassen und fertigstellen	lange gereiften Ansatz abziehen und fertigstellen	LOW	Every character is covered, but V48 leaves EEE as long-versus-final rather than choosing one duration.
qopchol	1	P	QO_COMMAND+P_POWDER+CH_DRY+OL_MATERIAL	nimm getrockneten Pulverstoff	nimm das Trockenpulver in den Ansatz	HIGH	This is the material-terminal counterpart of the exact qopchey and qopchdy command cards.
oraisy	1	P	OR_PORTION+A_PART_OR_LINK+I_FORM_I+S_TERM_SPECIES+Y_START_OR_CLOSE	eine Portion Arzneispecies der Form I abteilen und abschließen	eine Portion des vorangehenden Pulveransatzes, Form I, abschließen	LOW	The full OR-A-I-S-Y split is predictive but narrowly extends I_FORM_I and terminal Species before an outer Y close; ZL3b/RF1b oraisy versus IT2a oroiry keeps the rival explicit.
osheedy	1	P	O_PREP+SH_MOIST+EE_END+DY_FINISHED	Ansatz vollständig einweichen und fertigstellen	vollständig eingeweichten Ansatz abziehen	HIGH	The regular O-SH-EE-DY process is independently mirrored by exact L/P/OL moist cards.
oror	1	P	OR_PORTION+OR_PORTION	zwei Portionen	eine doppelte Portion	LOW	Two complete adjacent OR quantity blocks predict an additive double portion without suppressing either block.
olam	1	P	O_PREP+L_WOOD+AM_UNIT_I	ein Maß Holzdroge im Ansatz	ein Maß Drogenstoff	HIGH	O-L supplies the wood preparation and terminal AM the established single measure.
eses	1	W	LEARNED_ES_REPEAT	zwei Arzneispecies der Mittelstufe	Doppelcharge Mittelstufen-Species	LOW	The visible form is exactly es+es; GDT673 retains es as a learned middle-stage species card, but repetition is not promoted as a general number rule.
dshees	1	P	D_MEASURE+SH_MOIST+EE_END+S_TERM_SPECIES	eine Charge vollständig eingeweichter Droge abmessen	eine Dosis vollständig eingeweichter Arzneispecies	MEDIUM	Initial D supplies measurement and terminal S the species or charge; SH-EE supplies the complete moist state.
qoteesy	1	P	QO_COMMAND+T_COLD+EE_END+S_TERM_SPECIES+Y_START_OR_CLOSE	Arzneispecies vollständig abkühlen und abschließen	Saatgut vollständig abkühlen und den Posten abschließen	MEDIUM	The local package treats S as terminal Species before an outer Y close; this is an explicit narrow scope extension, not a global rewrite of S.
chcphey	1	P	CH_DRY+CPH_COMPOSITE+E_MIDDLE+Y_START_OR_CLOSE	Arzneikompositum bis zur Mittelstufe trocknen und abschließen	getrocknete Arzneikompositum-Fraktion der Mittelstufe	HIGH	CH-CPH-E-Y is fully covered and has exact chcphedy and checphey neighbours.
shecphy	1	P	SH_MOIST+E_MIDDLE+CPH_COMPOSITE+Y_START_OR_CLOSE	Arzneikompositum bis zur Mittelstufe einweichen und abschließen	feuchtes Arzneikompositum der Mittelstufe	MEDIUM	SH-E-CPH-Y covers the full form; the unusual head order keeps confidence below high.
qotaldar	1	P	QO_COMMAND+T_COLD+AL_RAW_I+D_MEASURE+AR_FRACTION_I	erste Fraktion gekühlter Rohdroge I abmessen	kühle Rohdroge I und miss die erste Fraktion ab	HIGH	The command, cold, raw-I and D-AR measured first-fraction blocks are all productive and preserve their visible order.
qokesdy	1	P	QO_COMMAND+K_HOT+E_MIDDLE+S_SEED+DY_FINISHED	erhitze Saatgut bis zur Mittelstufe und stelle es fertig	heiße Mittelstufen-Saatgutzubereitung, fertig	MEDIUM	Internal S before DY is the licensed seed role; every character belongs to an existing role.
lchl	1	W	LEARNED_LCHL_WHOLE	getrocknetes Drogenholz	Drogenholz trocknen; Holzstoff	LOW	A literal L-CH-L parse duplicates the wood head without an established compositional relation, so the useful whole remains explicit.
