locus	frame	working_translation_de	uncertainty_note
f81r.1	MIXED_PROCESS_REGISTER	Grundansatz aus leicht getrocknetem Pulverstoff: heiß bis Mittelstufe und abgeschlossen; dazu Feuchtmaterial, vollständig getrocknetes Pulverpräparat und fertiggestelltes Holzdrogen-Trockenpulver. Den Blütenfraktionsansatz einweichen, fertigstellen und abseihen.	Die f-Blütenkarte ist eine enge Familienerweiterung; sie benennt keine Pflanzenart.
f81r.2	SEQUENTIAL_PROCESS	Eine Dosis bis zur Mittelstufe trocknen und schließen; eingeweichte Holzdroge und Rohdroge I bis zur Mittelstufe trocknen und abschließen. Dann erhitzen: trockenes Material, kalte Fraktion I im Ansatz und Trockengut der Mittelstufe; heißer Ansatz der Grundstufe.	≈ lshl wird als gelerntes Ganzwort für eingeweichte Holzdroge gelesen; seine doppelte l-Kante ist noch nicht valenzsicher.
f81r.3	MATERIAL_STATE_REGISTER	Kühlstufe Mitte: gebundene Holzdroge, vollständig getrocknete Kräutermischung und leicht erhitzter Holzdrogenansatz aus Rohstoff I; danach Grundansatz trocken auf Mittelstufe, abgeschlossen, mit erster Heißfraktion und feuchtem Mittelstufenschluss.	Die nackte ol-Karte bleibt der breite Grundansatz und spezifiziert weder Wasser noch Wein noch Öl.
f81r.4	QUANTITY_MATERIAL_REGISTER	Abgemessene Trockendroge fertigstellen und auf Heizstufe II bringen; Grundansatz, nochmals Grundansatz, mit trockener Krautdroge. Hiervon die heiße Endstufe abschließen; Rohdroge I.	Die sichtbare Wiederholung ol ol wird nicht heimlich zu einer bewiesenen Zahl umgedeutet.
f81r.5	ADDITION_QUANTITY_REGISTER	Getrockneten Drogenstoff zugeben; den Ansatz vollständig erhitzen. Grundansatz, nochmals Grundansatz, dann Drogenstoffmenge III; weiterer Grundansatz: eine Portion, Klassenwert II.	Die letzten Werte bleiben als sichtbare Mengen-/Klassenfolge erhalten; ihre Maßeinheit ist unbekannt.
f81r.6	TWO_ENTRY_REGISTER	Erste Samenfraktion im Grundansatz mit zwei Arzneispecies der Mittelstufe; kalt bis Endstufe. Blüten- oder Fruchtstand heiß bis Endstufe, im Grundansatz.	≈ eses ist die sichtbare Wiederholung der gelernten es-Karte; die Zweierlesung bleibt ein Arbeitsdefault, keine globale Zahlregel.
f81r.7	DOSE_PROCESS	Eine Charge vollständig eingeweichter Droge abmessen; auf Heizstufe II. Trockene Krautdroge in kaltem Ansatz der Mittelstufe, anschließend wieder Heizstufe II.	Terminales s wird hier als Species oder Charge gelesen; eine Dosislesung bleibt möglich.
f81r.8	PROCESS_SEQUENCE	Getrocknetes Pulver vollständig erhitzen; den Ansatz von kalter Grundstufe über Mittelstufe bis zur Endstufe kühlen, dann abseihen.	Diese Zeile ist vollständig V48-gedeckt und braucht keine neue Ganzwortkarte.
f81r.9	PROCESS_SEQUENCE	Arzneispecies vollständig abkühlen und abschließen; den kalten Ansatz auf Mittelstufe abschließen, anschließend vollständig erhitzen und schließen; Arzneikompositum bis Mittelstufe trocknen und abschließen.	qoteesy nutzt die enge Species-vor-äußerem-y-Karte; eine Saatgutlesung bleibt der stärkste Rivale.
f81r.10	MATERIAL_STATE_REGISTER	Trockenes Material der Qualitätsstufe II: kalter Ansatz auf Mittelstufe abgeschlossen, vollständig getrocknet, Kältestufe II; dazu rohes Drogenholz.	Die Zeile ist eine Zustands-/Materialliste; kein unbelegter Imperativ wird ergänzt.
f81r.11	PROCESS_SEQUENCE	Holzdroge im Ansatz einweichen; erhitzte Drogenbasis fertigstellen; feuchtes Arzneikompositum und kalte Drogenbasis jeweils auf Mittelstufe abschließen.	Alle vier Oberflächen sind V48-Karten; ihre syntaktische Verbindung bleibt Arbeitsprosa.
f81r.12	ENTRY_PROCESS	Eintrag: fertig getrocknete Droge, kalt auf Mittelstufe abgeschlossen. Grundansatz vollständig einweichen und schließen, vollständig erhitzen, dann Holzabsud abseihen.	Das freie ol bleibt ein breiter Grundansatz; loly lizenziert das Abseihen des Holzabsuds.
f81r.13	DOSE_PROCESS	Ein Maß trockenen Materials bis Mittelstufe einweichen und schließen; kalt auf Mittelstufe schließen. Drogenstoff zugeben, auf Mittelstufe trocknen und schließen; getrocknete, abgekühlte Rohwurzel.	Die Rohwurzel ist die konkrete V48-Ganzkarte chetyry; keine Pflanzenart wird ergänzt.
f81r.14	PROCESS_QUANTITY	Bis Mittelstufe erhitzen und trocknen, dann abschließen; vollständig eingeweichten Drogenstoff zugeben und die Zugabe abschließen. Eine Portion der Klasse II vom Grundauszug, erste Fraktion; Ansatz bis zur langen oder letzten Stufe führen und fertigstellen.	EEE unterscheidet noch nicht sicher zwischen langer und letzter Stufe; beide bleiben sichtbar.
f81r.15	PROCESS_SEQUENCE	Saatgut, Charge II, im Grundansatz vollständig trocknen und schließen; vollständig erhitzen und schließen; anschließend auf Mittelstufe kühlen und abschließen.	Die Reihenfolge folgt den sichtbaren Karten; ein nicht notiertes Gefäß oder Lösungsmittel wird nicht ergänzt.
f81r.16	POWDER_PROCESS	Pulverstoff trocknen und fertigstellen; getrockneten Pulverstoff nehmen, mit einer heißen Portion. Holzdrogenansatz zu Trockenpulver verarbeiten. Pulveransatz; anschließend eine Portion Arzneispecies der Form I abteilen und abschließen.	≈ oraisy? ist eine vollständige, aber scope-erweiternde OR-A-I-S-Y-Komposition; IT2a liest oroiry statt ZL3b/RF1b oraisy.
f81r.17	ENTRY_PROCESS	Eintrag: trockene Krautdroge. Den Ansatz vollständig erhitzen und schließen, bis Mittelstufe einweichen, erneut bis Mittelstufe erhitzen und schließen. Grundansatz: trockene abgemessene Fraktion I der Mittelstufe.	Die Schlussfraktion ist die exakte ochedar-Karte; das nackte ol bleibt breit.
f81r.18	PROCESS_QUANTITY	Ansatz vollständig einweichen und fertigstellen; auf Mittelstufe einweichen und schließen. Grundansatz nochmals auf Mittelstufe einweichen und schließen, dann vollständig erhitzen und schließen; zwei Portionen.	OR+OR wird additiv als zwei Portionen gelesen; doppelte Portion bleibt der gleichwertige Rivale.
f81r.19	PROCESS_QUANTITY	Auf Mittelstufe erhitzen und schließen; vollständig einweichen und schließen; auf Mittelstufe trocknen und schließen; vollständig kühlen und schließen. Ein Maß Holzdrogenansatz.	Die vier Prozesskarten sind exakt; nur die Bindung des abschließenden Maßes an den Holzdrogenansatz ist neu.
f81r.20	PROCESS_QUANTITY	Das fertig getrocknete Pulverpräparat nehmen; Drogenstoff zugeben, bis Mittelstufe trocknen und vollständig erhitzen. Mengen: Zubereitungsdosis III, Wurzeldroge Charge II und eine abgemessene Menge Rohstoff I.	Die drei Schlusswerte werden an ihre sichtbaren Stoffköpfe gebunden, ohne historische Maßeinheit.
f81r.21	PROCESS_SEQUENCE	Eine Dosis Droge bis Mittelstufe einweichen und schließen; Rohstoffklasse I am Gradanfang erhitzen; Holzdrogenansatz vollständig erhitzen; auf Endstufe kühlen; Drogenbasis bis Mittelstufe einweichen, dann auf Mittelstufe kühlen; Holzstoff.	Der letzte Holzstoff kann Resultat oder nächster Stoffkopf sein; die Zeilengrenze entscheidet das nicht.
f81r.22	ADDITION_PROCESS	Rohstoffklasse I am Gradanfang kühlen und bis Mittelstufe trocknen; Drogenstoff zugeben. Grundansatz, Qualitätsgrad III; weiterer Grundansatz mit abgemessener Trockenfraktion I der Mittelstufe; im Grundansatz abseihen.	Drei freie ol-Karten bleiben getrennt sichtbar und werden nicht zu einem einzigen unsichtbaren Behälter verschmolzen.
f81r.23	MATERIAL_FORM	Bis Mittelstufe trocknen; auf Heizstufe II ein Ansatz mit feuchtem Arzneikompositum der Grundstufe und Saatgutzubereitung Form III; erneut bis Mittelstufe trocknen; Drogenholz trocken gebunden, Form I.	Die Zeile kombiniert Zustände und Formen; sie enthält keinen sicheren freien Handlungskopf außer den gebundenen Prozessen.
f81r.24	PROCESS_QUANTITY	Pulverfraktion I und fertiggestellter Ansatz; Arzneikompositum bis Mittelstufe einweichen und schließen, mit trockenem Drogenstoff. Rohdroge I kühlen und die erste Fraktion abmessen; auf Mittelstufe kühlen und fertigstellen, dann abseihen.	Die ungewöhnliche SH-E-CPH-Reihenfolge macht shecphy nur mittelstark; der Rest ist V48-gedeckt.
f81r.25	PROCESS_QUANTITY	Erste Samenfraktion bis Mittelstufe einweichen und schließen; Drogenstoff zugeben. Auf Kältestufe II ansetzen; zweite erhitzte Fraktion und Rohstoffklasse I am Gradanfang; bis Mittelstufe trocknen und schließen, Wertfeld schließen.	Der letzte dy-Schluss ist ein V48-Feldschluss, kein zusätzliches Stoffwort.
f81r.26	PROCESS_SEQUENCE	Getrocknetes Pulver auf Mittelstufe erhitzen; Drogenstoff im Ansatz bis Mittelstufe abkühlen; Drogenstoff zugeben, den feuchten Drogenteil bis Mittelstufe einweichen und schließen; Charge Krautdroge fertigstellen.	Diese Zeile ist vollständig V48-gedeckt; Drogenteil ist die breite sheor-Karte.
f81r.27	MATERIAL_PROCESS	Saatgut bis Mittelstufe trocknen; auf Mittelstufe erhitzen und schließen; erhitzte Drogenbasis fertigstellen. Materialmaß bis Mittelstufe erhitzen und trocknen, dann schließen.	Die Zeile ist vollständig V48-gedeckt; dol bleibt ein Materialmaß ohne historische Einheit.
f81r.28	PROCESS_SEQUENCE	Saatgut bis Mittelstufe erhitzen und fertigstellen; bis Mittelstufe trocknen und schließen. Erste heiße Drogenfraktion bis Mittelstufe trocknen; Kältestufe III, dann kalter Ansatz der Mittelstufe; getrocknetes Drogenholz.	≈ lchl ist ein gelerntes Ganzwort; die wörtliche L-CH-L-Doppelung hat noch keine sichere Valenz.
f81r.29	ENTRY_PROCESS	Eintrag: vollständig eingeweicht und geschlossen; leicht angefeuchtet, dann bis Mittelstufe getrocknet. Gebundene Holzdroge mit trockenem Krautgut; hiervon die erste gekühlte Drogenfraktion nehmen; erhitzte Drogenbasis Stufe III im Grundansatz.	Der sichtbare Leserjoin l+chcthy bleibt in der Interlinearzeile erhalten; kein Zeichen wird verschluckt.
f81r.30	WEIGHT_PROCESS	Gewicht: ein Pfund; bis Mittelstufe einweichen und schließen, dann bis Mittelstufe erhitzen und schließen. Eine Samenportion mit erster erhitzter Holzdrogenfraktion im Grundansatz; Heizstufe III; Holzdrogenansatz erhitzen, einweichen und fertigstellen.	Der Stoffkopf zum freien Pfund-Siglum kann aus der vorigen Zeile geerbt sein; f81r.30 allein nennt ihn nicht.
f81r.31	MATERIAL_QUANTITY	Saatgut bis Mittelstufe einweichen und schließen; Grundansatz mit getrocknetem Drogenholz erneut bis Mittelstufe einweichen und schließen, leicht anfeuchten; erhitzte Drogenbasis fertigstellen. Trockenes Drogenmaterial der Mittelstufe: erste Fraktion, eine Portion, Portion IV.	Die drei Schlusswerte bleiben als getrennte sichtbare Mengen-/Formkarten erhalten.
