square	step	work_surface	action_de
SQ1	1	otaiin	erste Elternkarte aus dem Lehrdeck holen
SQ1	2	chkain	zweite Elternkarte beziehungsweise Gradmodell danebenlegen
SQ1	3	ot + aiin	AIIN in OT+AIIN wird durch AIN ersetzt
SQ1	4	ot + ain	Überlagerung ohne Bindestriche zusammenschreiben
SQ1	5	otain	Schreibe den OT-Rahmen von otaiin und setze die kürzere Portionskarte AIN ein.
SQ2	1	pchedy	erste Elternkarte aus dem Lehrdeck holen
SQ2	2	chedain	zweite Elternkarte beziehungsweise Gradmodell danebenlegen
SQ2	3	p + ched + y ; ched + ain	beide Eltern teilen CHED; P kommt links, AIN ersetzt den Y/DY-Ausgang
SQ2	4	p + ched + ain	Überlagerung ohne Bindestriche zusammenschreiben
SQ2	5	pchedain	Überlagere die Eltern am gemeinsamen CHED-Körper; kopiere P davor und AIN dahinter.
SQ3	1	lshedy	erste Elternkarte aus dem Lehrdeck holen
SQ3	2	sheedy	zweite Elternkarte beziehungsweise Gradmodell danebenlegen
SQ3	3	lsh + e + dy	LSH-Waschbasis behält Schluss; EE ersetzt den kurzen/unmarkierten Grad
SQ3	4	lsh + ee + dy	Überlagerung ohne Bindestriche zusammenschreiben
SQ3	5	lsheedy	Setze im Waschschluss vor DY ein zweites e, genau wie beim langen Absetzen.
SQ4	1	sheedy	erste Elternkarte aus dem Lehrdeck holen
SQ4	2	qokeeedy	zweite Elternkarte beziehungsweise Gradmodell danebenlegen
SQ4	3	sh + ee + dy	SH-Absetzbasis übernimmt den EEE-Vollgrad der OK-Familie
SQ4	4	sh + eee + dy	Überlagerung ohne Bindestriche zusammenschreiben
SQ4	5	sheeedy	Verlängere den Grad von sheedy um ein e; Anfang und DY-Schluss bleiben stehen.
SQ5	1	sheckhal	erste Elternkarte aus dem Lehrdeck holen
SQ5	2	sheedy	zweite Elternkarte beziehungsweise Gradmodell danebenlegen
SQ5	3	sh + e + ckh + al	Zielpassage behält CKH+AL; EE ersetzt E
SQ5	4	sh + ee + ckh + al	Überlagerung ohne Bindestriche zusammenschreiben
SQ5	5	sheeckhal	Verdopple nur den e-Grad vor CKH; Zielendung AL bleibt unverändert.
