event_id	physical_page	locus	card_ordinal_in_statement	surface	recipe	literal_reading_de	starts_q	q_role	relation
G515-E0161	f31r	f31r.2	1	qokees	OK+EE+S	SETZEN · [EE:STEUERUNG=GRAD II] · WÄHLEN	YES	NONCARRIER_Q	SAME_STATEMENT
G515-E0162	f31r	f31r.2	2	s	S	WÄHLEN	NO	NOT_Q_INITIAL	SAME_STATEMENT
G515-E0163	f31r	f31r.2	3	aiin	AIIN	WERT	NO	NOT_Q_INITIAL	SAME_STATEMENT
G515-E0164	f31r	f31r.2	4	shekeey	SH+E+K+EE+Y	HALTEN · [E:STEUERUNG=GRAD I] · GEBEN · [EE:STEUERUNG=GRAD II] · POSTEN	NO	NOT_Q_INITIAL	SAME_STATEMENT
G515-E0165	f31r	f31r.2	5	qef	E+LOCAL_CHAR_F	[E:STEUERUNG=GRAD I] · [LOCAL_CHAR_F:STEUERUNG=HIER]	YES	NONCARRIER_Q	TARGET
G515-E0166	f31r	f31r.3	6	qokeey	OK+EE+Y	SETZEN · [EE:STEUERUNG=GRAD II] · POSTEN	YES	NONCARRIER_Q	SAME_STATEMENT
G515-E0167	f31r	f31r.3	7	chey	Y	POSTEN	NO	NOT_Q_INITIAL	SAME_STATEMENT
G515-E0168	f31r	f31r.3	8	daiin	AIIN	WERT	NO	NOT_Q_INITIAL	SAME_STATEMENT
G515-E0169	f31r	f31r.3	9	qokeey	OK+EE+Y	SETZEN · [EE:STEUERUNG=GRAD II] · POSTEN	YES	NONCARRIER_Q	SAME_STATEMENT
G515-E0170	f31r	f31r.3	10	sair	S+AIR	WÄHLEN · BAHN	NO	NOT_Q_INITIAL	SAME_STATEMENT
G515-E0171	f31r	f31r.3	11	chekey	CH+K+E+Y	NEHMEN · GEBEN · [E:STEUERUNG=GRAD I] · POSTEN	NO	NOT_Q_INITIAL	SAME_STATEMENT
G515-E0172	f31r	f31r.3	12	s	S	WÄHLEN	NO	NOT_Q_INITIAL	SAME_STATEMENT
G515-E0173	f31r	f31r.3	13	aiin	AIIN	WERT	NO	NOT_Q_INITIAL	SAME_STATEMENT
G515-E0174	f31r	f31r.3	14	da	DA	[DA:STEUERUNG=ZWEITE STUFE]	NO	NOT_Q_INITIAL	SAME_STATEMENT
G515-E0175	f31r	f31r.4	15	qotar	OT+AR	DANACH · AUSGANG	YES	NONCARRIER_Q	SAME_STATEMENT
G515-E0176	f31r	f31r.4	16	chy	Y	POSTEN	NO	NOT_Q_INITIAL	SAME_STATEMENT
G515-E0177	f31r	f31r.4	17	dar	D_ADDR+AR	[D_ADDR:STEUERUNG=HIER] · AUSGANG	NO	NOT_Q_INITIAL	SAME_STATEMENT
G515-E0178	f31r	f31r.4	18	lo	L+O	VERBINDUNG · [O:STEUERUNG=AUSFÜHRUNG]	NO	NOT_Q_INITIAL	SAME_STATEMENT
G515-E0179	f31r	f31r.4	19	r	R	MARKIEREN	NO	NOT_Q_INITIAL	SAME_STATEMENT
G515-E0180	f31r	f31r.4	20	ar	AR	AUSGANG	NO	NOT_Q_INITIAL	SAME_STATEMENT
G515-E0181	f31r	f31r.4	21	cheey	SH+EE+Y	HALTEN · [EE:STEUERUNG=GRAD II] · POSTEN	NO	NOT_Q_INITIAL	SAME_STATEMENT
G515-E0182	f31r	f31r.4	22	keeol	K+EE+O+L	GEBEN · [EE:STEUERUNG=GRAD II] · [O:STEUERUNG=AUSFÜHRUNG] · VERBINDUNG	NO	NOT_Q_INITIAL	SAME_STATEMENT
G515-E0183	f31r	f31r.4	23	chedy	CHD+Y	BEARBEITEN · POSTEN	NO	NOT_Q_INITIAL	SAME_STATEMENT
G515-E0184	f31r	f31r.4	24	qokey	OK+E+Y	SETZEN · [E:STEUERUNG=GRAD I] · POSTEN	YES	NONCARRIER_Q	SAME_STATEMENT
G515-E0185	f31r	f31r.5	25	daiin	AIIN	WERT	NO	NOT_Q_INITIAL	SAME_STATEMENT
G515-E0186	f31r	f31r.5	26	sheeody	SH+EE+O+D_ADDR+Y	HALTEN · [EE:STEUERUNG=GRAD II] · [O:STEUERUNG=AUSFÜHRUNG] · [D_ADDR:STEUERUNG=HIER] · POSTEN	NO	NOT_Q_INITIAL	SAME_STATEMENT
G515-E0187	f31r	f31r.5	27	qokeor	OK+E+OR	SETZEN · [E:STEUERUNG=GRAD I] · EINHEIT	YES	NONCARRIER_Q	SAME_STATEMENT
