corpus	statement_id	target_event_id	target_surface	target_recipe	actual_q_role	other_q_event_count	predicted_q_role	prediction_correct	other_event_ids	other_surfaces	other_recipes	relation
OLD26	G404-S010	G407-E0664	qodom	CARRIER_Q+O+D_ADDR+O+AM_ADDR	CARRIER_Q	1	NONCARRIER_Q	NO	G407-E0670	qokch	OK+CH	STATEMENT_Q_ROLE_NEIGHBOUR_VOTE
OLD26	G404-S010	G407-E0670	qokch	OK+CH	NONCARRIER_Q	1	CARRIER_Q	NO	G407-E0664	qodom	CARRIER_Q+O+D_ADDR+O+AM_ADDR	STATEMENT_Q_ROLE_NEIGHBOUR_VOTE
OLD26	G404-S014	G407-E2724	qokol	OK+OL	NONCARRIER_Q	1	NONCARRIER_Q	YES	G407-E2729	qotey	OT+E+Y	STATEMENT_Q_ROLE_NEIGHBOUR_VOTE
OLD26	G404-S014	G407-E2729	qotey	OT+E+Y	NONCARRIER_Q	1	NONCARRIER_Q	YES	G407-E2724	qokol	OK+OL	STATEMENT_Q_ROLE_NEIGHBOUR_VOTE
OLD26	G404-S015	G407-E2738	qokain	OK+AIN	NONCARRIER_Q	2	NONCARRIER_Q	YES	G407-E2744|G407-E2758	qol|qokeey	OL|OK+EE+Y	STATEMENT_Q_ROLE_NEIGHBOUR_VOTE
OLD26	G404-S015	G407-E2744	qol	OL	NONCARRIER_Q	2	NONCARRIER_Q	YES	G407-E2738|G407-E2758	qokain|qokeey	OK+AIN|OK+EE+Y	STATEMENT_Q_ROLE_NEIGHBOUR_VOTE
OLD26	G404-S015	G407-E2758	qokeey	OK+EE+Y	NONCARRIER_Q	2	NONCARRIER_Q	YES	G407-E2738|G407-E2744	qokain|qol	OK+AIN|OL	STATEMENT_Q_ROLE_NEIGHBOUR_VOTE
OLD26	G404-S016	G407-E2766	qokeey	OK+EE+Y	NONCARRIER_Q	3	NONCARRIER_Q	YES	G407-E2768|G407-E2771|G407-E2772	qotey|qoteesy|qotedy	OT+E+Y|OT+EE+S+Y|OT+E+DY	STATEMENT_Q_ROLE_NEIGHBOUR_VOTE
OLD26	G404-S016	G407-E2768	qotey	OT+E+Y	NONCARRIER_Q	3	NONCARRIER_Q	YES	G407-E2766|G407-E2771|G407-E2772	qokeey|qoteesy|qotedy	OK+EE+Y|OT+EE+S+Y|OT+E+DY	STATEMENT_Q_ROLE_NEIGHBOUR_VOTE
OLD26	G404-S016	G407-E2771	qoteesy	OT+EE+S+Y	NONCARRIER_Q	3	NONCARRIER_Q	YES	G407-E2766|G407-E2768|G407-E2772	qokeey|qotey|qotedy	OK+EE+Y|OT+E+Y|OT+E+DY	STATEMENT_Q_ROLE_NEIGHBOUR_VOTE
OLD26	G404-S016	G407-E2772	qotedy	OT+E+DY	NONCARRIER_Q	3	NONCARRIER_Q	YES	G407-E2766|G407-E2768|G407-E2771	qokeey|qotey|qoteesy	OK+EE+Y|OT+E+Y|OT+EE+S+Y	STATEMENT_Q_ROLE_NEIGHBOUR_VOTE
OLD26	G404-S026	G407-E2794	qol	OL	NONCARRIER_Q	1	NONCARRIER_Q	YES	G407-E2797	qokechedy	OK+E+CHD+DY	STATEMENT_Q_ROLE_NEIGHBOUR_VOTE
OLD26	G404-S026	G407-E2797	qokechedy	OK+E+CHD+DY	NONCARRIER_Q	1	NONCARRIER_Q	YES	G407-E2794	qol	OL	STATEMENT_Q_ROLE_NEIGHBOUR_VOTE
OLD26	G404-S032	G407-E2809	qopchol	CARRIER_Q+O+P+CH+OL	CARRIER_Q	1	NONCARRIER_Q	NO	G407-E2810	qokor	OK+OR	STATEMENT_Q_ROLE_NEIGHBOUR_VOTE
OLD26	G404-S032	G407-E2810	qokor	OK+OR	NONCARRIER_Q	1	CARRIER_Q	NO	G407-E2809	qopchol	CARRIER_Q+O+P+CH+OL	STATEMENT_Q_ROLE_NEIGHBOUR_VOTE
OLD26	G404-S042	G407-E2832	qopchedy	CARRIER_Q+O+P+CHD+Y	CARRIER_Q	2	NONCARRIER_Q	NO	G407-E2833|G407-E2835	qol|qokeey	OL|OK+EE+Y	STATEMENT_Q_ROLE_NEIGHBOUR_VOTE
OLD26	G404-S043	G407-E2840	qokal	OK+AL	NONCARRIER_Q	2	NONCARRIER_Q	YES	G407-E2846|G407-E2848	qotal|qol	OT+AL|OL	STATEMENT_Q_ROLE_NEIGHBOUR_VOTE
OLD26	G404-S043	G407-E2846	qotal	OT+AL	NONCARRIER_Q	2	NONCARRIER_Q	YES	G407-E2840|G407-E2848	qokal|qol	OK+AL|OL	STATEMENT_Q_ROLE_NEIGHBOUR_VOTE
OLD26	G404-S043	G407-E2848	qol	OL	NONCARRIER_Q	2	NONCARRIER_Q	YES	G407-E2840|G407-E2846	qokal|qotal	OK+AL|OT+AL	STATEMENT_Q_ROLE_NEIGHBOUR_VOTE
OLD26	G404-S047	G407-E2877	qokey	OK+E+Y	NONCARRIER_Q	1	NONCARRIER_Q	YES	G407-E2879	qol	OL	STATEMENT_Q_ROLE_NEIGHBOUR_VOTE
OLD26	G404-S047	G407-E2879	qol	OL	NONCARRIER_Q	1	NONCARRIER_Q	YES	G407-E2877	qokey	OK+E+Y	STATEMENT_Q_ROLE_NEIGHBOUR_VOTE
OLD26	G404-S048	G407-E2882	qcthdys	CH+T+D_ADDR+Y+S	NONCARRIER_Q	1	NONCARRIER_Q	YES	G407-E2885	qokedy	OK+E+DY	STATEMENT_Q_ROLE_NEIGHBOUR_VOTE
OLD26	G404-S048	G407-E2885	qokedy	OK+E+DY	NONCARRIER_Q	1	NONCARRIER_Q	YES	G407-E2882	qcthdys	CH+T+D_ADDR+Y+S	STATEMENT_Q_ROLE_NEIGHBOUR_VOTE
OLD26	G404-S050	G407-E2888	qokchedy	OK+CHD+Y	NONCARRIER_Q	1	NONCARRIER_Q	YES	G407-E2889	qokesdy	OK+E+S+DY	STATEMENT_Q_ROLE_NEIGHBOUR_VOTE
OLD26	G404-S050	G407-E2889	qokesdy	OK+E+S+DY	NONCARRIER_Q	1	NONCARRIER_Q	YES	G407-E2888	qokchedy	OK+CHD+Y	STATEMENT_Q_ROLE_NEIGHBOUR_VOTE
OLD26	G404-S063	G407-E4410	qotchey	OT+CHD+Y	NONCARRIER_Q	1	NONCARRIER_Q	YES	G407-E4416	qotaiin	OT+AIIN	STATEMENT_Q_ROLE_NEIGHBOUR_VOTE
OLD26	G404-S063	G407-E4416	qotaiin	OT+AIIN	NONCARRIER_Q	1	NONCARRIER_Q	YES	G407-E4410	qotchey	OT+CHD+Y	STATEMENT_Q_ROLE_NEIGHBOUR_VOTE
