event_id	page	locus	surface	pass1003_recipe	visible_parse	pass1004_recipe	portable_default_de	decision
P1003-E0001	f17r	f17r.1	fshody	CH+O+D_ADDR+Y	f + sh + o + dy	LOCAL_CHAR_F+SH+O+DY	NEBENWEG · HALTEN · AUSFÜHREN · SCHLUSS	RESOLVED_WITH_EXISTING_ROOTS
P1003-E0032	f17r	f17r.4	opydg	O+P+E+DY	o + p + y + d + g	O+P+Y+D_ADDR+LOCAL_CHAR_G	AUSFÜHREN · EINSETZEN · POSTEN · TEIL · EINMAL	RESOLVED_WITH_EXISTING_ROOTS
P1003-E0049	f17r	f17r.6	cheteg	SH+EE+Y	ch + e + t + e + g	CH+E+T+E+LOCAL_CHAR_G	NEHMEN · KURZ · STELLEN · KURZ · EINMAL	RESOLVED_WITH_EXISTING_ROOTS
P1003-E0053	f17r	f17r.7	zepchy	O+P+Y	z/s + e + p + ch + y	S+E+P+CH+Y	AUSWÄHLEN · KURZ · EINSETZEN · NEHMEN · POSTEN	RESOLVED_WITH_EXISTING_ROOTS
P1003-E0057	f17r	f17r.8	dychear	CH+E+AR	d + y + ch + e + ar	D_ADDR+Y+CH+E+AR	TEIL · POSTEN · NEHMEN · KURZ · QUELLE	RESOLVED_WITH_EXISTING_ROOTS
P1003-E0064	f17r	f17r.9	chypcham	CH+O+P+CH+AL	ch + y + p + ch + am	CH+Y+P+CH+AM_ADDR	NEHMEN · POSTEN · EINSETZEN · NEHMEN · INNEN	RESOLVED_WITH_EXISTING_ROOTS
P1003-E0228	f77r	f77r.24	lfcheal	AL	l + f + ch + e + al	L+LOCAL_CHAR_F+CH+E+AL	LEITEN · NEBENWEG · NEHMEN · KURZ · ZIEL	RESOLVED_WITH_EXISTING_ROOTS
P1003-E0312	f77r	f77r.36	dolchl	D_ADDR+OL+OL	d + ol + ch + l	D_ADDR+OL+CH+L	TEIL · FORTSETZEN · NEHMEN · LEITEN	RESOLVED_WITH_EXISTING_ROOTS
P1003-E0464	f88v	f88v.15	opykey	CH+Y+K+E+Y	o + p + y + k + e + y	O+P+Y+K+E+Y	AUSFÜHREN · EINSETZEN · POSTEN · GEBEN · KURZ · POSTEN	RESOLVED_WITH_EXISTING_ROOTS
P1003-E0493	f88v	f88v.18	chotam	OT+AM_ADDR	ch + ot + am	CH+OT+AM_ADDR	NEHMEN · DANACH · INNEN	RESOLVED_WITH_EXISTING_ROOTS
P1003-E0508	f88v	f88v.21	toairy	D_ADDR+O+AIR	t + o + air + y	T+O+AIR+Y	STELLEN · AUSFÜHREN · LAUF · POSTEN	RESOLVED_WITH_EXISTING_ROOTS
P1003-E0526	f88v	f88v.23	keeodaiin	T+E+O+AIIN	k + ee + o + d + aiin	K+EE+O+D_ADDR+AIIN	GEBEN · LÄNGER · AUSFÜHREN · TEIL · MASS	RESOLVED_WITH_EXISTING_ROOTS
P1003-E0648	f71v	f71v.18	okeosar	OK+E+AR	ok + e + o + s + ar	OK+E+O+S+AR	SETZEN · KURZ · AUSFÜHREN · AUSWÄHLEN · QUELLE	RESOLVED_WITH_EXISTING_ROOTS
