statement_id	physical_page	register	owner_id	visible_owner_de	first_locus	last_locus	locus_count	crosses_physical_line	groups	first_event_id	last_event_id	end_reason	surface_sequence	component_sequence	portable_sequence_de	continuous_workshop_reading_de
P1004-F17R-S001	f17r	MATERIAL	F17R_WHOLE_PLANT	abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen	f17r.1	f17r.1	1	NO	1	P1003-E0001	P1003-E0001	LICENSED_DY_CLOSE	fshody	LOCAL_CHAR_F+SH+O+DY	NEBENWEG · HALTEN · AUSFÜHREN · SCHLUSS	Am Bildstoff (abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen): nebenweg → halten → ausführen → schluss; Teilgang geschlossen.
P1004-F17R-S002	f17r	MATERIAL	F17R_WHOLE_PLANT	abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen	f17r.1	f17r.1	1	NO	4	P1003-E0002	P1003-E0005	LICENSED_DY_CLOSE	daram ydar chog opydy	DA+R+A_ADDR+AM_ADDR | Y+D_ADDR+AR | HO | O+P+Y+DY	ZWEIT · MERKEN · ORT · INNEN ; POSTEN · TEIL · QUELLE ; TEILSTOFF ; AUSFÜHREN · EINSETZEN · POSTEN · SCHLUSS	Am Bildstoff (abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen): zweit → merken → ort → innen → posten → teil → quelle → teilstoff → ausführen → einsetzen → posten → schluss; Teilgang geschlossen.
P1004-F17R-S003	f17r	MATERIAL	F17R_WHOLE_PLANT	abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen	f17r.1	f17r.1	1	NO	4	P1003-E0006	P1003-E0009	LICENSED_DY_CLOSE	ypod chop otchy dody	Y+P+O+D_ADDR | CH+O+P | OT+CH+Y | O+DY	POSTEN · EINSETZEN · AUSFÜHREN · TEIL ; NEHMEN · AUSFÜHREN · EINSETZEN ; DANACH · NEHMEN · POSTEN ; AUSFÜHREN · SCHLUSS	Am Bildstoff (abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen): posten → einsetzen → ausführen → teil → nehmen → ausführen → einsetzen → danach → nehmen → posten → ausführen → schluss; Teilgang geschlossen.
P1004-F17R-S004	f17r	MATERIAL	F17R_WHOLE_PLANT	abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen	f17r.1	f17r.2	2	YES	6	P1003-E0010	P1003-E0015	LICENSED_DY_CLOSE	oldckhy ydair choky okshy qodar ckhody	OL+D_ADDR+CKH+Y | Y+D_ADDR+AIR | OK+Y | OK+Y | O+D_ADDR+AR | CKH+O+DY	FORTSETZEN · TEIL · DURCHLASS · POSTEN ; POSTEN · TEIL · LAUF ; SETZEN · POSTEN ; SETZEN · POSTEN ; AUSFÜHREN · TEIL · QUELLE ; DURCHLASS · AUSFÜHREN · SCHLUSS	Am Bildstoff (abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen): fortsetzen → teil → durchlass → posten ×2 → teil → lauf → setzen → posten → setzen → posten → ausführen → teil → quelle → durchlass → ausführen → schluss; Teilgang geschlossen.
P1004-F17R-S005	f17r	MATERIAL	F17R_WHOLE_PLANT	abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen	f17r.2	f17r.2	1	NO	4	P1003-E0016	P1003-E0019	LICENSED_DY_CLOSE	dor otchol qodcthy ods	D_ADDR+OR | OT+CH+OL | O+D_ADDR+CTH+Y | O+DY	TEIL · ANSATZ ; DANACH · NEHMEN · FORTSETZEN ; AUSFÜHREN · TEIL · BEREIT · POSTEN ; AUSFÜHREN · SCHLUSS	Am Bildstoff (abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen): teil → ansatz → danach → nehmen → fortsetzen → ausführen → teil → bereit → posten → ausführen → schluss; Teilgang geschlossen.
P1004-F17R-S006	f17r	MATERIAL	F17R_WHOLE_PLANT	abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen	f17r.3	f17r.5	3	YES	22	P1003-E0020	P1003-E0041	LICENSED_DY_CLOSE	chol or chy qodam okor chor okchom tcho shol qokol qor olaiin opydg som ypchy ypaim ychekchy cthy chor shor cphor cphaldy	OL | OR | Y | O+D_ADDR+AM_ADDR | OK+OR | CH+OR | OK+CH+O+AM_ADDR | T+CH+O | SH+OL | OK+OL | OR | OL+AIIN | O+P+Y+D_ADDR+LOCAL_CHAR_G | K+O+M_LOCAL | Y+P+CH+Y | Y+P+AIR | Y+CHK+Y | CTH+Y | CH+OR | SH+OR | CPH+OR | CPH+AL+DY	FORTSETZEN ; ANSATZ ; POSTEN ; AUSFÜHREN · TEIL · INNEN ; SETZEN · ANSATZ ; NEHMEN · ANSATZ ; SETZEN · NEHMEN · AUSFÜHREN · INNEN ; STELLEN · NEHMEN · AUSFÜHREN ; HALTEN · FORTSETZEN ; SETZEN · FORTSETZEN ; ANSATZ ; FORTSETZEN · MASS ; AUSFÜHREN · EINSETZEN · POSTEN · TEIL · EINMAL ; GEBEN · AUSFÜHREN · MITTE ; POSTEN · EINSETZEN · NEHMEN · POSTEN ; POSTEN · EINSETZEN · LAUF ; POSTEN · BEHANDELN · POSTEN ; BEREIT · POSTEN ; NEHMEN · ANSATZ ; HALTEN · ANSATZ ; UMLEITEN · ANSATZ ; UMLEITEN · ZIEL · SCHLUSS	Am Bildstoff (abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen): fortsetzen → ansatz → posten → ausführen → teil → innen → setzen → ansatz → nehmen → ansatz → setzen → nehmen → ausführen → innen → stellen → nehmen → ausführen → halten → fortsetzen → setzen → fortsetzen → ansatz → fortsetzen → mass → ausführen → einsetzen → posten → teil → einmal → geben → ausführen → mitte → posten → einsetzen → nehmen → posten ×2 → einsetzen → lauf → posten → behandeln → posten → bereit → posten → nehmen → ansatz → halten → ansatz → umleiten → ansatz → umleiten → ziel → schluss; Teilgang geschlossen.
P1004-F17R-S007	f17r	MATERIAL	F17R_WHOLE_PLANT	abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen	f17r.5	f17r.5	1	NO	3	P1003-E0042	P1003-E0044	LICENSED_DY_CLOSE	dair cthey qody	D_ADDR+AIR | CTH+E+Y | CARRIER_Q+O+DY	TEIL · LAUF ; BEREIT · KURZ · POSTEN ; BEGINN · AUSFÜHREN · SCHLUSS	Am Bildstoff (abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen): teil → lauf → bereit → kurz → posten → beginn → ausführen → schluss; Teilgang geschlossen.
P1004-F17R-S008	f17r	MATERIAL	F17R_WHOLE_PLANT	abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen	f17r.6	f17r.7	2	YES	11	P1003-E0045	P1003-E0055	LICENSED_DY_CLOSE	tsho qof cho qokcheor cheteg ksheo qokchy choldshy zepchy d opchordy	SH+O | O+LOCAL_CHAR_F | HO | OK+CHEO+R | CH+E+T+E+LOCAL_CHAR_G | SH+E+O | OK+Y | CH+OL+D_ADDR+SH+Y | S+E+P+CH+Y | D_ADDR | O+P+CH+OR+DY	HALTEN · AUSFÜHREN ; AUSFÜHREN · NEBENWEG ; TEILSTOFF ; SETZEN · AUSZUG · MERKEN ; NEHMEN · KURZ · STELLEN · KURZ · EINMAL ; HALTEN · KURZ · AUSFÜHREN ; SETZEN · POSTEN ; NEHMEN · FORTSETZEN · TEIL · HALTEN · POSTEN ; AUSWÄHLEN · KURZ · EINSETZEN · NEHMEN · POSTEN ; TEIL ; AUSFÜHREN · EINSETZEN · NEHMEN · ANSATZ · SCHLUSS	Am Bildstoff (abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen): halten → ausführen ×2 → nebenweg → teilstoff → setzen → auszug → merken → nehmen → kurz → stellen → kurz → einmal → halten → kurz → ausführen → setzen → posten → nehmen → fortsetzen → teil → halten → posten → auswählen → kurz → einsetzen → nehmen → posten → teil → ausführen → einsetzen → nehmen → ansatz → schluss; Teilgang geschlossen.
P1004-F17R-S009	f17r	MATERIAL	F17R_WHOLE_PLANT	abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen	f17r.8	f17r.12	5	YES	23	P1003-E0056	P1003-E0078	OWNER_BOUNDARY_OPEN	dchchy dychear schar ykchy soy chckho o das chypcham dar chear dcheor sain y mol otchol cthar okaiin chol daiiin ychod y chotom	D_ADDR+CH+Y | D_ADDR+Y+CH+E+AR | AR | Y+K+Y | Y | CKH+Y | O | O+DA+S | CH+Y+P+CH+AM_ADDR | D_ADDR+AR | CH+E+AR | D_ADDR+CHEO+R | S+AIN | Y | OL | OT+CH+OL | AR | OK+AIIN | OL | DA+IIN | CH+O+D_ADDR | Y | CH+OT+OL	TEIL · NEHMEN · POSTEN ; TEIL · POSTEN · NEHMEN · KURZ · QUELLE ; QUELLE ; POSTEN · GEBEN · POSTEN ; POSTEN ; DURCHLASS · POSTEN ; AUSFÜHREN ; AUSFÜHREN · ZWEIT · AUSWÄHLEN ; NEHMEN · POSTEN · EINSETZEN · NEHMEN · INNEN ; TEIL · QUELLE ; NEHMEN · KURZ · QUELLE ; TEIL · AUSZUG · MERKEN ; AUSWÄHLEN · PORTION ; POSTEN ; FORTSETZEN ; DANACH · NEHMEN · FORTSETZEN ; QUELLE ; SETZEN · MASS ; FORTSETZEN ; ZWEIT · STUFE ; NEHMEN · AUSFÜHREN · TEIL ; POSTEN ; NEHMEN · DANACH · FORTSETZEN	Am Bildstoff (abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen): teil → nehmen → posten → teil → posten → nehmen → kurz → quelle ×2 → posten → geben → posten ×2 → durchlass → posten → ausführen ×2 → zweit → auswählen → nehmen → posten → einsetzen → nehmen → innen → teil → quelle → nehmen → kurz → quelle → teil → auszug → merken → auswählen → portion → posten → fortsetzen → danach → nehmen → fortsetzen → quelle → setzen → mass → fortsetzen → zweit → stufe → nehmen → ausführen → teil → posten → nehmen → danach → fortsetzen; offen bis Besitzerwechsel oder Seitenende.
P1004-F77R-S001	f77r	STATION	F77R_STATION_ARTICLE	Gesamtheit der lokal gezeichneten Koerper-, Becken- und Auslassstationen	f77r.9	f77r.9	1	NO	8	P1003-E0089	P1003-E0096	LICENSED_DY_CLOSE	poldarais ol qokol chey qopchedy qopchedy dylches olkedy	P+OL+D_ADDR+AR+A_ADDR+IIN+S | OL | OK+OL | Y | CARRIER_Q+O+P+CHD+Y | CARRIER_Q+O+P+CHD+Y | D_ADDR+Y+L+CH+E+S | SOLK+E+DY	EINSETZEN · FORTSETZEN · TEIL · QUELLE · ORT · STUFE · AUSWÄHLEN ; FORTSETZEN ; SETZEN · FORTSETZEN ; POSTEN ; BEGINN · AUSFÜHREN · EINSETZEN · UMSETZEN · POSTEN ; BEGINN · AUSFÜHREN · EINSETZEN · UMSETZEN · POSTEN ; TEIL · POSTEN · LEITEN · NEHMEN · KURZ · AUSWÄHLEN ; AUFFANGEN · KURZ · SCHLUSS	An der gezeichneten Station (Gesamtheit der lokal gezeichneten Koerper-, Becken- und Auslassstationen): einsetzen → fortsetzen → teil → quelle → ort → stufe → auswählen → fortsetzen → setzen → fortsetzen → posten → beginn → ausführen → einsetzen → umsetzen → posten → beginn → ausführen → einsetzen → umsetzen → posten → teil → posten → leiten → nehmen → kurz → auswählen → auffangen → kurz → schluss; Teilgang geschlossen.
