fresh_event_id	physical_page	locus	kind	group_index	surface	register	owner_id	visible_owner_de	transfer_class	source_surface	edit_distance	component_recipe	portable_default_de	local_contextual_expansion_de	confidence	note
P1003-E0001	f17r	f17r.1	P	1	fshody	MATERIAL	F17R_WHOLE_PLANT	abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen	VISIBLE_ROOT_COMPOSITION_RESOLVED	fshody	0	LOCAL_CHAR_F+SH+O+DY	NEBENWEG · HALTEN · AUSFÜHREN · SCHLUSS	am Stoffbild abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen: zweiter Auszug oder Nebenweg · halten, ziehen oder stehen lassen · den Arbeitsschritt ausführen · Teilansatz abschließen	MEDIUM_HIGH	Direkte sichtbare Zerlegung mit dem vorhandenen Wurzelvorrat; kein neuer Stamm.
P1003-E0002	f17r	f17r.1	P	2	daram	MATERIAL	F17R_WHOLE_PLANT	abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen	EXACT_REGISTERED_SURFACE	daram	0	DA+R+A_ADDR+AM_ADDR	ZWEIT · MERKEN · ORT · INNEN	am Stoffbild abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen: zweiter Ansatz oder zweite Zugabe · Teilgang oder Zustand merken · die bezeichnete Gefäß-/Gebrauchsstelle · im Gefäß oder inneren Anteil	HIGH	Bekannte sichtbare Form; kurze Wurzelbedeutung in den neuen Bildbesitzer eingesetzt.
P1003-E0003	f17r	f17r.1	P	3	ydar	MATERIAL	F17R_WHOLE_PLANT	abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen	VISIBLE_NEW_COMPOSITION	dar	1	Y+D_ADDR+AR	POSTEN · TEIL · QUELLE	am Stoffbild abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen: dieser Pflanzen-/Drogenposten · Wurzel-, Blatt-, Blüten- oder Fruchtteil · aus Wurzelstock oder Vorrat	MEDIUM_HIGH	Neue sichtbare Zusammensetzung aus bereits gelernten Wurzeln; kein neues Bedeutungswort.
P1003-E0004	f17r	f17r.1	P	4	chog	MATERIAL	F17R_WHOLE_PLANT	abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen	NEAR_REGISTERED_ALLOGRAPH	cho	1	HO	TEILSTOFF	am Stoffbild abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen: weiterer Pflanzenteil oder Hilfsstoff	MEDIUM	Arbeitslesung nach naechster registrierter Werkstattallographie; Auswahlwert -3.75.
P1003-E0005	f17r	f17r.1	P	5	opydy	MATERIAL	F17R_WHOLE_PLANT	abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen	VISIBLE_NEW_COMPOSITION	ofydy	1	O+P+Y+DY	AUSFÜHREN · EINSETZEN · POSTEN · SCHLUSS	am Stoffbild abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen: den Arbeitsschritt ausführen · den Pflanzenteil einbringen · dieser Pflanzen-/Drogenposten · Teilansatz abschließen	MEDIUM_HIGH	Neue sichtbare Zusammensetzung aus bereits gelernten Wurzeln; kein neues Bedeutungswort.
P1003-E0006	f17r	f17r.1	P	6	ypod	MATERIAL	F17R_WHOLE_PLANT	abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen	VISIBLE_NEW_COMPOSITION	chod	2	Y+P+O+D_ADDR	POSTEN · EINSETZEN · AUSFÜHREN · TEIL	am Stoffbild abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen: dieser Pflanzen-/Drogenposten · den Pflanzenteil einbringen · den Arbeitsschritt ausführen · Wurzel-, Blatt-, Blüten- oder Fruchtteil	MEDIUM_HIGH	Neue sichtbare Zusammensetzung aus bereits gelernten Wurzeln; kein neues Bedeutungswort.
P1003-E0007	f17r	f17r.1	P	7	chop	MATERIAL	F17R_WHOLE_PLANT	abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen	VISIBLE_NEW_COMPOSITION	cho	1	CH+O+P	NEHMEN · AUSFÜHREN · EINSETZEN	am Stoffbild abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen: vom bezeichneten Pflanzenteil entnehmen · den Arbeitsschritt ausführen · den Pflanzenteil einbringen	MEDIUM_HIGH	Neue sichtbare Zusammensetzung aus bereits gelernten Wurzeln; kein neues Bedeutungswort.
P1003-E0008	f17r	f17r.1	P	8	otchy	MATERIAL	F17R_WHOLE_PLANT	abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen	EXACT_REGISTERED_SURFACE	otchy	0	OT+CH+Y	DANACH · NEHMEN · POSTEN	am Stoffbild abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen: den nächsten Teilgang nehmen · vom bezeichneten Pflanzenteil entnehmen · dieser Pflanzen-/Drogenposten	HIGH	Bekannte sichtbare Form; kurze Wurzelbedeutung in den neuen Bildbesitzer eingesetzt.
P1003-E0009	f17r	f17r.1	P	9	dody	MATERIAL	F17R_WHOLE_PLANT	abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen	NEAR_REGISTERED_ALLOGRAPH	ody	1	O+DY	AUSFÜHREN · SCHLUSS	am Stoffbild abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen: den Arbeitsschritt ausführen · Teilansatz abschließen	MEDIUM	Arbeitslesung nach naechster registrierter Werkstattallographie; Auswahlwert -3.83.
P1003-E0010	f17r	f17r.1	P	10	oldckhy	MATERIAL	F17R_WHOLE_PLANT	abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen	VISIBLE_NEW_COMPOSITION	ockhy	2	OL+D_ADDR+CKH+Y	FORTSETZEN · TEIL · DURCHLASS · POSTEN	am Stoffbild abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen: denselben Ansatz fortführen · Wurzel-, Blatt-, Blüten- oder Fruchtteil · durch Tuch, Sieb oder Auslass · dieser Pflanzen-/Drogenposten	MEDIUM_HIGH	Neue sichtbare Zusammensetzung aus bereits gelernten Wurzeln; kein neues Bedeutungswort.
