crop_id	canvas_id	full_image_sha256	image_width	image_height	crop_x	crop_y	crop_w	crop_h	target_x	target_y	target_w	target_h	confidence	note
CX02DD825C6184	1006195	4799e8ebd8d968ea28dae919cfb86065566662b4e77c8b429d12e3e6e685638b	5059	3753	1250	2420	850	350	230	125	45	63	HIGH	First readable line of the two-line block below the central circle; marker encloses symbol 2 of source group 1.
CX63B24CD69196	1006189	7319cd29982e6ac56192d02b8546a4b65aace9f2e65f3c782a1c019a94d3b3fc	2986	3769	1030	565	760	310	280	111	28	73	HIGH	Fifth-line ordinal, consensus group 4, symbol 1.
CXE8BFAD0707B7	1006227	e47d19f00b8c50c3216c4e48106c0b229c61091b403f52bb084bf89fa9fe5f6f	2838	3697	380	845	1050	350	500	116	25	40	HIGH	Tenth-line ordinal, consensus group 3, symbol 4.
CXA060C56FDA0F	1006261	41e4c5cd7a0b171517dea7724fc3b858ffe38293f043f317061e93a99c47ffc5	2670	3697	1350	1440	850	330	351	107	28	37	HIGH	Line ordinal and group sequence, consensus group 7, symbol 1.
CX7A559E0D3CD7	1006261	41e4c5cd7a0b171517dea7724fc3b858ffe38293f043f317061e93a99c47ffc5	2670	3697	380	1600	950	360	288	158	25	45	HIGH	Line ordinal and within-group position, consensus group 3, symbol 2.
CXC914E79D6E72	1006254	28a65644ebf9a16dc41c073e6535117d924765fae6af474dbd1e3fe2b167beda	2688	3805	250	2820	1000	400	86	166	22	39	HIGH	Start of line 47, consensus group 1, symbol 2.
CXEEE5400E5C68	1006271	d5b4940ea3d934848bf98c751616172339e8f0e587e41aaea15023e1a314eca3	2666	3697	350	1370	1200	360	762	137	27	38	HIGH	Line ordinal and group sequence, consensus group 5, symbol 1.
CX6F86078EBF41	1006226	7e8fa7c29b6c6ab462ad5359bdabfcd60505622700f6e5cb18478d20cbd79fbe	2753	3745	1750	1260	850	420	284	133	24	40	HIGH	Final group of line 25, consensus group 12, symbol 2.
CXC7C9D3F5FB6E	1006229	dde619e85e35601b9206051389873f6cb092a17f04a8fcd02b32fe3961ea37ce	7754	3890	6500	450	1200	500	610	220	26	39	HIGH	Seventh-line ordinal and penultimate group, consensus group 14, symbol 1.
CX3A08BDAD9DC7	1006144	807e9b5aa1ea72b90c39f71c5ae1cfa4aa0c303b4dd889340c2814f1cff62da2	2793	3743	1250	400	1250	350	580	175	48	58	HIGH	Second text line, eighth source group, first within-group symbol.
CX0AF794657FAF	1043429	3bac9e01c7bd848fa947b4877d1166f8e9f38822c7bd209e9574a88f6cb181c0	2893	3697	1400	400	1450	450	485	115	58	72	HIGH	Second text line right of drawing interruption, fifth source group, first symbol.
CX73C919BBC3C0	1006226	7e8fa7c29b6c6ab462ad5359bdabfcd60505622700f6e5cb18478d20cbd79fbe	2753	3745	800	1430	1200	300	538	88	40	58	HIGH	Fifth group on registered line, third within-group position.
CX1F4F112861C4	1006213	e2e2f629753bfe6a9c111d8157ac63cfc4524966cbf367ddaaffece07cffdab2	2861	3697	750	1900	1500	350	650	128	42	58	MEDIUM	Third group on registered line, first within-group position; nearby dense text lowers confidence.
CX20A1111522AF	1006217	81d647bbc752211d5bf671f7791c59fc8dceaa60e20e7f7a075319b44ed879c1	2811	3714	1100	650	1400	300	590	125	45	55	MEDIUM	Fifth group on eighth text line, fourth and terminal within-group position.
CX1BC36C4A49E7	1006254	28a65644ebf9a16dc41c073e6535117d924765fae6af474dbd1e3fe2b167beda	2688	3805	1350	2650	1200	300	660	130	42	55	HIGH	Seventh group on registered line, seventh and penultimate within-group position.
CXD3B7AFA0B01B	1006234	b6b0dd8ba7cd316f3b09a8b156d1eed0eb36ad8ec9086b975969f4f8f7dd5406	4204	3809	500	2400	2400	400	NA	NA	NA	NA	LOW	Lower-block line is pale and fold or show-through interference prevents secure seventh-group fourth-symbol boxing.
CX5F30C5AE52BD	1006196	4b0f31d1e08b8f026886aa599232b7dfcd33417b1eef43a44e619c3ebd21faa5	7993	3828	1100	280	1400	300	NA	NA	NA	NA	LOW	Top line and seventh group localized but low-contrast foldout writing does not support a secure third-symbol box.
CXC341089B156F	1006267	00729a36de336f57b387fc364441057b31b4bc51f6c5e915352d9185121cbcbf	2666	3697	350	550	1400	350	190	93	45	56	MEDIUM	First group on registered tenth line, second within-group position.
CX47291F250155	1006264	afad28189500567259ef2041cd1c591644bf6d6c86ac6a39cd1c09503693ad76	2641	3787	1100	1600	1400	300	470	87	40	56	MEDIUM	Seventh group on registered line, fifth and terminal within-group position.
CXF8B763F1A954	1006259	540787c3d0aa7a13c1cc620fe222a13d0b2409eaa69e19de56d2544cfdf3c678	2663	3701	200	1680	1500	350	108	112	38	55	HIGH	First group on registered line, fifth and terminal within-group position.
CX3B6F2CFD9417	1006201	c8f24b6be5451aba49eb793784c43cb7fc8341dca8a58ff43fc1eebf4877b60c	2979	3700	0	0	2979	3700	NA	NA	NA	NA	LOW	Outer-band label localized by ordinal but curved placement did not support a secure third-symbol box.
