ordinal	name	source_basis
1	Alnath	Agrippa-name transcription in Digital Ambler table
2	Albotain	Agrippa-name transcription in Digital Ambler table
3	Azoraya	Agrippa-name transcription in Digital Ambler table
4	Aldebaran	Agrippa-name transcription in Digital Ambler table
5	Almices	Agrippa-name transcription in Digital Ambler table
6	Athaya	Agrippa-name transcription in Digital Ambler table
7	Aldirah	Agrippa-name transcription in Digital Ambler table
8	Annathra	Agrippa-name transcription in Digital Ambler table
9	Atarf	Agrippa-name transcription in Digital Ambler table
10	Algebha	Agrippa-name transcription in Digital Ambler table
11	Azobra	Agrippa-name transcription in Digital Ambler table
12	Acarfa	Agrippa-name transcription in Digital Ambler table
13	Alhaire	Agrippa-name transcription in Digital Ambler table
14	Azimech	Agrippa-name transcription in Digital Ambler table
15	Argafra	Agrippa-name transcription in Digital Ambler table
16	Azubene	Agrippa-name transcription in Digital Ambler table
17	Alichil	Agrippa-name transcription in Digital Ambler table
18	Alcalb	Agrippa-name transcription in Digital Ambler table
19	Exaula	Agrippa-name transcription in Digital Ambler table
20	Nahaym	Agrippa-name transcription in Digital Ambler table
21	Elbeda	Agrippa-name transcription in Digital Ambler table
22	Caadaldeba	Agrippa-name transcription in Digital Ambler table
23	Caadebolach	Agrippa-name transcription in Digital Ambler table
24	Caadacohot	Agrippa-name transcription in Digital Ambler table
25	Caadalhacbia	Agrippa-name transcription in Digital Ambler table
26	Amiquedam	Agrippa-name transcription in Digital Ambler table
27	Algarf Almuehar	Agrippa-name transcription in Digital Ambler table
28	Arrexhe	Agrippa-name transcription in Digital Ambler table
