reviewer	review_id	localization_state	confidence	main_vertical_stems	closed_loops	left_extension	right_extension	descender	separated_dot	visible_note
CROP_ONLY_REVIEWER_1	RV20857F481DC1ED	LIGATED_OR_COMPOSITE_UNIT	MEDIUM	ONE	NONE	NO	YES	NO	NO	Tall left stroke and adjacent open curved stroke continue toward the right edge.
CROP_ONLY_REVIEWER_1	RV20DEED7DD950E5	LIGATED_OR_COMPOSITE_UNIT	HIGH	ONE	ONE	NO	YES	YES	NO	Long upright stroke joins a lower loop, a rightward stroke, and a short continuation below the loop.
CROP_ONLY_REVIEWER_1	RV33D8EC6544E146	LIGATED_OR_COMPOSITE_UNIT	HIGH	ZERO	NONE	NO	NO	NO	NO	Two separate short curved diagonal strokes are visible.
CROP_ONLY_REVIEWER_1	RV41A4A06FDB4F51	LIGATED_OR_COMPOSITE_UNIT	HIGH	TWO_PLUS	NONE	NO	NO	NO	NO	Two separate short upright tapered strokes are visible.
CROP_ONLY_REVIEWER_1	RV44DD5F23117794	LOCALIZATION_UNRESOLVED	LOW	ZERO	NONE	NO	YES	NO	NO	A faint diagonal trace crosses toward the upper right while darker curved ink intrudes at the lower-right edge.
CROP_ONLY_REVIEWER_1	RV477EEFD9A6168F	LIGATED_OR_COMPOSITE_UNIT	MEDIUM	ONE	ONE	YES	NO	YES	NO	An upper looped area joins a narrow descending stroke and continues beyond the left edge.
CROP_ONLY_REVIEWER_1	RV515AD0F9C86B89	ONE_CLEAR_VISIBLE_UNIT	MEDIUM	ZERO	ONE	NO	NO	YES	YES	A rounded closed form has a thick lower continuation and a small detached speck above it.
CROP_ONLY_REVIEWER_1	RV57EBAD7A2FBE51	LIGATED_OR_COMPOSITE_UNIT	MEDIUM	ONE	TWO_PLUS	YES	NO	NO	NO	A tall narrow loop is joined at its base to a smaller loop extending left.
CROP_ONLY_REVIEWER_1	RV5A03DEF9C470CF	DAMAGED_RETRACED_OR_AMBIGUOUS	LOW	ZERO	NONE	NO	NO	NO	NO	Only a very faint broken diagonal trace is visible; its boundaries and continuity are unclear.
CROP_ONLY_REVIEWER_2	RV600A67F24E4741	DAMAGED_RETRACED_OR_AMBIGUOUS	LOW	ZERO	NONE	NO	NO	NO	NO	Extremely faint narrow trace with a darker oblique contact near the lower edge; outline is unclear.
CROP_ONLY_REVIEWER_2	RV665440E7FAA343	LOCALIZATION_UNRESOLVED	LOW	ZERO	NONE	NO	NO	NO	NO	Only a short curved stroke enters the lower edge; no complete unit is visible.
CROP_ONLY_REVIEWER_2	RV6830D04738617D	LOCALIZATION_UNRESOLVED	LOW	ZERO	NONE	NO	NO	NO	NO	A rounded ink segment is cut by the right boundary; no complete unit is enclosed.
CROP_ONLY_REVIEWER_2	RV6F38B6F95ADE62	ONE_CLEAR_VISIBLE_UNIT	HIGH	ZERO	TWO_PLUS	NO	NO	NO	NO	Two stacked closed rounded compartments meet at a narrow waist.
CROP_ONLY_REVIEWER_2	RV72F43AC1CBE89F	ONE_CLEAR_VISIBLE_UNIT	HIGH	ZERO	ONE	NO	NO	YES	NO	A closed rounded head continues into a long downward-curving tail.
CROP_ONLY_REVIEWER_2	RV830569EB6F2542	LIGATED_OR_COMPOSITE_UNIT	HIGH	TWO_PLUS	NONE	YES	YES	NO	NO	Two upright strokes are joined by a cross-stroke, with horizontal ink continuing toward both boundaries.
