opaque_id	type_index	primary_prediction_target	page	physical_folio	locus	consensus_group_index	symbol_index_1based	canvas_id	official_full_image_url	image_width	image_height	full_image_sha256	crop_id	crop_x	crop_y	crop_w	crop_h	target_x	target_y	target_w	target_h	localizer_confidence	localizer_note	review_id	marked_crop_sha256	reviewer	review_state	review_confidence	prototype_main_vertical_stems	observed_main_vertical_stems	prototype_closed_loops	observed_closed_loops	prototype_left_extension	observed_left_extension	prototype_right_extension	observed_right_extension	prototype_descender	observed_descender	prototype_separated_dot	observed_separated_dot	exact_signature_match	review_visible_note
IGR2B2D523A0C2DE76	1	1	f36r	f36	f36r.2	8	1	1006144	https://collections.library.yale.edu/iiif/2/1006144/full/full/0/default.jpg	2793	3743	807e9b5aa1ea72b90c39f71c5ae1cfa4aa0c303b4dd889340c2814f1cff62da2	CX3A08BDAD9DC7	1250	400	1250	350	580	175	48	58	HIGH	Second text line, eighth source group, first within-group symbol.	RV6F38B6F95ADE62	a20c7d5216e84b4955f7bbe0bdd791ec7da08a02409389cd5aca7015ee0083ea	CROP_ONLY_REVIEWER_2	ONE_CLEAR_VISIBLE_UNIT	HIGH	ONE	ZERO	TWO_PLUS	TWO_PLUS	YES	NO	YES	NO	NO	NO	NO	NO	0	Two stacked closed rounded compartments meet at a narrow waist.
IGR2A1F11B8068B24E	1	1	f89v1	f89	f89v1.20	7	4	1006234	https://collections.library.yale.edu/iiif/2/1006234/full/full/0/default.jpg	4204	3809	b6b0dd8ba7cd316f3b09a8b156d1eed0eb36ad8ec9086b975969f4f8f7dd5406	CXD3B7AFA0B01B	500	2400	2400	400	NA	NA	NA	NA	LOW	Lower-block line is pale and fold or show-through interference prevents secure seventh-group fourth-symbol boxing.	NA	NA	NA	NOT_REVIEWED_UNRESOLVED_LOCALIZATION	NA	ONE	NA	TWO_PLUS	NA	YES	NA	YES	NA	NO	NA	NO	NA	0	No marked crop was constructed because localization was unresolved.
IGR2A25511B70EC07C	1	1	f84r	f84	f84r.25	5	3	1006226	https://collections.library.yale.edu/iiif/2/1006226/full/full/0/default.jpg	2753	3745	7e8fa7c29b6c6ab462ad5359bdabfcd60505622700f6e5cb18478d20cbd79fbe	CX73C919BBC3C0	800	1430	1200	300	538	88	40	58	HIGH	Fifth group on registered line, third within-group position.	RV20857F481DC1ED	b51d7c98546d3bd41dd5445928b9084ad079c25bde7beac30b7da0f4431f9df7	CROP_ONLY_REVIEWER_1	LIGATED_OR_COMPOSITE_UNIT	MEDIUM	ONE	ONE	TWO_PLUS	NONE	YES	NO	YES	YES	NO	NO	NO	NO	0	Tall left stroke and adjacent open curved stroke continue toward the right edge.
IGR2DAF635B1B526CD	1	1	f87v	f87	f87v.2	5	1	1043429	https://collections.library.yale.edu/iiif/2/1043429/full/full/0/default.jpg	2893	3697	3bac9e01c7bd848fa947b4877d1166f8e9f38822c7bd209e9574a88f6cb181c0	CX0AF794657FAF	1400	400	1450	450	485	115	58	72	HIGH	Second text line right of drawing interruption, fifth source group, first symbol.	RV57EBAD7A2FBE51	59cd60deb9aeebdaa727cf5591822f045537ed562cd633190ba56e51892244c8	CROP_ONLY_REVIEWER_1	LIGATED_OR_COMPOSITE_UNIT	MEDIUM	ONE	ONE	TWO_PLUS	TWO_PLUS	YES	YES	YES	NO	NO	NO	NO	NO	0	A tall narrow loop is joined at its base to a smaller loop extending left.
IGR28FF252923A1CA7	2	1	f68r1	f68	f68r1.1	7	3	1006196	https://collections.library.yale.edu/iiif/2/1006196/full/full/0/default.jpg	7993	3828	4b0f31d1e08b8f026886aa599232b7dfcd33417b1eef43a44e619c3ebd21faa5	CX5F30C5AE52BD	1100	280	1400	300	NA	NA	NA	NA	LOW	Top line and seventh group localized but low-contrast foldout writing does not support a secure third-symbol box.	NA	NA	NA	NOT_REVIEWED_UNRESOLVED_LOCALIZATION	NA	ZERO	NA	ONE	NA	NO	NA	NO	NA	NO	NA	NO	NA	0	No marked crop was constructed because localization was unresolved.
IGR20365B7FBD91E72	2	1	f77v	f77	f77v.23	3	1	1006213	https://collections.library.yale.edu/iiif/2/1006213/full/full/0/default.jpg	2861	3697	e2e2f629753bfe6a9c111d8157ac63cfc4524966cbf367ddaaffece07cffdab2	CX1F4F112861C4	750	1900	1500	350	650	128	42	58	MEDIUM	Third group on registered line, first within-group position; nearby dense text lowers confidence.	RV20DEED7DD950E5	b2a25ddc3119cc88dd0303b9a76c3f9330516bd1649fe69fee2ece8a73b9efbe	CROP_ONLY_REVIEWER_1	LIGATED_OR_COMPOSITE_UNIT	HIGH	ZERO	ONE	ONE	ONE	NO	NO	NO	YES	NO	YES	NO	NO	0	Long upright stroke joins a lower loop, a rightward stroke, and a short continuation below the loop.
IGR28DC1C3F1D69124	2	1	f111v	f111	f111v.10	1	2	1006267	https://collections.library.yale.edu/iiif/2/1006267/full/full/0/default.jpg	2666	3697	00729a36de336f57b387fc364441057b31b4bc51f6c5e915352d9185121cbcbf	CXC341089B156F	350	550	1400	350	190	93	45	56	MEDIUM	First group on registered tenth line, second within-group position.	RV665440E7FAA343	dec72f9263c5ed929df0a54626a5b102a38d67aafce90c0adc3bb2f5c48506e5	CROP_ONLY_REVIEWER_2	LOCALIZATION_UNRESOLVED	LOW	ZERO	ZERO	ONE	NONE	NO	NO	NO	NO	NO	NO	NO	NO	0	Only a short curved stroke enters the lower edge; no complete unit is visible.
IGR28638E8DBD71838	2	1	f103r	f103	f103r.48	7	7	1006254	https://collections.library.yale.edu/iiif/2/1006254/full/full/0/default.jpg	2688	3805	28a65644ebf9a16dc41c073e6535117d924765fae6af474dbd1e3fe2b167beda	CX1BC36C4A49E7	1350	2650	1200	300	660	130	42	55	HIGH	Seventh group on registered line, seventh and penultimate within-group position.	RV831077BF6316A5	8a0a1fbd40398618cc2b5af04aa4a8317505e5471553da0cd371ccdcf6f35ff6	CROP_ONLY_REVIEWER_2	ONE_CLEAR_VISIBLE_UNIT	MEDIUM	ZERO	ZERO	ONE	NONE	NO	YES	NO	NO	NO	NO	NO	NO	0	A low rounded ink lobe has a short leftward horizontal stroke and lies close to the lower boundary.
IGR2341BEFD0A977D6	3	1	f79v	f79	f79v.8	5	4	1006217	https://collections.library.yale.edu/iiif/2/1006217/full/full/0/default.jpg	2811	3714	81d647bbc752211d5bf671f7791c59fc8dceaa60e20e7f7a075319b44ed879c1	CX20A1111522AF	1100	650	1400	300	590	125	45	55	MEDIUM	Fifth group on eighth text line, fourth and terminal within-group position.	RV72F43AC1CBE89F	a3333c6748cdeadb64bf02faa0e99d7f6ad96866b71d90f910ad7bb97f49e889	CROP_ONLY_REVIEWER_2	ONE_CLEAR_VISIBLE_UNIT	HIGH	ZERO	ZERO	ONE	ONE	NO	NO	NO	NO	YES	YES	NO	NO	1	A closed rounded head continues into a long downward-curving tail.
IGR2AAB900E01D7D62	3	1	f108r	f108	f108r.27	7	5	1006264	https://collections.library.yale.edu/iiif/2/1006264/full/full/0/default.jpg	2641	3787	afad28189500567259ef2041cd1c591644bf6d6c86ac6a39cd1c09503693ad76	CX47291F250155	1100	1600	1400	300	470	87	40	56	MEDIUM	Seventh group on registered line, fifth and terminal within-group position.	RVFEFE2471A66714	8a48e02f0c142a4300a155ea78b2041624d20efe83d7fae14c792a35c170e01d	CROP_ONLY_REVIEWER_3	LOCALIZATION_UNRESOLVED	LOW	ZERO	ZERO	ONE	NONE	NO	NO	NO	YES	YES	NO	NO	NO	0	Only a partial rounded ink fragment is visible at the lower-right corner, clipped by both the lower and right borders.
