atom	atomic_default_de	word_class	total_atom_occurrences	herbal_occurrences	biological_occurrences	herbal_records	biological_records	distinct_master_cards	distinct_surfaces	distinct_statements	ecology_status	apprentice_use
AIIN	Sollmaß	ARGUMENT	39	14	25	H1,H2,H3,H4,H5	B1,B2,B3,B4,B5,B6	10	16	30	PORTABLE_WORKSHOP_CORE	same short value in both prose sections
AL	Ziel	ARGUMENT	40	6	34	H3,H4,H5	B1,B2,B3,B4,B5,B6	23	30	29	PORTABLE_WORKSHOP_CORE	same short value in both prose sections
AR	Quelle	ARGUMENT	14	4	10	H1,H2,H4,H5	B1,B2,B3,B4	10	12	14	PORTABLE_WORKSHOP_CORE	same short value in both prose sections
CLOSE	Schluss	ENDPOINT	87	3	84	H3,H4,H5	B1,B2,B3,B4,B5	35	43	87	PORTABLE_WORKSHOP_CORE	same short value in both prose sections
CTH	bereit	ENDPOINT	16	7	9	H1,H2,H3,H4	B2,B3	9	12	12	PORTABLE_WORKSHOP_CORE	same short value in both prose sections
E	kurz	GRADE_OR_ORDER	45	3	42	H1,H5	B1,B2,B3,B4,B6	22	26	41	PORTABLE_WORKSHOP_CORE	same short value in both prose sections
EE	länger	GRADE_OR_ORDER	34	2	32	H4,H5	B1,B2,B3,B4,B6	14	16	33	PORTABLE_WORKSHOP_CORE	same short value in both prose sections
KCH	bearbeiten	OPERATION_OR_LEARNED_BODY	7	5	2	H2,H3,H5	B1,B6	7	7	7	PORTABLE_WORKSHOP_CORE	same short value in both prose sections
OK	ansetzen	OPERATION_OR_LEARNED_BODY	81	12	69	H1,H3,H4,H5	B1,B2,B3,B4,B5	24	34	60	PORTABLE_WORKSHOP_CORE	same short value in both prose sections
OL	weiter	GRADE_OR_ORDER	46	13	33	H1,H2,H3,H4,H5	B1,B2,B3,B4,B5,B6	23	31	31	PORTABLE_WORKSHOP_CORE	same short value in both prose sections
OR	Ansatz	OPERATION_OR_LEARNED_BODY	17	13	4	H1,H2,H4,H5	B1,B3,B4	9	14	10	PORTABLE_WORKSHOP_CORE	same short value in both prose sections
OT	danach	GRADE_OR_ORDER	26	8	18	H1,H2,H3,H5	B1,B2,B3,B4,B5	16	20	22	PORTABLE_WORKSHOP_CORE	same short value in both prose sections
SH	halten	OPERATION_OR_LEARNED_BODY	6	2	4	H3,H5	B1,B2,B4	6	6	6	PORTABLE_WORKSHOP_CORE	same short value in both prose sections
TY	Teil	ARGUMENT	7	4	3	H1,H3	B1,B3	6	7	5	PORTABLE_WORKSHOP_CORE	same short value in both prose sections
Y	Posten	ARGUMENT	111	38	73	H1,H2,H3,H4,H5	B1,B2,B3,B4,B5,B6	51	67	58	PORTABLE_WORKSHOP_CORE	same short value in both prose sections
