atom_occurrence_serial	event_serial	atom_position_in_card	atom	atomic_default_de	domain	record_unit_id	page	statement_id	visible_surface	master_card_id
1	1	1	DCHE	Wurzel	HERBAL	H1	f10r	H1-S001	dchey	MC071
2	1	2	Y	Posten	HERBAL	H1	f10r	H1-S001	dchey	MC071
3	2	1	CTH	bereit	HERBAL	H1	f10r	H1-S001	cthoor	MC158
4	2	2	OR	Ansatz	HERBAL	H1	f10r	H1-S001	cthoor	MC158
5	3	1	AR	Quelle	HERBAL	H1	f10r	H1-S001	char	MC055
6	4	1	PARTITION	teilen	HERBAL	H1	f10r	H1-S001	chty	MC086
7	4	2	TY	Teil	HERBAL	H1	f10r	H1-S001	chty	MC086
8	5	1	OS	Gefäß	HERBAL	H1	f10r	H1-S001	os	MC159
9	6	1	AIR	Lauf	HERBAL	H1	f10r	H1-S001	chair	MC014
10	7	1	OT	danach	HERBAL	H1	f10r	H1-S001	otytchol	MC069
11	7	2	TY	Teil	HERBAL	H1	f10r	H1-S001	otytchol	MC069
12	7	3	OL	weiter	HERBAL	H1	f10r	H1-S001	otytchol	MC069
13	8	1	OK	ansetzen	HERBAL	H1	f10r	H1-S001	oky	MC026
14	8	2	Y	Posten	HERBAL	H1	f10r	H1-S001	oky	MC026
15	9	1	AIIN	Sollmaß	HERBAL	H1	f10r	H1-S001	daiin	MC039
16	10	1	E	kurz	HERBAL	H1	f10r	H1-S001	etyd	MC108
17	10	2	TY	Teil	HERBAL	H1	f10r	H1-S001	etyd	MC108
18	11	1	OK	ansetzen	HERBAL	H1	f10r	H1-S002	qokchy	MC103
19	11	2	Y	Posten	HERBAL	H1	f10r	H1-S002	qokchy	MC103
20	12	1	OT	danach	HERBAL	H1	f10r	H1-S002	qotchol	MC163
21	12	2	OL	weiter	HERBAL	H1	f10r	H1-S002	qotchol	MC163
22	13	1	OL	weiter	HERBAL	H1	f10r	H1-S002	chol	MC153
23	14	1	CTH	bereit	HERBAL	H1	f10r	H1-S002	cthy	MC161
24	14	2	Y	Posten	HERBAL	H1	f10r	H1-S002	cthy	MC161
25	15	1	Y	Posten	HERBAL	H2	f10r	H2-S001	ycheor	MC075
26	15	2	CHEO	Auszug	HERBAL	H2	f10r	H2-S001	ycheor	MC075
27	15	3	OR	Ansatz	HERBAL	H2	f10r	H2-S001	ycheor	MC075
28	16	1	CTH	bereit	HERBAL	H2	f10r	H2-S001	cthy	MC161
29	16	2	Y	Posten	HERBAL	H2	f10r	H2-S001	cthy	MC161
30	17	1	OR	Ansatz	HERBAL	H2	f10r	H2-S001	chor	MC080
31	18	1	CTH	bereit	HERBAL	H2	f10r	H2-S001	cthaiin	MC169
32	18	2	AIIN	Sollmaß	HERBAL	H2	f10r	H2-S001	cthaiin	MC169
33	19	1	CTH	bereit	HERBAL	H2	f10r	H2-S001	qoctholy	MC115
34	19	2	OL	weiter	HERBAL	H2	f10r	H2-S001	qoctholy	MC115
35	19	3	Y	Posten	HERBAL	H2	f10r	H2-S001	qoctholy	MC115
36	20	1	Y	Posten	HERBAL	H2	f10r	H2-S001	dy	MC123
37	21	1	Y	Posten	HERBAL	H2	f10r	H2-S001	chy	MC123
38	22	1	AIIN	Sollmaß	HERBAL	H2	f10r	H2-S001	taiin	MC039
39	23	1	Y	Posten	HERBAL	H2	f10r	H2-S001	shy	MC123
40	24	1	OT	danach	HERBAL	H2	f10r	H2-S002	qotchor	MC013
