atom	atomic_default_de	word_class	total_atom_occurrences	herbal_occurrences	biological_occurrences	herbal_records	biological_records	distinct_master_cards	distinct_surfaces	distinct_statements	ecology_status	apprentice_use
AIIN	Sollmaß	ARGUMENT	39	14	25	H1,H2,H3,H4,H5	B1,B2,B3,B4,B5,B6	10	16	30	PORTABLE_WORKSHOP_CORE	same short value in both prose sections
AIN	Anteil	ARGUMENT	16	3	13	H4	B1,B2,B3,B4	7	10	12	THIN_CROSS_SECTION_BRIDGE	retain shared value but teach the sparse side by exemplar
AIR	Lauf	ARGUMENT	5	1	4	H1	B1,B3,B4	5	5	5	THIN_CROSS_SECTION_BRIDGE	retain shared value but teach the sparse side by exemplar
AL	Ziel	ARGUMENT	40	6	34	H3,H4,H5	B1,B2,B3,B4,B5,B6	23	30	29	PORTABLE_WORKSHOP_CORE	same short value in both prose sections
AM	verwahren	OPERATION_OR_LEARNED_BODY	1	1	0	H4	NONE	1	1	1	HERBAL_SPECIALIST__ONE_EVENT	do not export beyond plant preparation without a new occurrence; memorize the exact card
AR	Quelle	ARGUMENT	14	4	10	H1,H2,H4,H5	B1,B2,B3,B4	10	12	14	PORTABLE_WORKSHOP_CORE	same short value in both prose sections
CFH	auswringen	OPERATION_OR_LEARNED_BODY	1	1	0	H3	NONE	1	1	1	HERBAL_SPECIALIST__ONE_EVENT	do not export beyond plant preparation without a new occurrence; memorize the exact card
CHD	umsetzen	OPERATION_OR_LEARNED_BODY	48	1	47	H4	B1,B2,B3,B4,B5	22	28	41	THIN_CROSS_SECTION_BRIDGE	retain shared value but teach the sparse side by exemplar
CHEEY	Ergebnis	ENDPOINT	6	1	5	H3	B2,B4	3	4	5	THIN_CROSS_SECTION_BRIDGE	retain shared value but teach the sparse side by exemplar
CHEO	Auszug	OPERATION_OR_LEARNED_BODY	4	4	0	H2,H4,H5	NONE	4	4	4	HERBAL_SPECIALIST	do not export beyond plant preparation without a new occurrence
CHK	wärmen	OPERATION_OR_LEARNED_BODY	7	1	6	H4	B1,B2,B3,B4	4	4	7	THIN_CROSS_SECTION_BRIDGE	retain shared value but teach the sparse side by exemplar
CKH	Durchlass	OPERATION_OR_LEARNED_BODY	10	1	9	H5	B1,B2,B4	7	8	9	THIN_CROSS_SECTION_BRIDGE	retain shared value but teach the sparse side by exemplar
CKHE	trennen	OPERATION_OR_LEARNED_BODY	4	0	4	NONE	B1,B2,B4	2	2	4	BIOLOGICAL_SPECIALIST	do not export beyond bath/service work without a new occurrence
CLOSE	Schluss	ENDPOINT	87	3	84	H3,H4,H5	B1,B2,B3,B4,B5	35	43	87	PORTABLE_WORKSHOP_CORE	same short value in both prose sections
CPH	nachseihen	OPERATION_OR_LEARNED_BODY	1	1	0	H3	NONE	1	1	1	HERBAL_SPECIALIST__ONE_EVENT	do not export beyond plant preparation without a new occurrence; memorize the exact card
CTH	bereit	ENDPOINT	16	7	9	H1,H2,H3,H4	B2,B3	9	12	12	PORTABLE_WORKSHOP_CORE	same short value in both prose sections
DAIN	Tuch	ARGUMENT	2	0	2	NONE	B4,B6	1	1	2	BIOLOGICAL_SPECIALIST	do not export beyond bath/service work without a new occurrence
DAN	anwenden	OPERATION_OR_LEARNED_BODY	1	1	0	H5	NONE	1	1	1	HERBAL_SPECIALIST__ONE_EVENT	do not export beyond plant preparation without a new occurrence; memorize the exact card
DCHE	Wurzel	OPERATION_OR_LEARNED_BODY	1	1	0	H1	NONE	1	1	1	HERBAL_SPECIALIST__ONE_EVENT	do not export beyond plant preparation without a new occurrence; memorize the exact card
DCHOL	vorher	GRADE_OR_ORDER	2	2	0	H3,H5	NONE	1	2	2	HERBAL_SPECIALIST	do not export beyond plant preparation without a new occurrence
E	kurz	GRADE_OR_ORDER	45	3	42	H1,H5	B1,B2,B3,B4,B6	22	26	41	PORTABLE_WORKSHOP_CORE	same short value in both prose sections
EE	länger	GRADE_OR_ORDER	34	2	32	H4,H5	B1,B2,B3,B4,B6	14	16	33	PORTABLE_WORKSHOP_CORE	same short value in both prose sections
EEE	vollständig	GRADE_OR_ORDER	2	0	2	NONE	B2,B3	2	2	2	BIOLOGICAL_SPECIALIST	do not export beyond bath/service work without a new occurrence
HO	Zutat	OPERATION_OR_LEARNED_BODY	13	13	0	H2,H3,H5	NONE	10	11	7	HERBAL_SPECIALIST	do not export beyond plant preparation without a new occurrence
IIN	Stufe	ARGUMENT	4	1	3	H2	B1,B3,B5	3	4	4	THIN_CROSS_SECTION_BRIDGE	retain shared value but teach the sparse side by exemplar
KCH	bearbeiten	OPERATION_OR_LEARNED_BODY	7	5	2	H2,H3,H5	B1,B6	7	7	7	PORTABLE_WORKSHOP_CORE	same short value in both prose sections
L	abführen	OPERATION_OR_LEARNED_BODY	25	1	24	H3	B1,B2,B3,B4,B5	17	17	22	THIN_CROSS_SECTION_BRIDGE	retain shared value but teach the sparse side by exemplar
LDDY	festbinden	OPERATION_OR_LEARNED_BODY	1	0	1	NONE	B4	1	1	1	BIOLOGICAL_SPECIALIST__ONE_EVENT	do not export beyond bath/service work without a new occurrence; memorize the exact card
LOCAL_WHOLE	Zusatz	OPERATION_OR_LEARNED_BODY	2	0	2	NONE	B1	1	1	2	BIOLOGICAL_SPECIALIST	do not export beyond bath/service work without a new occurrence
ODY	kühlen	OPERATION_OR_LEARNED_BODY	1	1	0	H4	NONE	1	1	1	HERBAL_SPECIALIST__ONE_EVENT	do not export beyond plant preparation without a new occurrence; memorize the exact card
OK	ansetzen	OPERATION_OR_LEARNED_BODY	81	12	69	H1,H3,H4,H5	B1,B2,B3,B4,B5	24	34	60	PORTABLE_WORKSHOP_CORE	same short value in both prose sections
OL	weiter	GRADE_OR_ORDER	46	13	33	H1,H2,H3,H4,H5	B1,B2,B3,B4,B5,B6	23	31	31	PORTABLE_WORKSHOP_CORE	same short value in both prose sections
OR	Ansatz	OPERATION_OR_LEARNED_BODY	17	13	4	H1,H2,H4,H5	B1,B3,B4	9	14	10	PORTABLE_WORKSHOP_CORE	same short value in both prose sections
OS	Gefäß	ARGUMENT	1	1	0	H1	NONE	1	1	1	HERBAL_SPECIALIST__ONE_EVENT	do not export beyond plant preparation without a new occurrence; memorize the exact card
OT	danach	GRADE_OR_ORDER	26	8	18	H1,H2,H3,H5	B1,B2,B3,B4,B5	16	20	22	PORTABLE_WORKSHOP_CORE	same short value in both prose sections
P	zuführen	OPERATION_OR_LEARNED_BODY	2	0	2	NONE	B2,B3	2	2	2	BIOLOGICAL_SPECIALIST	do not export beyond bath/service work without a new occurrence
PARTITION	teilen	OPERATION_OR_LEARNED_BODY	3	1	2	H1	B2,B3	2	3	3	THIN_CROSS_SECTION_BRIDGE	retain shared value but teach the sparse side by exemplar
SH	halten	OPERATION_OR_LEARNED_BODY	6	2	4	H3,H5	B1,B2,B4	6	6	6	PORTABLE_WORKSHOP_CORE	same short value in both prose sections
SHED	absetzen	OPERATION_OR_LEARNED_BODY	19	0	19	NONE	B1,B2,B3,B4,B5	7	9	19	BIOLOGICAL_SPECIALIST	do not export beyond bath/service work without a new occurrence
SK	ausgießen	OPERATION_OR_LEARNED_BODY	1	0	1	NONE	B4	1	1	1	BIOLOGICAL_SPECIALIST__ONE_EVENT	do not export beyond bath/service work without a new occurrence; memorize the exact card
SOLK	sammeln	OPERATION_OR_LEARNED_BODY	6	0	6	NONE	B1,B2,B3,B4,B6	4	5	6	BIOLOGICAL_SPECIALIST	do not export beyond bath/service work without a new occurrence
TY	Teil	ARGUMENT	7	4	3	H1,H3	B1,B3	6	7	5	PORTABLE_WORKSHOP_CORE	same short value in both prose sections
WASH	waschen	OPERATION_OR_LEARNED_BODY	4	0	4	NONE	B1,B2	3	3	3	BIOLOGICAL_SPECIALIST	do not export beyond bath/service work without a new occurrence
Y	Posten	ARGUMENT	111	38	73	H1,H2,H3,H4,H5	B1,B2,B3,B4,B5,B6	51	67	58	PORTABLE_WORKSHOP_CORE	same short value in both prose sections
