scope	scope_id	axis	n	state_counts_json	secure_state_count	mobile
GLOBAL	ALL	MAJOR_BODY_COUNT	27	"{""ONE"":12,""THREE_PLUS"":9,""TWO"":6}"	3	1
GLOBAL	ALL	TERMINAL_ARM_COUNT	27	"{""FOUR_PLUS"":16,""TWO_THREE"":7,""UNCERTAIN"":1,""ZERO_ONE"":3}"	3	1
GLOBAL	ALL	DOMINANT_HUE	27	"{""COOL_GREEN_BLUE"":11,""MIXED_COOL_WARM"":4,""WARM_RED_ORANGE_TAN_BROWN"":12}"	3	1
FOLIO	f100	MAJOR_BODY_COUNT	10	"{""ONE"":2,""THREE_PLUS"":8}"	2	1
FOLIO	f100	TERMINAL_ARM_COUNT	10	"{""FOUR_PLUS"":6,""TWO_THREE"":2,""ZERO_ONE"":2}"	3	1
FOLIO	f100	DOMINANT_HUE	10	"{""COOL_GREEN_BLUE"":10}"	1	0
FOLIO	f89	MAJOR_BODY_COUNT	3	"{""ONE"":2,""TWO"":1}"	2	1
FOLIO	f89	TERMINAL_ARM_COUNT	3	"{""FOUR_PLUS"":1,""UNCERTAIN"":1,""ZERO_ONE"":1}"	2	1
FOLIO	f89	DOMINANT_HUE	3	"{""COOL_GREEN_BLUE"":1,""MIXED_COOL_WARM"":1,""WARM_RED_ORANGE_TAN_BROWN"":1}"	3	1
FOLIO	f99	MAJOR_BODY_COUNT	14	"{""ONE"":8,""THREE_PLUS"":1,""TWO"":5}"	3	1
FOLIO	f99	TERMINAL_ARM_COUNT	14	"{""FOUR_PLUS"":9,""TWO_THREE"":5}"	2	1
FOLIO	f99	DOMINANT_HUE	14	"{""MIXED_COOL_WARM"":3,""WARM_RED_ORANGE_TAN_BROWN"":11}"	2	1
ARRAY	F100R_L2	MAJOR_BODY_COUNT	6	"{""ONE"":2,""THREE_PLUS"":4}"	2	1
ARRAY	F100R_L2	TERMINAL_ARM_COUNT	6	"{""FOUR_PLUS"":3,""TWO_THREE"":1,""ZERO_ONE"":2}"	3	1
ARRAY	F100R_L2	DOMINANT_HUE	6	"{""COOL_GREEN_BLUE"":6}"	1	0
ARRAY	F100V_L1	MAJOR_BODY_COUNT	4	"{""THREE_PLUS"":4}"	1	0
ARRAY	F100V_L1	TERMINAL_ARM_COUNT	4	"{""FOUR_PLUS"":3,""TWO_THREE"":1}"	2	1
ARRAY	F100V_L1	DOMINANT_HUE	4	"{""COOL_GREEN_BLUE"":4}"	1	0
ARRAY	F89R2_L4	MAJOR_BODY_COUNT	3	"{""ONE"":2,""TWO"":1}"	2	1
ARRAY	F89R2_L4	TERMINAL_ARM_COUNT	3	"{""FOUR_PLUS"":1,""UNCERTAIN"":1,""ZERO_ONE"":1}"	2	1
ARRAY	F89R2_L4	DOMINANT_HUE	3	"{""COOL_GREEN_BLUE"":1,""MIXED_COOL_WARM"":1,""WARM_RED_ORANGE_TAN_BROWN"":1}"	3	1
ARRAY	F99V_L1	MAJOR_BODY_COUNT	8	"{""ONE"":6,""TWO"":2}"	2	1
ARRAY	F99V_L1	TERMINAL_ARM_COUNT	8	"{""FOUR_PLUS"":6,""TWO_THREE"":2}"	2	1
ARRAY	F99V_L1	DOMINANT_HUE	8	"{""MIXED_COOL_WARM"":2,""WARM_RED_ORANGE_TAN_BROWN"":6}"	2	1
ARRAY	F99V_L2	MAJOR_BODY_COUNT	6	"{""ONE"":2,""THREE_PLUS"":1,""TWO"":3}"	3	1
ARRAY	F99V_L2	TERMINAL_ARM_COUNT	6	"{""FOUR_PLUS"":3,""TWO_THREE"":3}"	2	1
ARRAY	F99V_L2	DOMINANT_HUE	6	"{""MIXED_COOL_WARM"":1,""WARM_RED_ORANGE_TAN_BROWN"":5}"	2	1
