axis	state	definition
MAJOR_BODY_COUNT	ONE	Exactly one spatially distinguishable broad closed body in the selected component.
MAJOR_BODY_COUNT	TWO	Exactly two spatially distinguishable broad closed bodies in the selected component.
MAJOR_BODY_COUNT	THREE_PLUS	At least three spatially distinguishable broad closed bodies in the selected component.
MAJOR_BODY_COUNT	UNCERTAIN	Clipping fading or boundary ambiguity prevents a secure bin.
TERMINAL_ARM_COUNT	ZERO_ONE	Zero or one visible terminal narrow arm leaving the major body or bodies.
TERMINAL_ARM_COUNT	TWO_THREE	Two or three visible terminal narrow arms leaving the major body or bodies.
TERMINAL_ARM_COUNT	FOUR_PLUS	At least four visible terminal narrow arms leaving the major body or bodies.
TERMINAL_ARM_COUNT	UNCERTAIN	Clipping fading or boundary ambiguity prevents a secure bin.
DOMINANT_HUE	COOL_GREEN_BLUE	Cool green or blue occupies the clear majority of filled area.
DOMINANT_HUE	WARM_RED_ORANGE_TAN_BROWN	Warm red orange tan or brown occupies the clear majority of filled area.
DOMINANT_HUE	MIXED_COOL_WARM	Both cool and warm hue groups occupy substantial visible area.
DOMINANT_HUE	UNCERTAIN	Fading clipping or ambiguous pigment prevents a secure bin.
