case_id	occurrence_id	surface	composition	head	working_value	working_roman	page	locus	token_index	section	hand	line_position	triple_reader_token_stable	global_context_mode	global_axis	contextual_renderer_de	visible_head_surface	visible_head_gloss_de	evidence_id	evidence_source	left_surface	left_gloss_de	right_surface	right_gloss_de	decision	surface_line
G686-V0001	G626-M00004	daiin	D+A+III	d	3	III	f100r	f100r.13	7	P	1	MIDDLE	0	D_VALUE_OUTER_HEAD_OPEN	OPEN	III. Wertstufe des laufenden Postens; äußerer Kopf bestimmt Grad, Menge oder Klasse	NONE	NONE	NONE	experiments/yolo/gdt627_value_head_role_atlas/artifacts/HEAD_ROLE_ATLAS.tsv	rorarydaiin	OPEN	deeomchol	OPEN	VALUE_LEVEL_FIXED__AXIS_BY_VISIBLE_OR_KEYED_HEAD	dsheor cthey qokeey oteey ykeeodain rorarydaiin daiin deeomchol
G686-V0002	G626-M00008	daiin	D+A+III	d	3	III	f100r	f100r.25	4	P	1	MIDDLE	1	DIRECT_QUALITY_GRADE	GRADE	unmarkiert: trocken, Grad III	chol	unmarkiert: trocken, Grad III	G628-L001	experiments/yolo/gdt628_chol_measure_frame/artifacts/OL_QUALITY_D_VALUE_PHRASES.tsv	chol	trocken; nominal trockenes Gut/Material	ctheol	Krautdrogenstoff der Mittelstufe	VALUE_LEVEL_FIXED__AXIS_BY_VISIBLE_OR_KEYED_HEAD	sheor qkeeody chol daiin ctheol olcheol cheky cheol cheockhy okeol
G686-V0003	G626-M00010	daiin	D+A+III	d	3	III	f100v	f100v.14	8	P	1	MIDDLE	1	D_VALUE_OUTER_HEAD_OPEN	OPEN	III. Wertstufe des laufenden Postens; äußerer Kopf bestimmt Grad, Menge oder Klasse	NONE	NONE	NONE	experiments/yolo/gdt627_value_head_role_atlas/artifacts/HEAD_ROLE_ATLAS.tsv	oteey	kalter Ansatz am Ende des Grades	qokomo	OPEN	VALUE_LEVEL_FIXED__AXIS_BY_VISIBLE_OR_KEYED_HEAD	deey sheocphy qoteody ckhoor ar chor oteey daiin qokomo
G686-V0004	G626-M00012	daiin	D+A+III	d	3	III	f100v	f100v.22	1	P	1	FIRST	1	D_VALUE_OUTER_HEAD_OPEN	OPEN	III. Wertstufe des laufenden Postens; äußerer Kopf bestimmt Grad, Menge oder Klasse	NONE	NONE	NONE	experiments/yolo/gdt627_value_head_role_atlas/artifacts/HEAD_ROLE_ATLAS.tsv	<START>	OPEN	cheky	bis zur mittleren Trockenstufe, dann leicht erhitzen	VALUE_LEVEL_FIXED__AXIS_BY_VISIBLE_OR_KEYED_HEAD	daiin cheky chory
G686-V0005	G626-M00027	daiin	D+A+III	d	3	III	f102r1	f102r1.15	3	P	1	MIDDLE	0	DIRECT_QUALITY_GRADE	GRADE	unmarkiert: trocken, Grad III	chol	unmarkiert: trocken, Grad III	G628-L003	experiments/yolo/gdt628_chol_measure_frame/artifacts/OL_QUALITY_D_VALUE_PHRASES.tsv	chol	trocken; nominal trockenes Gut/Material	dykeor	OPEN	VALUE_LEVEL_FIXED__AXIS_BY_VISIBLE_OR_KEYED_HEAD	or chol daiin dykeor sheey qokeody dor os ykeeykam
G686-V0006	G626-M00020	daiin	D+A+III	d	3	III	f102r1	f102r1.6	1	P	1	FIRST	0	D_VALUE_OUTER_HEAD_OPEN	OPEN	III. Wertstufe des laufenden Postens; äußerer Kopf bestimmt Grad, Menge oder Klasse	NONE	NONE	NONE	experiments/yolo/gdt627_value_head_role_atlas/artifacts/HEAD_ROLE_ATLAS.tsv	<START>	OPEN	ykeeol	OPEN	VALUE_LEVEL_FIXED__AXIS_BY_VISIBLE_OR_KEYED_HEAD	daiin ykeeol oldy okodaiin
G686-V0007	G626-M00023	daiin	D+A+III	d	3	III	f102r1	f102r1.8	5	P	1	MIDDLE	1	D_VALUE_OUTER_HEAD_OPEN	OPEN	III. Wertstufe des laufenden Postens; äußerer Kopf bestimmt Grad, Menge oder Klasse	NONE	NONE	NONE	experiments/yolo/gdt627_value_head_role_atlas/artifacts/HEAD_ROLE_ATLAS.tsv	chofol	OPEN	oteol	Drogenstoff im Ansatz bis zur Mittelstufe abkühlen	VALUE_LEVEL_FIXED__AXIS_BY_VISIBLE_OR_KEYED_HEAD	pshodaiin qoorar chopy chofol daiin oteol qoteol doly
G686-V0008	G626-M00024	daiin	D+A+III	d	3	III	f102r1	f102r1.9	1	P	1	FIRST	0	D_VALUE_OUTER_HEAD_OPEN	OPEN	III. Wertstufe des laufenden Postens; äußerer Kopf bestimmt Grad, Menge oder Klasse	NONE	NONE	NONE	experiments/yolo/gdt627_value_head_role_atlas/artifacts/HEAD_ROLE_ATLAS.tsv	<START>	OPEN	orsheoldy	OPEN	VALUE_LEVEL_FIXED__AXIS_BY_VISIBLE_OR_KEYED_HEAD	daiin orsheoldy qokeol oteeody lshodykeodal qokshdy sy
G686-V0009	G626-M00035	daiin	D+A+III	d	3	III	f102v1	f102v1.11	8	P	1	MIDDLE	1	D_VALUE_OUTER_HEAD_OPEN	OPEN	III. Wertstufe des laufenden Postens; äußerer Kopf bestimmt Grad, Menge oder Klasse	NONE	NONE	NONE	experiments/yolo/gdt627_value_head_role_atlas/artifacts/HEAD_ROLE_ATLAS.tsv	kolcheey	OPEN	cheody	getrockneter Ansatz	VALUE_LEVEL_FIXED__AXIS_BY_VISIBLE_OR_KEYED_HEAD	sol chol qooiin qokol cheol chey kolcheey daiin cheody dy
G686-V0010	G626-M00037	daiin	D+A+III	d	3	III	f102v1	f102v1.13	3	P	1	MIDDLE	1	BARE_OL_VALUE_AXIS_OPEN	OPEN	III. Wertstufe des OL-Trägers; Sachachse offen	ol	Qualitäts-/Materialträger, Wert III; Kern offen	G630-E007	experiments/yolo/gdt630_outer_carrier_attachment/artifacts/VALUE_EXPRESSION_OCCURRENCES.tsv	ol	Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz	qkol	OPEN	VALUE_LEVEL_FIXED__AXIS_BY_VISIBLE_OR_KEYED_HEAD	toiin ol daiin qkol cheol daiin qokar oaiin cheey saiim
