metric	v58_before	v59_after	delta	interpretation
strict_card_debt_positions	131	120	-11	all eleven current value positions receive one keyed local axis
mechanical_visible_debt_union_positions	172	163	-9	nine slash-separated Grad/Maß cards become single local defaults
mechanical_flag_memberships	186	177	-9	no new mechanical class is introduced
broad_specificity_open_positions	335	324	-11	value level, axis, direction and local head are all explicit in V59
four_layer_union_with_low_confidence_positions	381	370	-11	the keyed working defaults remain replaceable but no longer semantically empty
mechanical_class:OPEN_COMPOSITION	20	20	0	class-level literal renderer count
mechanical_class:NON_SINGLE_GLOSS	36	27	-9	class-level literal renderer count
mechanical_class:STRUCTURAL_META_AS_VALUE	18	18	0	class-level literal renderer count
mechanical_class:HARD_GENERIC_CARRIER	39	39	0	class-level literal renderer count
mechanical_class:STATE_ONLY_NO_OBJECT	73	73	0	class-level literal renderer count
