page	locus	target_surfaces	revisions	axes	old_literal_token_glosses_de	new_literal_token_glosses_de	old_aligned_line_de	new_aligned_line_de	old_practical_translation_de	new_practical_translation_de	local_dispatch	confidence
f10r	f10r.2	daiin	1	GRADE	eine Dosis bis zur Mittelstufe trocknen und abschließen | eine Portion Blatt- oder Krautansatz | Trockenfraktion I | trocken-kalt am Gradanfang | Ansatzcharge | zweite Trockenfraktion | nachgekühlter Trockenstoff im Ansatz | heißer Ansatz am Anfang des Grades | Grad-/Maßwert III | bis Mittelstufe gekühlter Ansatz, abgeschlossen	eine Dosis bis zur Mittelstufe trocknen und abschließen | eine Portion Blatt- oder Krautansatz | Trockenfraktion I | trocken-kalt am Gradanfang | Ansatzcharge | zweite Trockenfraktion | nachgekühlter Trockenstoff im Ansatz | heißer Ansatz am Anfang des Grades | Qualitätsgrad III des erhitzten Ansatzes | bis Mittelstufe gekühlter Ansatz, abgeschlossen	Eine Dosis bis Mittelstufe trocknen und abschließen · eine Portion Blatt- oder Krautansatz · Trockenfraktion I · trocken-kalt, Anfangsstufe · Ansatzcharge · zweite Trockenfraktion · nachgekühlter Trockenstoff im Ansatz · heißer Ansatz, Anfangsstufe · Grad/Maß III · bis Mittelstufe gekühlter Ansatz, abgeschlossen.	Eine Dosis bis Mittelstufe trocknen und abschließen · eine Portion Blatt- oder Krautansatz · Trockenfraktion I · trocken-kalt, Anfangsstufe · Ansatzcharge · zweite Trockenfraktion · nachgekühlter Trockenstoff im Ansatz · heißer Ansatz, Anfangsstufe · Qualitätsgrad III des erhitzten Ansatzes · bis Mittelstufe gekühlter Ansatz, abgeschlossen.	Eine Portion Blatt- oder Krautansatz bis zur Mittelstufe trocknen und abschließen. Erste und zweite Trockenfraktion kalt-trocken ansetzen und mit einer Ansatzcharge sowie nachgekühltem Trockenstoff verbinden. Den Ansatz leicht erhitzen, drei Teile abnehmen und bis zur Mittelstufe kühlen und abschließen.	Eine Portion Blatt- oder Krautansatz bis zur Mittelstufe trocknen und abschließen. Erste und zweite Trockenfraktion kalt-trocken ansetzen und mit einer Ansatzcharge sowie nachgekühltem Trockenstoff verbinden. Den Ansatz leicht erhitzen: Qualitätsgrad III; anschließend bis zur Mittelstufe kühlen und abschließen.	daiin#9=GRADE:LEFT:oky	AMBER
f112v	f112v.10	dain	1	GRADE	Grad-/Maßwert II | feucht am Ende des Grades | heiß-trockener Ansatz in der Mitte des Grades, abgeschlossen | zwei Portionen	Feuchtgrad II | feucht am Ende des Grades | heiß-trockener Ansatz in der Mitte des Grades, abgeschlossen | zwei Portionen	Grad/Maß II · feucht, Endstufe · heiß-trockener Ansatz, Mittelstufe, abgeschlossen · zwei Portionen.	Feuchtgrad II · feucht, Endstufe · heiß-trockener Ansatz, Mittelstufe, abgeschlossen · zwei Portionen.	Grad/Maß II · feucht, Endstufe · heiß-trockener Ansatz, Mittelstufe, abgeschlossen · zwei Portionen.	Feuchtgrad II bis zur Endstufe; heiß-trockener Ansatz bis zur Mittelstufe, abgeschlossen; zwei Portionen.	dain#1=GRADE:RIGHT:sheey	AMBER
f116r	f116r.12	dain|dain	2	AMOUNT|AMOUNT	zweiten Ansatz nehmen | Drogenfraktion I | nachgetrocknetes Drogenmaterial, Mittelstufe | heiß im Zubereitungsrahmen, Grad II | Grad-/Maßwert II | trocken am Ende des Grades | heißer Ansatz am Ende des Grades | kalt im Zubereitungsrahmen, Grad II | Drogenstoff trocknen und fertigstellen | Rohstoffklasse I im Ansatz, kalt am Gradanfang | Grad-/Maßwert II | ein Maß Ansatz-/Drogenmaterial; Holzbindung offen	zweiten Ansatz nehmen | Drogenfraktion I | nachgetrocknetes Drogenmaterial, Mittelstufe | heiß im Zubereitungsrahmen, Grad II | zwei Portionen des erhitzten nachgetrockneten Drogenmaterials | trocken am Ende des Grades | heißer Ansatz am Ende des Grades | kalt im Zubereitungsrahmen, Grad II | Drogenstoff trocknen und fertigstellen | Rohstoffklasse I im Ansatz, kalt am Gradanfang | zwei Portionen der Rohdroge I im kalten Anfangsansatz | ein Maß Ansatz-/Drogenmaterial; Holzbindung offen	zweiten Ansatz nehmen · Drogenfraktion I · nachgetrocknetes Drogenmaterial, Mittelstufe · heiß, Grad II, im Zubereitungsrahmen · Grad/Maß II · trocken, Endstufe · heißer Ansatz, Endstufe · kalt, Grad II, im Zubereitungsrahmen · Drogenstoff trocknen und fertigstellen · Rohstoffklasse I im kalten Anfangsansatz · Grad/Maß II · ein Maß Ansatz-/Drogenmaterial.	zweiten Ansatz nehmen · Drogenfraktion I · nachgetrocknetes Drogenmaterial, Mittelstufe · heiß, Grad II, im Zubereitungsrahmen · zwei Portionen des erhitzten nachgetrockneten Drogenmaterials · trocken, Endstufe · heißer Ansatz, Endstufe · kalt, Grad II, im Zubereitungsrahmen · Drogenstoff trocknen und fertigstellen · Rohstoffklasse I im kalten Anfangsansatz · zwei Portionen der Rohdroge I im kalten Anfangsansatz · ein Maß Ansatz-/Drogenmaterial.	Den zweiten Ansatz nehmen: erste Drogenfraktion und nachgetrocknetes Drogenmaterial der Mittelstufe. Auf Heizgrad II bringen; Maß II. Bis zur Trocken-Endstufe, danach zur heißen Endstufe und anschließend auf Kühlgrad II führen. Den Drogenstoff trocknen und fertigstellen; Rohdroge I im kalten Anfangsansatz, Maß II, schließlich ein Maß Drogenmaterial.	Den zweiten Ansatz nehmen: erste Drogenfraktion und nachgetrocknetes Drogenmaterial der Mittelstufe. Auf Heizgrad II bringen; davon zwei Portionen. Bis zur Trocken-Endstufe, danach zur heißen Endstufe und anschließend auf Kühlgrad II führen. Den Drogenstoff trocknen und fertigstellen; von der Rohdroge I im kalten Anfangsansatz zwei Portionen; anschließend ein Maß Drogenmaterial.	dain#5=AMOUNT:LEFT:cholches | dain#11=AMOUNT:LEFT:otal	AMBER|AMBER
f56r	f56r.6	daiin	1	GRADE	hieraus einen heiß-trockenen Ansatz bereiten | Qualitäts-/Wertfeld geschlossen | abgemessene Trockendroge der Mittelstufe, abgeschlossen | heiß am Ende des Grades | Grad-/Maßwert III | Eintrag abgeschlossen	hieraus einen heiß-trockenen Ansatz bereiten | Qualitäts-/Wertfeld geschlossen | abgemessene Trockendroge der Mittelstufe, abgeschlossen | heiß am Ende des Grades | Qualitätsgrad III des heißen Endzustands | Eintrag abgeschlossen	Hieraus einen heiß-trockenen Ansatz bereiten · Qualitäts-/Wertfeld geschlossen · abgemessene Trockendroge der Mittelstufe, abgeschlossen · heiß, Endstufe · Grad/Maß III · Eintrag abgeschlossen.	Hieraus einen heiß-trockenen Ansatz bereiten · Qualitäts-/Wertfeld geschlossen · abgemessene Trockendroge der Mittelstufe, abgeschlossen · heiß, Endstufe · Qualitätsgrad III des heißen Endzustands · Eintrag abgeschlossen.	Hieraus einen heiß-trockenen Ansatz bereiten · Qualitäts-/Wertfeld geschlossen · abgemessene Trockendroge der Mittelstufe, abgeschlossen · heiß, Endstufe · Grad/Maß III · Eintrag abgeschlossen.	Hieraus einen heiß-trockenen Ansatz bereiten. Die abgemessene Trockendroge ist auf Mittelstufe abgeschlossen; heißer Endzustand, Qualitätsgrad III. Eintrag abgeschlossen.	daiin#5=GRADE:LEFT:keey	AMBER
f76v	f76v.10	daiin	1	AMOUNT	eine Portion Arzneikompositum abmessen | feuchte abgemessene Rohstoffmenge I in der Gradmitte | nimm fertig getrocknetes Pulver | weiche eine Dosis Droge bis zur Mittelstufe ein und schließe ab | feucht in der Mitte des Grades, abgeschlossen | kalt und trocken in der Mitte des Grades, abgeschlossen | Rohholzdroge I, vollständig eingeweicht und kaltgestellt | bis zur Mittelstufe eingeweichtes und abgeschlossenes Arzneikompositum | Grad-/Maßwert III | Qualitäts-/Wertfeld geschlossen	eine Portion Arzneikompositum abmessen | feuchte abgemessene Rohstoffmenge I in der Gradmitte | nimm fertig getrocknetes Pulver | weiche eine Dosis Droge bis zur Mittelstufe ein und schließe ab | feucht in der Mitte des Grades, abgeschlossen | kalt und trocken in der Mitte des Grades, abgeschlossen | Rohholzdroge I, vollständig eingeweicht und kaltgestellt | bis zur Mittelstufe eingeweichtes und abgeschlossenes Arzneikompositum | drei Portionen des eingeweichten Arzneikompositums | Qualitäts-/Wertfeld geschlossen	eine Portion Arzneikompositum abmessen · feuchte abgemessene Rohstoffmenge I, Mittelstufe · fertig getrocknetes Pulver nehmen · eine Dosis Droge bis Mittelstufe einweichen und abschließen · feucht, Mittelstufe, abgeschlossen · kalt-trocken, Mittelstufe, abgeschlossen · Rohholzdroge I, vollständig eingeweicht und kaltgestellt · bis Mittelstufe eingeweichtes und abgeschlossenes Arzneikompositum · Grad/Maß III · Qualitäts-/Wertfeld geschlossen.	eine Portion Arzneikompositum abmessen · feuchte abgemessene Rohstoffmenge I, Mittelstufe · fertig getrocknetes Pulver nehmen · eine Dosis Droge bis Mittelstufe einweichen und abschließen · feucht, Mittelstufe, abgeschlossen · kalt-trocken, Mittelstufe, abgeschlossen · Rohholzdroge I, vollständig eingeweicht und kaltgestellt · bis Mittelstufe eingeweichtes und abgeschlossenes Arzneikompositum · drei Portionen des eingeweichten Arzneikompositums · Qualitäts-/Wertfeld geschlossen.	Eine Portion Arzneikompositum abmessen; dazu feuchte abgemessene Rohstoffmenge I auf Mittelstufe. Fertig getrocknetes Pulver nehmen und eine Dosis Droge bis zur Mittelstufe einweichen und abschließen. Mit dem fertigen Feuchtgut und dem kalt-trockenen Mittelstufenprodukt die Rohholzdroge I vollständig einweichen und kaltstellen; bis zur Mittelstufe eingeweichtes Arzneikompositum, Maß III, danach Abschluss.	Eine Portion Arzneikompositum abmessen; dazu feuchte abgemessene Rohstoffmenge I auf Mittelstufe. Fertig getrocknetes Pulver nehmen und eine Dosis Droge bis zur Mittelstufe einweichen und abschließen. Mit dem fertigen Feuchtgut und dem kalt-trockenen Mittelstufenprodukt die Rohholzdroge I vollständig einweichen und kaltstellen; bis zur Mittelstufe eingeweichtes Arzneikompositum, drei Portionen; Wertfeld geschlossen.	daiin#9=AMOUNT:LEFT:shecphy	AMBER
f83v	f83v.12	daiin	1	AMOUNT	Grad-/Maßwert III | Arzneikompositum: feucht, Gradanfang | zweiter Mazerationsansatz | erste Holzdrogenfraktion abmessen | trocken am Ende des Grades | Rohstoffklasse I | heiß am Ende des Grades, abgeschlossen | erste erhitzte Drogenfraktion im Ansatz; Holzbindung offen | feucht am Ende des Grades, abgeschlossen | heiß, Grad II | Ansatz aus Holzrohstoff, Form I	drei Portionen feuchten Arzneikompositums | Arzneikompositum: feucht, Gradanfang | zweiter Mazerationsansatz | erste Holzdrogenfraktion abmessen | trocken am Ende des Grades | Rohstoffklasse I | heiß am Ende des Grades, abgeschlossen | erste erhitzte Drogenfraktion im Ansatz; Holzbindung offen | feucht am Ende des Grades, abgeschlossen | heiß, Grad II | Ansatz aus Holzrohstoff, Form I	Grad/Maß III · feuchtes Arzneikompositum, Anfangsstufe · zweiter Mazerationsansatz · erste Holzdrogenfraktion abmessen · trocken, Endstufe · Rohstoffklasse I · heiß, Endstufe, abgeschlossen · erste erhitzte Drogenfraktion im Ansatz · feucht, Endstufe, abgeschlossen · heiß, Grad II · Holzrohstoffansatz, Form I.	drei Portionen feuchten Arzneikompositums · feuchtes Arzneikompositum, Anfangsstufe · zweiter Mazerationsansatz · erste Holzdrogenfraktion abmessen · trocken, Endstufe · Rohstoffklasse I · heiß, Endstufe, abgeschlossen · erste erhitzte Drogenfraktion im Ansatz · feucht, Endstufe, abgeschlossen · heiß, Grad II · Holzrohstoffansatz, Form I.	Maß III; feuchtes Arzneikompositum auf Anfangsstufe; zweiter Mazerationsansatz. Daraus die erste Holzdrogenfraktion abmessen und bis zur Trocken-Endstufe führen; Rohdroge I; heiße Endstufe abgeschlossen; erste erhitzte Drogenfraktion im Ansatz; Feucht-Endstufe abgeschlossen; Heizgrad II; schließlich Holzrohstoffansatz in Form I.	Drei Portionen feuchten Arzneikompositums auf Anfangsstufe; zweiter Mazerationsansatz. Daraus die erste Holzdrogenfraktion abmessen und bis zur Trocken-Endstufe führen; Rohdroge I; heiße Endstufe abgeschlossen; erste erhitzte Drogenfraktion im Ansatz; Feucht-Endstufe abgeschlossen; Heizgrad II; schließlich Holzrohstoffansatz in Form I.	daiin#1=AMOUNT:RIGHT:shckhy	AMBER
f86v3	f86v3.13	qodaiin	1	AMOUNT	vollständig eingeweichter Ansatz | eine Portion vollständig eingeweichte Droge | abkühlen, bis zur Mittelstufe trocknen, ansetzen und fertigstellen | heiß, Grad II | Qualitätsgrad III | erste erhitzte Drogenfraktion im Ansatz; Holzbindung offen | abgemessene Trockendroge, Dosis III | hierzu: | trocken in der Mitte des Grades, abgeschlossen | erhitze einen gleichen Teil und schließe ab | Trockengut, heiß auf Stufe II	vollständig eingeweichter Ansatz | eine Portion vollständig eingeweichte Droge | abkühlen, bis zur Mittelstufe trocknen, ansetzen und fertigstellen | heiß, Grad II | drei Portionen der ersten erhitzten Drogenfraktion im Ansatz | erste erhitzte Drogenfraktion im Ansatz; Holzbindung offen | abgemessene Trockendroge, Dosis III | hierzu: | trocken in der Mitte des Grades, abgeschlossen | erhitze einen gleichen Teil und schließe ab | Trockengut, heiß auf Stufe II	vollständig eingeweichter Ansatz · Portion vollständig eingeweichte Droge · abkühlen, bis Mittelstufe trocknen, ansetzen und fertigstellen · heiß, Grad II · Qualitätsgrad III · erste erhitzte Drogenfraktion im Ansatz · abgemessene Trockendroge, Dosis III · hierzu · trocken, Mittelstufe, abgeschlossen · einen gleichen Teil erhitzen und abschließen · trocken, heiß auf Stufe II.	vollständig eingeweichter Ansatz · Portion vollständig eingeweichte Droge · abkühlen, bis Mittelstufe trocknen, ansetzen und fertigstellen · heiß, Grad II · drei Portionen der ersten erhitzten Drogenfraktion im Ansatz · erste erhitzte Drogenfraktion im Ansatz · abgemessene Trockendroge, Dosis III · hierzu · trocken, Mittelstufe, abgeschlossen · einen gleichen Teil erhitzen und abschließen · trocken, heiß auf Stufe II.	Vom vollständig eingeweichten Ansatz eine Portion vollständig eingeweichte Droge nehmen; abkühlen, bis zur Mittelstufe trocknen, ansetzen und fertigstellen. Auf Heizstufe II mit drei Teilen der ersten erhitzten Ansatzfraktion und drei Dosen Trockendroge verbinden; hierzu bis zur Mittelstufe trocknen und abschließen, einen gleichen Teil erhitzen und abschließen und das Trockengut auf Heizstufe II halten.	Vollständig eingeweichter Ansatz; eine Portion vollständig eingeweichte Droge. Abkühlen, bis zur Mittelstufe trocknen, ansetzen und fertigstellen. Heizstufe II; drei Portionen der ersten erhitzten Ansatzfraktion; drei Dosen Trockendroge. Hierzu bis zur Mittelstufe trocknen und abschließen; einen gleichen Teil erhitzen und abschließen; Trockengut auf Heizstufe II.	qodaiin#5=AMOUNT:RIGHT:olkar	AMBER
f86v6	f86v6.5	daiin	1	AMOUNT	kalte Drogenfraktion I | Holzstoff | trocken | erste erhitzte Drogenfraktion im Ansatz; Holzbindung offen | Grad-/Maßwert III | trockene Fraktion I | Drogenportion | kalt-feuchter Ansatz in der Mitte des Grades | heiße Drogenfraktion I | Trockenpulver-Ansatz, Form I | kalt angesetzte Charge, leicht angewärmt | kalte Drogenfraktion I	kalte Drogenfraktion I | Holzstoff | trocken | erste erhitzte Drogenfraktion im Ansatz; Holzbindung offen | drei Portionen der ersten erhitzten Drogenfraktion im Ansatz | trockene Fraktion I | Drogenportion | kalt-feuchter Ansatz in der Mitte des Grades | heiße Drogenfraktion I | Trockenpulver-Ansatz, Form I | kalt angesetzte Charge, leicht angewärmt | kalte Drogenfraktion I	Kalte Drogenfraktion I · Holzstoff · trocken · erste erhitzte Drogenfraktion im Ansatz · Grad/Maß III · trockene Fraktion I · Drogenportion · kalt-feuchter Ansatz, Mittelstufe · heiße Drogenfraktion I · Trockenpulver-Ansatz, Form I · kalt angesetzte Charge, leicht angewärmt · kalte Drogenfraktion I.	Kalte Drogenfraktion I · Holzstoff · trocken · erste erhitzte Drogenfraktion im Ansatz · drei Portionen der ersten erhitzten Drogenfraktion im Ansatz · trockene Fraktion I · Drogenportion · kalt-feuchter Ansatz, Mittelstufe · heiße Drogenfraktion I · Trockenpulver-Ansatz, Form I · kalt angesetzte Charge, leicht angewärmt · kalte Drogenfraktion I.	Kalte Drogenfraktion I · Holzstoff: trocken · erste erhitzte Drogenfraktion im Ansatz · Grad/Maß III · trockene Fraktion I · Drogenportion · kalt-feuchter Ansatz, Mittelstufe · heiße Drogenfraktion I · Trockenpulver-Ansatz, Form I · kalt angesetzte Charge, leicht angewärmt · kalte Drogenfraktion I.	Kalte Drogenfraktion I · Holzstoff: trocken · erste erhitzte Drogenfraktion im Ansatz: drei Portionen · trockene Fraktion I · Drogenportion · kalt-feuchter Ansatz, Mittelstufe · heiße Drogenfraktion I · Trockenpulver-Ansatz, Form I · kalt angesetzte Charge, leicht angewärmt · kalte Drogenfraktion I.	daiin#5=AMOUNT:LEFT:olkar	AMBER
f88r	f88r.19	daiin	1	GRADE	eine Dosis bis zur Mittelstufe trocknen und abschließen | heißer Trockenabsud | Qualitätsgrad III | heißen Drogenstoff der Mittelstufe zugeben | heißen Drogenstoff der Mittelstufe zugeben | Drogenstoff aus Arzneikompositum zugeben | heißer Ansatzstoff | trockener Drogenstoff	eine Dosis bis zur Mittelstufe trocknen und abschließen | heißer Trockenabsud | Qualitätsgrad III des heißen Trockenabsuds | heißen Drogenstoff der Mittelstufe zugeben | heißen Drogenstoff der Mittelstufe zugeben | Drogenstoff aus Arzneikompositum zugeben | heißer Ansatzstoff | trockener Drogenstoff	Eine Dosis bis Mittelstufe trocknen und abschließen · heißer Trockenabsud · Qualitätsgrad III · heißen Drogenstoff der Mittelstufe zugeben · heißen Drogenstoff der Mittelstufe zugeben · Drogenstoff aus Arzneikompositum zugeben · heißer Ansatzstoff · trockener Drogenstoff.	Eine Dosis bis Mittelstufe trocknen und abschließen · heißer Trockenabsud · Qualitätsgrad III des heißen Trockenabsuds · heißen Drogenstoff der Mittelstufe zugeben · heißen Drogenstoff der Mittelstufe zugeben · Drogenstoff aus Arzneikompositum zugeben · heißer Ansatzstoff · trockener Drogenstoff.	Eine Dosis heißen Trockenabsuds bis zur Mittelstufe trocknen und abschließen; auf Grad III bringen. Zweimal heißen Drogenstoff der Mittelstufe zugeben. Danach Drogenstoff aus Arzneikompositum zugeben und mit heißem Ansatzstoff sowie trockenem Drogenstoff verbinden.	Eine Dosis heißen Trockenabsuds bis zur Mittelstufe trocknen und abschließen; der heiße Trockenabsud hat Qualitätsgrad III. Zweimal heißen Drogenstoff der Mittelstufe zugeben. Danach Drogenstoff aus Arzneikompositum zugeben und mit heißem Ansatzstoff sowie trockenem Drogenstoff verbinden.	daiin#3=GRADE:LEFT:chokol	GREEN
f8r	f8r.15	daiin	1	AMOUNT	eine Dosis bis zur Mittelstufe trocknen und abschließen | Drogenstoff aus Arzneikompositum | trocken | trocken in der Mitte des Grades | Charge unter Wärme getrockneter Droge | trocken am Anfang des Grades | Grad-/Maßwert III | Materialmaß | abgemessene vierte Trockenfraktion, Anfangsstufe | Arzneikompositum am Gradanfang	eine Dosis bis zur Mittelstufe trocknen und abschließen | Drogenstoff aus Arzneikompositum | trocken | trocken in der Mitte des Grades | Charge unter Wärme getrockneter Droge | trocken am Anfang des Grades | drei Materialmaße | Materialmaß | abgemessene vierte Trockenfraktion, Anfangsstufe | Arzneikompositum am Gradanfang	Eine Dosis bis Mittelstufe trocknen und abschließen · Arzneikompositumstoff · trocken · trocken, Mittelstufe · Charge heißgetrockneter Droge · trocken, Anfangsstufe · Grad/Maß III · Materialmaß · vierte abgemessene Trockenfraktion, leicht getrocknet · Arzneikompositum, Anfangsstufe.	Eine Dosis bis Mittelstufe trocknen und abschließen · Arzneikompositumstoff · trocken · trocken, Mittelstufe · Charge heißgetrockneter Droge · trocken, Anfangsstufe · drei Materialmaße · Materialmaß · vierte abgemessene Trockenfraktion, leicht getrocknet · Arzneikompositum, Anfangsstufe.	Eine Dosis Arzneikompositum bis zur Mittelstufe trocknen und abschließen. Arzneikompositumstoff: trocken, bis zur Mittelstufe; eine Charge unter Wärme getrockneter Droge leicht nachtrocknen. Drei Teile als Materialmaß abnehmen und die vierte abgemessene, leicht getrocknete Fraktion mit Arzneikompositum auf Anfangsstufe ansetzen.	Eine Dosis Arzneikompositum bis zur Mittelstufe trocknen und abschließen. Arzneikompositumstoff: trocken, bis zur Mittelstufe; eine Charge unter Wärme getrockneter Droge leicht nachtrocknen; trocken auf Anfangsstufe. Drei Materialmaße; die vierte abgemessene, leicht getrocknete Fraktion mit Arzneikompositum auf Anfangsstufe ansetzen.	daiin#7=AMOUNT:RIGHT:dol	AMBER
