page	locus	ordinal	surface	old_literal_gloss_de	new_literal_gloss_de	new_axis	bind_direction	head_surface	confidence	old_primary_class	new_primary_class	old_debt_severity	new_debt_severity	old_strict_card_debt	new_strict_card_debt	old_mechanical_debt	new_mechanical_debt	old_mechanical_debt_flags	new_mechanical_debt_flags	old_specificity_open	new_specificity_open	information_gain	live_rival_de	remaining_caveat
f10r	f10r.2	9	daiin	Grad-/Maßwert III	Qualitätsgrad III des erhitzten Ansatzes	GRADE	LEFT	oky	AMBER	C3_VALUE_WITHOUT_AXIS_OR_OBJECT	A3_BOUND_QUALITY_GRADE	MAJOR	NONE	1	0	1	0	NON_SINGLE_GLOSS	NONE	1	0	value level III bound as GRADE to oky	drei Portionen des erhitzten Ansatzes	local exploratory dispatch; exact historical unit or quality name remains replaceable
f112v	f112v.10	1	dain	Grad-/Maßwert II	Feuchtgrad II	GRADE	RIGHT	sheey	AMBER	C3_VALUE_WITHOUT_AXIS_OR_OBJECT	A3_BOUND_QUALITY_GRADE	MAJOR	NONE	1	0	1	0	NON_SINGLE_GLOSS	NONE	1	0	value level II bound as GRADE to sheey	zwei Portionen der folgenden Zubereitung	local exploratory dispatch; exact historical unit or quality name remains replaceable
f116r	f116r.12	5	dain	Grad-/Maßwert II	zwei Portionen des erhitzten nachgetrockneten Drogenmaterials	AMOUNT	LEFT	cholches	AMBER	C3_VALUE_WITHOUT_AXIS_OR_OBJECT	A4_BOUND_LOCAL_AMOUNT	MAJOR	NONE	1	0	1	0	NON_SINGLE_GLOSS	NONE	1	0	value level II bound as AMOUNT to cholches	zweiter Qualitäts- oder Klassenwert	local exploratory dispatch; exact historical unit or quality name remains replaceable
f116r	f116r.12	11	dain	Grad-/Maßwert II	zwei Portionen der Rohdroge I im kalten Anfangsansatz	AMOUNT	LEFT	otal	AMBER	C3_VALUE_WITHOUT_AXIS_OR_OBJECT	A4_BOUND_LOCAL_AMOUNT	MAJOR	NONE	1	0	1	0	NON_SINGLE_GLOSS	NONE	1	0	value level II bound as AMOUNT to otal	Rohstoffklasse II	local exploratory dispatch; exact historical unit or quality name remains replaceable
f56r	f56r.6	5	daiin	Grad-/Maßwert III	Qualitätsgrad III des heißen Endzustands	GRADE	LEFT	keey	AMBER	C3_VALUE_WITHOUT_AXIS_OR_OBJECT	A3_BOUND_QUALITY_GRADE	MAJOR	NONE	1	0	1	0	NON_SINGLE_GLOSS	NONE	1	0	value level III bound as GRADE to keey	drei Portionen des fertigen Ansatzes	local exploratory dispatch; exact historical unit or quality name remains replaceable
f76v	f76v.10	9	daiin	Grad-/Maßwert III	drei Portionen des eingeweichten Arzneikompositums	AMOUNT	LEFT	shecphy	AMBER	C3_VALUE_WITHOUT_AXIS_OR_OBJECT	A4_BOUND_LOCAL_AMOUNT	MAJOR	NONE	1	0	1	0	NON_SINGLE_GLOSS	NONE	1	0	value level III bound as AMOUNT to shecphy	Qualitätsgrad III des Arzneikompositums	local exploratory dispatch; exact historical unit or quality name remains replaceable
f83v	f83v.12	1	daiin	Grad-/Maßwert III	drei Portionen feuchten Arzneikompositums	AMOUNT	RIGHT	shckhy	AMBER	C3_VALUE_WITHOUT_AXIS_OR_OBJECT	A4_BOUND_LOCAL_AMOUNT	MAJOR	NONE	1	0	1	0	NON_SINGLE_GLOSS	NONE	1	0	value level III bound as AMOUNT to shckhy	Feuchtgrad III des Arzneikompositums	local exploratory dispatch; exact historical unit or quality name remains replaceable
f86v3	f86v3.13	5	qodaiin	Qualitätsgrad III	drei Portionen der ersten erhitzten Drogenfraktion im Ansatz	AMOUNT	RIGHT	olkar	AMBER	C3_VALUE_WITHOUT_AXIS_OR_OBJECT	A4_BOUND_LOCAL_AMOUNT	MAJOR	NONE	1	0	0	0	NONE	NONE	1	0	value level III bound as AMOUNT to olkar	Qualitätsstufe III der folgenden Fraktion	local exploratory dispatch; exact historical unit or quality name remains replaceable
f86v6	f86v6.5	5	daiin	Grad-/Maßwert III	drei Portionen der ersten erhitzten Drogenfraktion im Ansatz	AMOUNT	LEFT	olkar	AMBER	C3_VALUE_WITHOUT_AXIS_OR_OBJECT	A4_BOUND_LOCAL_AMOUNT	MAJOR	NONE	1	0	1	0	NON_SINGLE_GLOSS	NONE	1	0	value level III bound as AMOUNT to olkar	Fraktionsklasse III	local exploratory dispatch; exact historical unit or quality name remains replaceable
f88r	f88r.19	3	daiin	Qualitätsgrad III	Qualitätsgrad III des heißen Trockenabsuds	GRADE	LEFT	chokol	GREEN	C3_VALUE_WITHOUT_AXIS_OR_OBJECT	A3_BOUND_QUALITY_GRADE	MAJOR	NONE	1	0	0	0	NONE	NONE	1	0	value level III bound as GRADE to chokol	drei Portionen heißen Trockenabsuds	local exploratory dispatch; exact historical unit or quality name remains replaceable
f8r	f8r.15	7	daiin	Grad-/Maßwert III	drei Materialmaße	AMOUNT	RIGHT	dol	AMBER	C3_VALUE_WITHOUT_AXIS_OR_OBJECT	A4_BOUND_LOCAL_AMOUNT	MAJOR	NONE	1	0	1	0	NON_SINGLE_GLOSS	NONE	1	0	value level III bound as AMOUNT to dol	Trockenheitsgrad III	local exploratory dispatch; exact historical unit or quality name remains replaceable
