page	locus	section	language	hand	token_count	new_v50_positions	new_v51_positions	new_v52_positions	new_v53_positions	new_v54_positions	new_v55_positions	new_v56_positions	residual_unknown_positions	assigned_fraction	complete	action_positions	action_ordinals	action_surfaces	line_mode	v54_target_surfaces	v55_target_surfaces	v56_target_surfaces	remaining_unknown_surfaces	zl3b_line	literal_token_glosses_de	aligned_line_de	practical_translation_de	review_note	v57_semantic_revisions	v57_bound_compounds	v57_ol_decision	v57_reader_support	v58_local_dispatch	v58_patch_basis	v58_semantic_revisions	v58_target_surfaces	v59_value_dispatch	v59_patch_basis	v59_value_confidence	v59_semantic_revisions	v59_target_surfaces
f102v2	f102v2.3	P	A	1	1	1	0	0	0	0	0	0	0	1.000000	1	0	NONE	NONE	QUANTITY_LABEL	NONE	NONE	NONE	NONE	oror	zwei Portionen	Zwei Portionen.	Zwei Portionen.	HOLD: oror ist hier ein vollständiges Mengenlabel.	0	0	NONE	NONE	NONE	NONE	0	NONE	NONE	NONE	NONE	0	NONE
f104v	f104v.2	S	B	3	10	1	0	0	0	0	5	0	0	1.000000	1	3	1|2|6	ychedaiin|qoteed|qokamdy	MIXED_RECORD	NONE	ychedaiin|qoteed|qokamdy|otarar|oram	NONE	NONE	ychedaiin qoteed chockhy otaiin ydaiin qokamdy otarar alched otair oram	hiervon drei Dosen bis zur Mittelstufe getrocknete Droge abmessen | Ansatz vollständig abkühlen und abziehen | Arzneikompositum im Trockenansatz am Gradanfang | kalt im Zubereitungsrahmen, Grad III | davon drei Maße | ein Maß nehmen, erhitzen und fertigstellen | erste Unterfraktion der kalten Ansatzfraktion I | Rohdroge I, bis zur Mittelstufe getrocknet und abgeschlossen | zweite kalte Drogenfraktion im Ansatz | eine Maßportion Ansatz	hiervon drei Dosen bis zur Mittelstufe getrocknete Droge abmessen · Ansatz vollständig abkühlen und abziehen · Arzneikompositum im Trockenansatz, Gradanfang · kalt im Zubereitungsrahmen, Grad III · davon drei Maße · ein Maß nehmen, erhitzen und fertigstellen · erste Unterfraktion der kalten Ansatzfraktion I · Rohdroge I, bis Mittelstufe getrocknet und abgeschlossen · zweite kalte Drogenfraktion im Ansatz · eine Maßportion Ansatz.	Miss hiervon drei Dosen der bis zur Mittelstufe getrockneten Droge ab; vollständig abkühlen und abziehen. Arzneikompositum im Trockenansatz auf Anfangsstufe, Kaltansatz auf Stufe III: davon drei Maße. Ein Maß nehmen, erhitzen und fertigstellen. Erste Unterfraktion der kalten Ansatzfraktion, bis zur Mittelstufe getrocknete und abgeschlossene Rohdroge I sowie zweite kalte Ansatzfraktion; als Schlussmenge eine Maßportion.	RF1b exposes yche aiin, qotee, qokam y and otar ar; every split preserves the practical dose, cooling, measure, heat or fraction core.	0	0	NONE	NONE	NONE	NONE	0	NONE	NONE	NONE	NONE	0	NONE
f105r	f105r.2	S	B	3	13	1	0	2	0	0	0	0	0	1.000000	1	3	6|11|13	qodor|odar|qody	MIXED_RECORD	NONE	NONE	NONE	NONE	dshees yey cheey raiin otchdy qodor ches or cheey okees odar cheody qody	Dosis oder Charge vollständig eingeweichter Arzneispecies | hieran anschließend | trocken am Ende des Grades | Wurzel, Typ/Charge III | kalt-trockener Ansatz am Anfang des Grades, abgeschlossen | eine Portion Ansatz abmessen | trockenes Drogenmaterial, Mittelstufe | Drogenportion | trocken am Ende des Grades | Charge vollständig erhitzten Ansatzes | erste Ansatzfraktion abmessen | getrockneter Ansatz | stelle die Zubereitung fertig	Dosis oder Charge vollständig eingeweichter Arzneispecies · hieran anschließend · trocken, Endstufe · Wurzel, Charge III · kalt-trockener Ansatz, Anfangsstufe, abgeschlossen · eine Portion Ansatz abmessen · trockenes Drogenmaterial, Mittelstufe · Drogenportion · trocken, Endstufe · Charge vollständig erhitzten Ansatzes · erste Ansatzfraktion abmessen · getrockneter Ansatz · Zubereitung fertigstellen.	Die vollständig eingeweichte Arzneispecies-Dosis hieran anschließend bis zur Trocken-Endstufe bringen. Wurzeldroge der Charge III und den fertigen kalt-trockenen Anfangsansatz bereitstellen; eine Portion Ansatz abmessen. Dazu mittelgetrocknetes Drogenmaterial und eine Drogenportion, erneut bis zur Endstufe trocknen. Von der Charge vollständig erhitzten Ansatzes die erste Fraktion abmessen, als getrockneten Ansatz halten und die Zubereitung fertigstellen.	yey remains the sequence link; qodor is the new measure action.	0	0	NONE	NONE	NONE	NONE	0	NONE	NONE	NONE	NONE	0	NONE
f105r	f105r.31	S	B	3	13	1	0	0	0	0	5	0	0	1.000000	1	1	5	aiijy	MIXED_RECORD	NONE	kodeey|shx|aiijy|cpheesy|fchoky	NONE	NONE	kodeey lchl shx ar aiijy cpheesy okal lkedy lkar chedy qokaiin or fchoky	vollständig erhitzte und abgeschlossene Zubereitungsdosis | getrocknetes Drogenholz | eingeweichtes Gummiharz | Drogenfraktion I | in drei Bündel abfüllen und schließen | vollständig bereitetes und abgeschlossenes Arzneikompositum | Rohstoffklasse I im Ansatz, heiß am Gradanfang | erhitzte Holzdroge, Mittelstufe, fertig | heiße Holzfraktion I | trocken in der Mitte des Grades, abgeschlossen | heiß, Grad III | Drogenportion | heiß-trockene Blütenzubereitung in Grundform	vollständig erhitzte und abgeschlossene Zubereitungsdosis · getrocknetes Drogenholz · eingeweichtes Gummiharz · Drogenfraktion I · in drei Bündel abfüllen und schließen · vollständig bereitetes und abgeschlossenes Arzneikompositum · Rohstoffklasse I im heißen Anfangsansatz · erhitzte Holzdroge, Mittelstufe, fertig · heiße Holzfraktion I · trocken, Mittelstufe, abgeschlossen · heiß, Grad III · Drogenportion · heiß-trockene Blütenzubereitung in Grundform.	Eine vollständig erhitzte und abgeschlossene Zubereitungsdosis aus getrocknetem Drogenholz und eingeweichtem Gummiharz ansetzen. Die erste Drogenfraktion in drei Bündel abfüllen und schließen; daraus das vollständig bereitete Arzneikompositum bilden. Dazu Rohdroge I im heißen Anfangsansatz, bis zur Mittelstufe erhitzte und fertige Holzdroge sowie die erste heiße Holzfraktion verwenden. Bis zur Mittelstufe trocknen und abschließen, auf Heizstufe III bringen und zuletzt eine Portion heiß-trockene Blütenzubereitung in Grundform nehmen.	The line is a material and result register anchored by one new filling action; RF1b todeey keeps a visible cold-dose rival and shx remains an exploratory resin identity.	0	0	NONE	NONE	NONE	NONE	0	NONE	NONE	NONE	NONE	0	NONE
f105v	f105v.1	S	B	3	9	1	0	0	0	0	0	7	0	1.000000	1	2	4|8	ykaiin|ypcheddy	MIXED_RECORD	NONE	NONE	polairy|oair|olpcheey|opchedaiin|dairody|ypcheddy|sairy	NONE	polairy oair olpcheey ykaiin olpchedy opchedaiin dairody ypcheddy sairy	abgeschlossene zweite Pulverstofffraktion | zweite Ansatzfraktion | trocken gebundenes Holzdrogenpulver, Form II | erhitze hiervon auf Stufe III | fertiggestelltes Trockenpulver aus Holzdrogenansatz | drei Dosen bis zur Mittelstufe getrockneter Pulveransatz | fertiggestellte abgemessene Ansatzfraktion II | hieraus Pulver bis zur Mittelstufe trocknen, die Trocknung abschließen und das Pulver fertigstellen | abgeschlossene zweite Saatgutfraktion	abgeschlossene zweite Pulverstofffraktion · zweite Ansatzfraktion · trocken gebundenes Holzdrogenpulver, Form II · hiervon auf Stufe III erhitzen · fertiggestelltes Trockenpulver aus Holzdrogenansatz · drei Dosen bis zur Mittelstufe getrockneter Pulveransatz · fertiggestellte abgemessene Ansatzfraktion II · hieraus Pulver bis zur Mittelstufe trocknen, die Trocknung abschließen und das Pulver fertigstellen · abgeschlossene zweite Saatgutfraktion.	Abgeschlossene zweite Pulverstofffraktion: zweite Ansatzfraktion; trocken gebundenes Holzdrogenpulver, Form II. Dieses auf Stufe III erhitzen; Ergebnis ist fertiges Trockenpulver aus Holzdrogenansatz. Fertiggestellte, abgemessene zweite Ansatzfraktion: drei Dosen des bis zur Mittelstufe getrockneten Pulveransatzes. Hieraus das Pulver der abgeschlossenen zweiten Saatgutfraktion bis zur Mittelstufe trocknen, die Trocknung abschließen und das Pulver fertigstellen.	All seven new source forms are exact in both alternate readers. The practical binding provisionally treats POLAIRY through DAIRODY as material, dose or result records; inherited YKAIIN heats the wood-drug powder, and YPCHEDDY provisionally acts on following SAIRY as one closed-seed-fraction object. A backward reference to DAIRODY and an independent active closure reading of SAIRY remain named rivals.	0	0	NONE	NONE	NONE	NONE	0	NONE	NONE	NONE	NONE	0	NONE
f105v	f105v.14	S	B	3	10	1	0	0	0	4	0	0	0	1.000000	1	3	3|8|10	qokaiir|odar|chtchy	ACTION_SEQUENCE	pchedaiin|olord|tail|kard	NONE	NONE	NONE	pchedaiin chckhdy qokaiir olpchedy olord aiiin tail odar kard chtchy	drei Dosen bis Mittelstufe getrocknetes Pulver | Arzneikompositum: trocken, Gradanfang, abgeschlossen | nimm die dritte erhitzte Drogenfraktion | fertiggestelltes Trockenpulver aus Holzdrogenansatz | abgezogene Portion Holzdrogenansatz | Menge-/Klassenwert IV | kaltgestellte Rohdroge II | erste Ansatzfraktion abmessen | erste erhitzte Drogenfraktion, abgezogen | Droge kalt trocknen und leicht nachtrocknen	drei Dosen bis Mittelstufe getrocknetes Pulver · trockenes Arzneikompositum, Anfangsstufe, abgeschlossen · dritte erhitzte Drogenfraktion nehmen · fertiggestelltes Trockenpulver aus Holzdrogenansatz · abgezogene Holzdrogenansatz-Portion · Menge/Klasse IV · kaltgestellte Rohdroge II · erste Ansatzfraktion abmessen · erste erhitzte Drogenfraktion, abgezogen · Droge kalt trocknen und leicht nachtrocknen.	Drei Dosen bis zur Mittelstufe getrocknetes Pulver mit dem auf Anfangsstufe angetrockneten und abgeschlossenen Arzneikompositum ansetzen. Die dritte erhitzte Drogenfraktion und das fertige Trockenpulver aus Holzdrogenansatz nehmen; ferner eine abgezogene Portion dieses Ansatzes, Menge IV, und kaltgestellte Rohdroge II. Die erste Ansatzfraktion abmessen, die erste erhitzte Fraktion abziehen und die Droge kalt trocknen sowie leicht nachtrocknen.	pchedaiin is reused unchanged from GDT678; IT2a kail leaves a visible hot rival for source tail.	0	0	NONE	NONE	NONE	NONE	0	NONE	NONE	NONE	NONE	0	NONE
f106r	f106r.23	S	B	3	10	1	1	0	0	0	0	0	0	1.000000	1	1	2	qckhedy	MIXED_RECORD	NONE	NONE	NONE	NONE	ychedy qckhedy dair al qokedy shecphy qokchy otedy dar aror	Eintrag: getrocknete Droge, fertig | bereite das Arzneikompositum bis zur Mittelstufe und schließe ab | abgemessene Fraktion II | Rohstoffklasse I | heiß in der Mitte des Grades, abgeschlossen | bis zur Mittelstufe eingeweichtes und abgeschlossenes Arzneikompositum | heiß und trocken am Anfang des Grades | kalter Ansatz in der Mitte des Grades, abgeschlossen | abgemessene Fraktion I | eine Portion der ersten Drogenfraktion	Getrocknete Droge, fertig · Arzneikompositum bis Mittelstufe bereiten und abschließen · abgemessene Fraktion II · Rohstoffklasse I · heiß, Mittelstufe, abgeschlossen · bis Mittelstufe eingeweichtes und abgeschlossenes Arzneikompositum · heiß-trocken, Anfangsstufe · kalter Ansatz, Mittelstufe, abgeschlossen · abgemessene Fraktion I · eine Portion der ersten Drogenfraktion.	Getrocknete Droge, fertig · Arzneikompositum bis Mittelstufe bereiten und abschließen · abgemessene Fraktion II · Rohstoffklasse I · heiß, Mittelstufe, abgeschlossen · bis Mittelstufe eingeweichtes und abgeschlossenes Arzneikompositum · heiß-trocken, Anfangsstufe · kalter Ansatz, Mittelstufe, abgeschlossen · abgemessene Fraktion I · eine Portion der ersten Drogenfraktion.	GDT677 closes aror; Nach dar ergibt sich abgemessene Fraktion I gefolgt von einer Portion derselben Fraktion.	0	0	NONE	NONE	NONE	NONE	0	NONE	NONE	NONE	NONE	0	NONE
f107r	f107r.2	S	B	3	13	1	0	0	3	0	0	0	0	1.000000	1	4	1|2|6|12	dchey|qoteos|qor|qeeey	ACTION_SEQUENCE	NONE	NONE	NONE	NONE	dchey qoteos aiin shedy oteed qor aiin cheockhy olkeey qotain chey qeeey lor	eine Dosis bis zur Mittelstufe trocknen und abschließen | eine bis zur Mittelstufe gekühlte Ansatzcharge nehmen | Menge III | feucht in der Mitte des Grades, abgeschlossen | vollständig abgekühlter und abgezogener Ansatz | nimm eine Drogenportion | Menge III | trocken angesetztes Arzneikompositum am Gradanfang | Holzdrogenansatz vollständig erhitzt | kalt im qo-Rahmen, Grad II | trocken in der Mitte des Grades | die vorstehende Behandlung bis zur letzten Stufe führen und abschließen | Holzportion	Eine Dosis bis Mittelstufe trocknen und abschließen · gekühlte Ansatzcharge der Mittelstufe nehmen · Menge III · feucht, Mittelstufe, abgeschlossen · vollständig abgekühlter Ansatz, abgezogen · eine Drogenportion nehmen · Menge III · trocken angesetztes Arzneikompositum, Anfangsstufe · Holzdrogenansatz vollständig erhitzt · kalt im qo-Rahmen, Grad II · trocken, Mittelstufe · vorstehenden Prozess bis zur letzten Stufe abschließen · Holzportion.	Eine Dosis bis zur Mittelstufe trocknen und abschließen. Eine Charge des bis zur Mittelstufe gekühlten Ansatzes nehmen, drei Teile; dazu das fertig eingeweichte Zwischenprodukt und den vollständig abgekühlten, abgezogenen Ansatz. Eine Drogenportion nehmen, drei Teile, mit dem trocken angesetzten Arzneikompositum und dem vollständig erhitzten Holzdrogenansatz. Auf Kältestufe II stellen, bis zur mittleren Trockenstufe führen, danach vollständig zu Ende trocknen und abschließen; zuletzt eine Holzportion.	qeeey schließt hier wie in seinen beiden anderen Kontexten den unmittelbar vorstehenden Prozess ab; die Schlussportionslesung bleibt Rivale	0	0	NONE	NONE	NONE	NONE	0	NONE	NONE	NONE	NONE	0	NONE
f107r	f107r.40	S	B	3	10	1	1	0	0	0	0	0	0	1.000000	1	0	NONE	NONE	NOMINAL_REGISTER	NONE	NONE	NONE	NONE	lolkaiin chey qokaiin chal aiin okaiin olkar otair okal okal	Holzstoff, heiß auf Stufe III | trocken in der Mitte des Grades | heiß, Grad III | Rohstoffklasse I, trocken am Gradanfang | Menge III | heiß, Grad III, im Ansatzrahmen | erste erhitzte Drogenfraktion im Ansatz; Holzbindung offen | zweite kalte Drogenfraktion im Ansatz | Rohstoffklasse I im Ansatz, heiß am Gradanfang | Rohstoffklasse I im Ansatz, heiß am Gradanfang	Holzstoff, heiß auf Stufe III · trocken, Mittelstufe · heiß, Grad III · Rohstoffklasse I, trocken, Anfangsstufe · Menge III · heiß, Grad III, im Ansatz · erste erhitzte Drogenfraktion im Ansatz · zweite kalte Drogenfraktion im Ansatz · Rohstoffklasse I im heißen Anfangsansatz · Rohstoffklasse I im heißen Anfangsansatz.	Holzstoff, heiß auf Stufe III · trocken, Mittelstufe · heiß, Grad III · Rohstoffklasse I, trocken, Anfangsstufe · Menge III · heiß, Grad III, im Ansatz · erste erhitzte Drogenfraktion im Ansatz · zweite kalte Drogenfraktion im Ansatz · Rohstoffklasse I im heißen Anfangsansatz · Rohstoffklasse I im heißen Anfangsansatz.	GDT677 closes lolkaiin; Vor Trocken-, Heiß- und Fraktionsfeldern eine direkte Stoff-/Stufenbezeichnung.	0	0	NONE	NONE	NONE	NONE	0	NONE	NONE	NONE	NONE	0	NONE
f10r	f10r.2	H	A	1	10	1	0	0	0	4	0	0	0	1.000000	1	1	1	dchey	MIXED_RECORD	cthoor|chair|otytchol|etyd	NONE	NONE	NONE	dchey cthoor char chty os chair otytchol oky daiin etyd	eine Dosis bis zur Mittelstufe trocknen und abschließen | eine Portion Blatt- oder Krautansatz | Trockenfraktion I | trocken-kalt am Gradanfang | Ansatzcharge | zweite Trockenfraktion | nachgekühlter Trockenstoff im Ansatz | heißer Ansatz am Anfang des Grades | Qualitätsgrad III des erhitzten Ansatzes | bis Mittelstufe gekühlter Ansatz, abgeschlossen	Eine Dosis bis Mittelstufe trocknen und abschließen · eine Portion Blatt- oder Krautansatz · Trockenfraktion I · trocken-kalt, Anfangsstufe · Ansatzcharge · zweite Trockenfraktion · nachgekühlter Trockenstoff im Ansatz · heißer Ansatz, Anfangsstufe · Qualitätsgrad III des erhitzten Ansatzes · bis Mittelstufe gekühlter Ansatz, abgeschlossen.	Eine Portion Blatt- oder Krautansatz bis zur Mittelstufe trocknen und abschließen. Erste und zweite Trockenfraktion kalt-trocken ansetzen und mit einer Ansatzcharge sowie nachgekühltem Trockenstoff verbinden. Den Ansatz leicht erhitzen: Qualitätsgrad III; anschließend bis zur Mittelstufe kühlen und abschließen.	All four target words are bilateral exact; the new values preserve the dry-fraction and cold-treatment sequence. GDT686: daiin#9=GRADE:LEFT:oky	0	0	NONE	NONE	NONE	NONE	0	NONE	daiin#9=GRADE:LEFT:oky	Der linke heiße Anfangszustand und der rechte Kühlabschluss bilden den engsten Qualitätsrahmen; das alte Abnehmen-Verb hatte keine Tokenlizenz.	AMBER	1	daiin
