event_serial	statement_id	record_unit_id	page	visible_surface	master_card_id	unchanged_card_value_de	selected_job	complete_clause_translation_de	dictionary_change
1	H1-S001	H1	f10r	dchey	MC071	Grundteil	MULTI_BATCH_ROOT_AND_FLOWER_MOTHER_EXTRACT	Nimm den Grundteil der Bildpflanze, bereite einen Anteil im Gefaess vor, giesse Arbeitsfluessigkeit zu und setze den Blueten- oder Folgeteil bis zum Sollmass ein.	NO
2	H1-S001	H1	f10r	cthoor	MC158	Vorbereitung	MULTI_BATCH_ROOT_AND_FLOWER_MOTHER_EXTRACT	Nimm den Grundteil der Bildpflanze, bereite einen Anteil im Gefaess vor, giesse Arbeitsfluessigkeit zu und setze den Blueten- oder Folgeteil bis zum Sollmass ein.	NO
3	H1-S001	H1	f10r	char	MC055	davon	MULTI_BATCH_ROOT_AND_FLOWER_MOTHER_EXTRACT	Nimm den Grundteil der Bildpflanze, bereite einen Anteil im Gefaess vor, giesse Arbeitsfluessigkeit zu und setze den Blueten- oder Folgeteil bis zum Sollmass ein.	NO
4	H1-S001	H1	f10r	chty	MC086	Anteil	MULTI_BATCH_ROOT_AND_FLOWER_MOTHER_EXTRACT	Nimm den Grundteil der Bildpflanze, bereite einen Anteil im Gefaess vor, giesse Arbeitsfluessigkeit zu und setze den Blueten- oder Folgeteil bis zum Sollmass ein.	NO
5	H1-S001	H1	f10r	os	MC159	Aufnahmegefäß	MULTI_BATCH_ROOT_AND_FLOWER_MOTHER_EXTRACT	Nimm den Grundteil der Bildpflanze, bereite einen Anteil im Gefaess vor, giesse Arbeitsfluessigkeit zu und setze den Blueten- oder Folgeteil bis zum Sollmass ein.	NO
6	H1-S001	H1	f10r	chair	MC014	Zuguss	MULTI_BATCH_ROOT_AND_FLOWER_MOTHER_EXTRACT	Nimm den Grundteil der Bildpflanze, bereite einen Anteil im Gefaess vor, giesse Arbeitsfluessigkeit zu und setze den Blueten- oder Folgeteil bis zum Sollmass ein.	NO
7	H1-S001	H1	f10r	otytchol	MC069	Folgeteil	MULTI_BATCH_ROOT_AND_FLOWER_MOTHER_EXTRACT	Nimm den Grundteil der Bildpflanze, bereite einen Anteil im Gefaess vor, giesse Arbeitsfluessigkeit zu und setze den Blueten- oder Folgeteil bis zum Sollmass ein.	NO
8	H1-S001	H1	f10r	oky	MC026	einsetzen	MULTI_BATCH_ROOT_AND_FLOWER_MOTHER_EXTRACT	Nimm den Grundteil der Bildpflanze, bereite einen Anteil im Gefaess vor, giesse Arbeitsfluessigkeit zu und setze den Blueten- oder Folgeteil bis zum Sollmass ein.	NO
9	H1-S001	H1	f10r	daiin	MC039	Sollmaß	MULTI_BATCH_ROOT_AND_FLOWER_MOTHER_EXTRACT	Nimm den Grundteil der Bildpflanze, bereite einen Anteil im Gefaess vor, giesse Arbeitsfluessigkeit zu und setze den Blueten- oder Folgeteil bis zum Sollmass ein.	NO
10	H1-S001	H1	f10r	etyd	MC108	Kurzteil	MULTI_BATCH_ROOT_AND_FLOWER_MOTHER_EXTRACT	Nimm den Grundteil der Bildpflanze, bereite einen Anteil im Gefaess vor, giesse Arbeitsfluessigkeit zu und setze den Blueten- oder Folgeteil bis zum Sollmass ein.	NO
11	H1-S002	H1	f10r	qokchy	MC103	weiterbearbeiten	MULTI_BATCH_ROOT_AND_FLOWER_MOTHER_EXTRACT	Bearbeite diese erste Charge weiter und halte den fertigen Grundauszug bereit.	NO
12	H1-S002	H1	f10r	qotchol	MC163	Weitergang	MULTI_BATCH_ROOT_AND_FLOWER_MOTHER_EXTRACT	Bearbeite diese erste Charge weiter und halte den fertigen Grundauszug bereit.	NO
13	H1-S002	H1	f10r	chol	MC153	weiter	MULTI_BATCH_ROOT_AND_FLOWER_MOTHER_EXTRACT	Bearbeite diese erste Charge weiter und halte den fertigen Grundauszug bereit.	NO
14	H1-S002	H1	f10r	cthy	MC161	bereit	MULTI_BATCH_ROOT_AND_FLOWER_MOTHER_EXTRACT	Bearbeite diese erste Charge weiter und halte den fertigen Grundauszug bereit.	NO
15	H2-S001	H2	f10r	ycheor	MC075	Auszugsansatz	MULTI_BATCH_ROOT_AND_FLOWER_MOTHER_EXTRACT	Setze aus dem Grundauszug die naechste Charge an und bringe sie auf das vorgeschriebene Mass.	NO
16	H2-S001	H2	f10r	cthy	MC161	bereit	MULTI_BATCH_ROOT_AND_FLOWER_MOTHER_EXTRACT	Setze aus dem Grundauszug die naechste Charge an und bringe sie auf das vorgeschriebene Mass.	NO
17	H2-S001	H2	f10r	chor	MC080	Ansatz	MULTI_BATCH_ROOT_AND_FLOWER_MOTHER_EXTRACT	Setze aus dem Grundauszug die naechste Charge an und bringe sie auf das vorgeschriebene Mass.	NO
18	H2-S001	H2	f10r	cthaiin	MC169	Sollvorbereitung	MULTI_BATCH_ROOT_AND_FLOWER_MOTHER_EXTRACT	Setze aus dem Grundauszug die naechste Charge an und bringe sie auf das vorgeschriebene Mass.	NO
19	H2-S001	H2	f10r	qoctholy	MC115	Folgeposten	MULTI_BATCH_ROOT_AND_FLOWER_MOTHER_EXTRACT	Setze aus dem Grundauszug die naechste Charge an und bringe sie auf das vorgeschriebene Mass.	NO
20	H2-S001	H2	f10r	dy	MC123	dies	MULTI_BATCH_ROOT_AND_FLOWER_MOTHER_EXTRACT	Setze aus dem Grundauszug die naechste Charge an und bringe sie auf das vorgeschriebene Mass.	NO
21	H2-S001	H2	f10r	chy	MC123	dies	MULTI_BATCH_ROOT_AND_FLOWER_MOTHER_EXTRACT	Setze aus dem Grundauszug die naechste Charge an und bringe sie auf das vorgeschriebene Mass.	NO
22	H2-S001	H2	f10r	taiin	MC039	Sollmaß	MULTI_BATCH_ROOT_AND_FLOWER_MOTHER_EXTRACT	Setze aus dem Grundauszug die naechste Charge an und bringe sie auf das vorgeschriebene Mass.	NO
23	H2-S001	H2	f10r	shy	MC123	dies	MULTI_BATCH_ROOT_AND_FLOWER_MOTHER_EXTRACT	Setze aus dem Grundauszug die naechste Charge an und bringe sie auf das vorgeschriebene Mass.	NO
