statement_id	record_unit_id	page	selected_job	unchanged_atomic_chain_de	complete_job_translation_de	terminal_status
H1-S001	H1	f10r	MULTI_BATCH_ROOT_AND_FLOWER_MOTHER_EXTRACT	Grundteil | Vorbereitung | davon | Anteil | Aufnahmegefäß | Zuguss | Folgeteil | einsetzen | Sollmaß | Kurzteil	Nimm den Grundteil der Bildpflanze, bereite einen Anteil im Gefaess vor, giesse Arbeitsfluessigkeit zu und setze den Blueten- oder Folgeteil bis zum Sollmass ein.	NONCLOSE
H1-S002	H1	f10r	MULTI_BATCH_ROOT_AND_FLOWER_MOTHER_EXTRACT	weiterbearbeiten | Weitergang | weiter | bereit	Bearbeite diese erste Charge weiter und halte den fertigen Grundauszug bereit.	NONCLOSE
H2-S001	H2	f10r	MULTI_BATCH_ROOT_AND_FLOWER_MOTHER_EXTRACT	Auszugsansatz | bereit | Ansatz | Sollvorbereitung | Folgeposten | dies | dies | Sollmaß | dies	Setze aus dem Grundauszug die naechste Charge an und bringe sie auf das vorgeschriebene Mass.	NONCLOSE
H2-S002	H2	f10r	MULTI_BATCH_ROOT_AND_FLOWER_MOTHER_EXTRACT	Folgeansatz | Ansatz | Fortgang | weiter | derselbe Ansatz | weiter | Sollmaß | davon	Fuehre denselben Ansatz weiter, entnimm davon eine Sollmenge und behalte die Chargenfolge bei.	NONCLOSE
H2-S003	H2	f10r	MULTI_BATCH_ROOT_AND_FLOWER_MOTHER_EXTRACT	Arbeitsansatz | Ansatz | Ansatz | dies | Arbeitsstufe | dies | Zugabemaß	Fuehre den Arbeitsansatz durch die naechste Stufe und gib die vorgeschriebene Menge zu.	NONCLOSE
H5-S001	H5	f56r	REPEATED_TARGET_APPLICATION_ADDITIVE	Zugabeansatz | weitere Zutat | Zielzugabe | Sollmaß | weitere Zutat | Weiterverarbeitung | Folgeansatz | einsetzen | dorthin	Setze den Wirkzusatz an, gib die bestimmte Pflanzensubstanz bis zum Sollmass in die Zielzubereitung und bringe den Folgeansatz an die bezeichnete Stelle.	NONCLOSE
H5-S002	H5	f56r	REPEATED_TARGET_APPLICATION_ADDITIVE	vom vorigen | Zugabeposten | einsetzen | Langpassage; Schluss	Nimm vom vorigen Ansatz einen Anwendungsposten, setze ihn ein und lasse ihn laenger an der Zielstelle einwirken.	TERMINAL
H5-S003	H5	f56r	REPEATED_TARGET_APPLICATION_ADDITIVE	Halten | weitere Zutat | Kurzbearbeitung | erneut einsetzen	Halte die Stelle, gib weiteren Wirkzusatz bei, bearbeite kurz und setze die Anwendung erneut an.	NONCLOSE
H5-S004	H5	f56r	REPEATED_TARGET_APPLICATION_ADDITIVE	weiterbearbeiten | Auszug einsetzen | Zielbearbeitung	Bearbeite die Anwendung weiter, setze den Auszug ein und verteile ihn an der Zielstelle.	NONCLOSE
H5-S005	H5	f56r	REPEATED_TARGET_APPLICATION_ADDITIVE	weitere Zutat | weiterbearbeiten | Quellauszug | Folgeanwendung	Gib nochmals Wirkzusatz aus dem Quellauszug bei und fuehre die Folgeanwendung aus.	NONCLOSE
H5-S006	H5	f56r	REPEATED_TARGET_APPLICATION_ADDITIVE	das nächste | Kurzfortsetzung | Sollmaß	Wechsle zur naechsten Zielstelle, fuehre den kurzen Arbeitsgang fort und bemiss die neue Portion.	NONCLOSE
