locus	selected_path_id	source	segmentation	rule
f100r.1	f100r.1|P01	chosaroshol	c+h+o+s+a+r+o+s+h+o+l	source-symbol stream
f100r.10	f100r.10|P01	dakocth	d+a+k+o+c+t+h	source-symbol stream
f100r.11	f100r.11|P02	sofal	s+o+f+a+l	source-symbol stream
f100r.12	f100r.12|P02	pcheol sheod qocpheeckhy shodol cthdaoto ch qeos sheey chcthso s	p+c+h+e+o+l s+h+e+o+d q+o+c+p+h+e+e+c+k+h+y s+h+o+d+o+l c+t+h+d+a+o+t+o c+h q+e+o+s s+h+e+e+y c+h+c+t+h+s+o s	source-symbol stream
f100r.13	f100r.13|P02	dsheor cthey qokeey oteey ykeeodain sorary daiin daiin deeamshol	d+s+h+e+o+r c+t+h+e+y q+o+k+e+e+y o+t+e+e+y y+k+e+e+o+d+a+i+n s+o+r+a+r+y d+a+i+i+n d+a+i+i+n d+e+e+a+m+s+h+o+l	source-symbol stream
f100r.14	f100r.14|P02	shor chkeey qoteey qokeody qoteold qokeol so raiin otal ykecho	s+h+o+r c+h+k+e+e+y q+o+t+e+e+y q+o+k+e+o+d+y q+o+t+e+o+l+d q+o+k+e+o+l s+o r+a+i+i+n o+t+a+l y+k+e+c+h+o	source-symbol stream
f100r.15	f100r.15|P01	dcheor shol qokeeol chor chol qokeeody dareu	d+c+h+e+o+r s+h+o+l q+o+k+e+e+o+l c+h+o+r c+h+o+l q+o+k+e+e+o+d+y d+a+r+e+u	source-symbol stream
f100r.16	f100r.16|P01	okeeos	o+k+e+e+o+s	source-symbol stream
f100r.17	f100r.17|P01	shockhey	s+h+o+c+k+h+e+y	source-symbol stream
f100r.18	f100r.18|P01	orol	o+r+o+l	source-symbol stream
f100r.19	f100r.19|P01	olcheom	o+l+c+h+e+o+m	source-symbol stream
f100r.2	f100r.2|P01	sochorcfhy	s+o+c+h+o+r+c+f+h+y	source-symbol stream
f100r.20	f100r.20|P01	oteol	o+t+e+o+l	source-symbol stream
f100r.21	f100r.21|P02	otols	o+t+o+l+s	source-symbol stream
f100r.22	f100r.22|P01	folshody choldaiin fchod ycheol cphol qotees shey aseso alcfhy	f+o+l+s+h+o+d+y c+h+o+l+d+a+i+i+n f+c+h+o+d y+c+h+e+o+l c+p+h+o+l q+o+t+e+e+s s+h+e+y a+s+e+s+o a+l+c+f+h+y	source-symbol stream
f100r.23	f100r.23|P02	soiin chol cphol shol shol qockhol chor chol sho keey cckhhy ykeeam	s+o+i+i+n c+h+o+l c+p+h+o+l s+h+o+l s+h+o+l q+o+c+k+h+o+l c+h+o+r c+h+o+l s+h+o k+e+e+y c+c+k+h+h+y y+k+e+e+a+m	source-symbol stream
