almanac_word_id	almanac_slot	selected_word_de	local_rule_de	portable_prose_card_meaning
A01	ELECTION_WHEEL	Wahlrad	lokales Rad auswählen	NO
A02	CELESTIAL_SECTOR	Himmelssektor	sichtbarer Radabschnitt	NO
A03	STAR_PLACE	Sternort	lokaler Sternbesitzer	NO
A04	CONDITION_FIELD	Bedingungsfeld	örtliche Bedingungsadresse	NO
A05	RING_RUBRIC	Ringrubrik	Textlage am Ring	NO
A06	CELESTIAL_SIGN	Himmelszeichen	opakes lokales Etikett	NO
A07	CALENDAR_SIGN	Kalenderzeichen	örtlicher Kalenderreadout	NO
A08	ELECTION_SIGN	Wahlzeichen	örtliches Ergebnis ohne Gunstwert	NO
A09	STAR_TABLE	Sterntafel	mehrpaneelige Sternkarte	NO
A10	FIELD_28	28er Feld	ungeordnete lokale 28er Adresse	NO
A11	ROSETTE_WHEEL	Rosettenrad	eines von drei getrennten Rädern	NO
A12	WEATHER_SIGN	Wetterzeichen	mittlere Wellen-/Wolkenrosette	NO
A13	LIGHT_SIGN	Lichtzeichen	rechte Strahlenrosette	NO
A14	TIME_SIGN	Zeitzeichen	lokaler Zeitreadout	NO
A15	PROPERTY_SIGN	Eigenschaftszeichen	lokaler Eigenschaftsreadout	NO
A16	LOCAL_KEY	Ortsschlüssel	nur im aktiven Namensraum	NO
