page	unit_id	locus	group_count	local_owner	local_namespace	selected_local_action_de	selected_instrument_reading_de	orientation	crosspage_key
f67r2	A1	f67r2.1	3	A1_RIGHT_SECTOR_SLOT_01	A1_RIGHT_WHEEL_ONLY	Zeige dieser lokale Sektorplatz 01 des rechten f67r2-Rades; kopiere alle 3 Gruppen; lies den Wert nur unter A1_RIGHT_WHEEL_ONLY.	Linkes oder rechtes Wahlrad getrennt öffnen. Einen Himmelssektor oder Sternort wählen, Bedingungsfeld und Ringrubrik zeigen, das Himmelszeichen kopieren und Kalenderzeichen oder Wahlzeichen nur mit dem Ortsschlüssel dieses Rades lesen. Beim Radwechsel neu beginnen.	NONE	NONE
f67r2	A1	f67r2.2	3	A1_RIGHT_SECTOR_SLOT_02	A1_RIGHT_WHEEL_ONLY	Zeige dieser lokale Sektorplatz 02 des rechten f67r2-Rades; kopiere alle 3 Gruppen; lies den Wert nur unter A1_RIGHT_WHEEL_ONLY.	Linkes oder rechtes Wahlrad getrennt öffnen. Einen Himmelssektor oder Sternort wählen, Bedingungsfeld und Ringrubrik zeigen, das Himmelszeichen kopieren und Kalenderzeichen oder Wahlzeichen nur mit dem Ortsschlüssel dieses Rades lesen. Beim Radwechsel neu beginnen.	NONE	NONE
f67r2	A1	f67r2.3	3	A1_RIGHT_SECTOR_SLOT_03	A1_RIGHT_WHEEL_ONLY	Zeige dieser lokale Sektorplatz 03 des rechten f67r2-Rades; kopiere alle 3 Gruppen; lies den Wert nur unter A1_RIGHT_WHEEL_ONLY.	Linkes oder rechtes Wahlrad getrennt öffnen. Einen Himmelssektor oder Sternort wählen, Bedingungsfeld und Ringrubrik zeigen, das Himmelszeichen kopieren und Kalenderzeichen oder Wahlzeichen nur mit dem Ortsschlüssel dieses Rades lesen. Beim Radwechsel neu beginnen.	NONE	NONE
f67r2	A1	f67r2.4	2	A1_RIGHT_SECTOR_SLOT_04	A1_RIGHT_WHEEL_ONLY	Zeige dieser lokale Sektorplatz 04 des rechten f67r2-Rades; kopiere alle 2 Gruppen; lies den Wert nur unter A1_RIGHT_WHEEL_ONLY.	Linkes oder rechtes Wahlrad getrennt öffnen. Einen Himmelssektor oder Sternort wählen, Bedingungsfeld und Ringrubrik zeigen, das Himmelszeichen kopieren und Kalenderzeichen oder Wahlzeichen nur mit dem Ortsschlüssel dieses Rades lesen. Beim Radwechsel neu beginnen.	NONE	NONE
f67r2	A1	f67r2.5	2	A1_RIGHT_SECTOR_SLOT_05	A1_RIGHT_WHEEL_ONLY	Zeige dieser lokale Sektorplatz 05 des rechten f67r2-Rades; kopiere alle 2 Gruppen; lies den Wert nur unter A1_RIGHT_WHEEL_ONLY.	Linkes oder rechtes Wahlrad getrennt öffnen. Einen Himmelssektor oder Sternort wählen, Bedingungsfeld und Ringrubrik zeigen, das Himmelszeichen kopieren und Kalenderzeichen oder Wahlzeichen nur mit dem Ortsschlüssel dieses Rades lesen. Beim Radwechsel neu beginnen.	NONE	NONE
f67r2	A1	f67r2.6	1	A1_RIGHT_SECTOR_SLOT_06	A1_RIGHT_WHEEL_ONLY	Zeige dieser lokale Sektorplatz 06 des rechten f67r2-Rades; kopiere alle 1 Gruppen; lies den Wert nur unter A1_RIGHT_WHEEL_ONLY.	Linkes oder rechtes Wahlrad getrennt öffnen. Einen Himmelssektor oder Sternort wählen, Bedingungsfeld und Ringrubrik zeigen, das Himmelszeichen kopieren und Kalenderzeichen oder Wahlzeichen nur mit dem Ortsschlüssel dieses Rades lesen. Beim Radwechsel neu beginnen.	NONE	NONE
f67r2	A1	f67r2.7	3	A1_RIGHT_SECTOR_SLOT_07	A1_RIGHT_WHEEL_ONLY	Zeige dieser lokale Sektorplatz 07 des rechten f67r2-Rades; kopiere alle 3 Gruppen; lies den Wert nur unter A1_RIGHT_WHEEL_ONLY.	Linkes oder rechtes Wahlrad getrennt öffnen. Einen Himmelssektor oder Sternort wählen, Bedingungsfeld und Ringrubrik zeigen, das Himmelszeichen kopieren und Kalenderzeichen oder Wahlzeichen nur mit dem Ortsschlüssel dieses Rades lesen. Beim Radwechsel neu beginnen.	NONE	NONE
f67r2	A1	f67r2.8	1	A1_RIGHT_SECTOR_SLOT_08	A1_RIGHT_WHEEL_ONLY	Zeige dieser lokale Sektorplatz 08 des rechten f67r2-Rades; kopiere alle 1 Gruppen; lies den Wert nur unter A1_RIGHT_WHEEL_ONLY.	Linkes oder rechtes Wahlrad getrennt öffnen. Einen Himmelssektor oder Sternort wählen, Bedingungsfeld und Ringrubrik zeigen, das Himmelszeichen kopieren und Kalenderzeichen oder Wahlzeichen nur mit dem Ortsschlüssel dieses Rades lesen. Beim Radwechsel neu beginnen.	NONE	NONE
f67r2	A1	f67r2.9	2	A1_RIGHT_SECTOR_SLOT_09	A1_RIGHT_WHEEL_ONLY	Zeige dieser lokale Sektorplatz 09 des rechten f67r2-Rades; kopiere alle 2 Gruppen; lies den Wert nur unter A1_RIGHT_WHEEL_ONLY.	Linkes oder rechtes Wahlrad getrennt öffnen. Einen Himmelssektor oder Sternort wählen, Bedingungsfeld und Ringrubrik zeigen, das Himmelszeichen kopieren und Kalenderzeichen oder Wahlzeichen nur mit dem Ortsschlüssel dieses Rades lesen. Beim Radwechsel neu beginnen.	NONE	NONE
f67r2	A1	f67r2.10	3	A1_RIGHT_SECTOR_SLOT_10	A1_RIGHT_WHEEL_ONLY	Zeige dieser lokale Sektorplatz 10 des rechten f67r2-Rades; kopiere alle 3 Gruppen; lies den Wert nur unter A1_RIGHT_WHEEL_ONLY.	Linkes oder rechtes Wahlrad getrennt öffnen. Einen Himmelssektor oder Sternort wählen, Bedingungsfeld und Ringrubrik zeigen, das Himmelszeichen kopieren und Kalenderzeichen oder Wahlzeichen nur mit dem Ortsschlüssel dieses Rades lesen. Beim Radwechsel neu beginnen.	NONE	NONE
