paragraph	grammar	target	patient	patient_form	rule	debts	row_status
f6v|f6v.6-f6v.21	B	f6v.8:1	f6v.8:2	chor	LOCAL_RIGHT		recorded
f6v|f6v.6-f6v.21	J	f6v.8:1	f6v.8:2	chor	LOCAL_RIGHT		recorded
f6v|f6v.6-f6v.21	M	f6v.8:1	f6v.8:2	chor	LOCAL_RIGHT		recorded
f9v|f9v.5-f9v.12	B	f9v.11:1	f9v.11:2	chshoty	LOCAL_RIGHT		recorded
f9v|f9v.5-f9v.12	J	f9v.11:1	f9v.11:2	chshoty	LOCAL_RIGHT		recorded
f9v|f9v.5-f9v.12	M	f9v.11:1	f9v.11:2	chshoty	LOCAL_RIGHT		recorded
f17v|f17v.1-f17v.23	B	f17v.15:1	f17v.15:2	cthy	LOCAL_RIGHT		recorded
f17v|f17v.1-f17v.23	J	f17v.15:1	f17v.15:2	cthy	LOCAL_RIGHT		recorded
f17v|f17v.1-f17v.23	M	f17v.15:1	f17v.15:2	cthy	LOCAL_RIGHT		recorded
f19v|f19v.8-f19v.14	B	f19v.9:1	f19v.9:3	chor	LOCAL_RIGHT		recorded
f19v|f19v.8-f19v.14	J	f19v.9:1	f19v.9:3	chor	LOCAL_RIGHT		recorded
f19v|f19v.8-f19v.14	M	f19v.9:1	f19v.9:3	chor	LOCAL_RIGHT		recorded
f22v|f22v.6-f22v.16	B	f22v.7:1	f22v.7:2	chor	LOCAL_RIGHT		recorded
f22v|f22v.6-f22v.16	J	f22v.7:1	f22v.7:2	chor	LOCAL_RIGHT		recorded
f22v|f22v.6-f22v.16	M	f22v.7:1	f22v.7:2	chor	LOCAL_RIGHT		recorded
f23r|f23r.4-f23r.5	B	f23r.5:1	f23r.5:2	qokchol	LOCAL_RIGHT		recorded
f23r|f23r.4-f23r.5	J	f23r.5:1	f23r.5:2	qokchol	LOCAL_RIGHT		recorded
f23r|f23r.4-f23r.5	M	f23r.5:1	f23r.5:2	qokchol	LOCAL_RIGHT		recorded
f24r|f24r.1-f24r.20	B	f24r.8:1	f24r.8:6	qokeol	LOCAL_RIGHT	UNREAD_BETWEEN:f24r.8:3;UNREAD_BETWEEN:f24r.8:4	recorded
f24r|f24r.1-f24r.20	J	f24r.8:1	f24r.8:6	qokeol	LOCAL_RIGHT	UNREAD_BETWEEN:f24r.8:3;UNREAD_BETWEEN:f24r.8:4	recorded
f24r|f24r.1-f24r.20	M	f24r.8:1	f24r.8:6	qokeol	LOCAL_RIGHT	UNREAD_BETWEEN:f24r.8:3;UNREAD_BETWEEN:f24r.8:4	recorded
f45v|f45v.5-f45v.11	B	f45v.9:1	f45v.9:2	cthy	LOCAL_RIGHT		recorded
f45v|f45v.5-f45v.11	J	f45v.9:1	f45v.9:2	cthy	LOCAL_RIGHT		recorded
f45v|f45v.5-f45v.11	M	f45v.9:1	f45v.9:2	cthy	LOCAL_RIGHT		recorded
f86v5|f86v5.18-f86v5.25	B	f86v5.20:1	f86v5.20:5	otaiin	LOCAL_RIGHT	UNREAD_BETWEEN:f86v5.20:4	recorded
f86v5|f86v5.18-f86v5.25	J	f86v5.20:1	f86v5.20:5	otaiin	LOCAL_RIGHT	UNREAD_BETWEEN:f86v5.20:4	recorded
f86v5|f86v5.18-f86v5.25	M	f86v5.20:1	f86v5.20:5	otaiin	LOCAL_RIGHT	UNREAD_BETWEEN:f86v5.20:4	recorded
f93r|f93r.1-f93r.32	B	f93r.28:1	f93r.28:2	odol	LOCAL_RIGHT		recorded
f93r|f93r.1-f93r.32	J	f93r.28:1	f93r.28:2	odol	LOCAL_RIGHT		recorded
f93r|f93r.1-f93r.32	M	f93r.28:1	f93r.28:2	odol	LOCAL_RIGHT		recorded
f99r|f99r.47-f99r.52	B	f99r.52:1	f99r.52:2	ols	LOCAL_RIGHT		recorded
f99r|f99r.47-f99r.52	J	f99r.52:1	f99r.52:2	ols	LOCAL_RIGHT		recorded
f99r|f99r.47-f99r.52	M	f99r.52:1	f99r.52:2	ols	LOCAL_RIGHT		recorded
f102v2|f102v2.30-f102v2.39	B	f102v2.35:1	f102v2.35:2	sheol	LOCAL_RIGHT		recorded
f102v2|f102v2.30-f102v2.39	J	f102v2.35:1	f102v2.35:2	sheol	LOCAL_RIGHT		recorded
f102v2|f102v2.30-f102v2.39	M	f102v2.35:1	f102v2.35:2	sheol	LOCAL_RIGHT		recorded
f106r|f106r.8-f106r.9	B	f106r.9:1	f106r.8:3	ol	PARAGRAPH_CARRY	UNREAD_BETWEEN:f106r.8:5;UNREAD_BETWEEN:f106r.8:8;UNREAD_BETWEEN:f106r.8:11;IMPLICIT_SUBJECT_CONTINUATION	recorded
f106r|f106r.8-f106r.9	J	f106r.9:1	f106r.9:3	qokain	SHARED_RIGHT_J		recorded
f106r|f106r.8-f106r.9	M	f106r.9:1	f106r.9:3	qokain	SHARED_RIGHT_M		recorded
