paragraph	grammar	mention	kind	form	axis	value	scope	patient	patient_form	rule	debts	row_status
f6v|f6v.6-f6v.21	B	f6v.12:2	STANDALONE	shy	moisture	wet	PHYSICAL			MISSING	MISSING_MATERIAL_BINDING	recorded
f6v|f6v.6-f6v.21	B	f6v.15:4	STANDALONE	chy	thermal	hot	PHYSICAL	f6v.14:3	cthol	ACTION_RESULT_REFERENCE	ASSUMED_RESULT_OR_PROCESS_CONDITION:f6v.15:1;IMPLICIT_SUBJECT_CONTINUATION;MISSING_COINGREDIENT	recorded
f6v|f6v.6-f6v.21	B	f6v.19:3	STANDALONE	chy	thermal	hot	PHYSICAL	f6v.19:1	ocholy	ACTION_RESULT_REFERENCE	ASSUMED_RESULT_OR_PROCESS_CONDITION:f6v.19:2	recorded
f6v|f6v.6-f6v.21	J	f6v.12:2	STANDALONE	shy	moisture	wet	PHYSICAL			MISSING	MISSING_MATERIAL_BINDING	recorded
f6v|f6v.6-f6v.21	J	f6v.15:4	STANDALONE	chy	thermal	hot	PHYSICAL	f6v.14:3	cthol	ACTION_RESULT_REFERENCE	ASSUMED_RESULT_OR_PROCESS_CONDITION:f6v.15:1;IMPLICIT_SUBJECT_CONTINUATION;MISSING_COINGREDIENT	recorded
f6v|f6v.6-f6v.21	J	f6v.19:3	STANDALONE	chy	thermal	hot	PHYSICAL	f6v.19:1	ocholy	ACTION_RESULT_REFERENCE	ASSUMED_RESULT_OR_PROCESS_CONDITION:f6v.19:2	recorded
f6v|f6v.6-f6v.21	M	f6v.12:2	STANDALONE	shy	moisture	wet	PHYSICAL			MISSING	MISSING_MATERIAL_BINDING	recorded
f6v|f6v.6-f6v.21	M	f6v.15:4	STANDALONE	chy	thermal	hot	PHYSICAL	f6v.14:3	cthol	ACTION_RESULT_REFERENCE	ASSUMED_RESULT_OR_PROCESS_CONDITION:f6v.15:1;IMPLICIT_SUBJECT_CONTINUATION;MISSING_COINGREDIENT	recorded
f6v|f6v.6-f6v.21	M	f6v.19:3	STANDALONE	chy	thermal	hot	PHYSICAL	f6v.19:1	ocholy	ACTION_RESULT_REFERENCE	ASSUMED_RESULT_OR_PROCESS_CONDITION:f6v.19:2	recorded
f9v|f9v.5-f9v.12	B	f9v.9:2	STANDALONE	chy	thermal	hot	PHYSICAL			MISSING	MISSING_MATERIAL_BINDING	recorded
