candidate	shol	paragraph	grammar	model	timing	target	form	take	C_patient	N_patient	N_debts	row_status
O	Q	f106r|f106r.8-f106r.9	B	D	O	f106r.8:3	ol	f106r.9:1		f106r.8:3	UNREAD_BETWEEN:f106r.8:5;UNREAD_BETWEEN:f106r.8:8;UNREAD_BETWEEN:f106r.8:11;IMPLICIT_SUBJECT_CONTINUATION	recorded
O	Q	f106r|f106r.8-f106r.9	B	D	I	f106r.8:3	ol	f106r.9:1		f106r.8:3	UNREAD_BETWEEN:f106r.8:5;UNREAD_BETWEEN:f106r.8:8;UNREAD_BETWEEN:f106r.8:11;IMPLICIT_SUBJECT_CONTINUATION	recorded
O	Q	f106r|f106r.8-f106r.9	B	H	O	f106r.8:3	ol	f106r.9:1		f106r.8:3	UNREAD_BETWEEN:f106r.8:5;UNREAD_BETWEEN:f106r.8:8;UNREAD_BETWEEN:f106r.8:11;IMPLICIT_SUBJECT_CONTINUATION	recorded
O	Q	f106r|f106r.8-f106r.9	B	H	I	f106r.8:3	ol	f106r.9:1		f106r.8:3	UNREAD_BETWEEN:f106r.8:5;UNREAD_BETWEEN:f106r.8:8;UNREAD_BETWEEN:f106r.8:11;IMPLICIT_SUBJECT_CONTINUATION	recorded
OL	Q	f106r|f106r.8-f106r.9	B	D	O	f106r.8:3	ol	f106r.9:1		f106r.8:3	UNREAD_BETWEEN:f106r.8:5;UNREAD_BETWEEN:f106r.8:8;UNREAD_BETWEEN:f106r.8:11;IMPLICIT_SUBJECT_CONTINUATION	recorded
OL	Q	f106r|f106r.8-f106r.9	B	D	I	f106r.8:3	ol	f106r.9:1		f106r.8:3	UNREAD_BETWEEN:f106r.8:5;UNREAD_BETWEEN:f106r.8:8;UNREAD_BETWEEN:f106r.8:11;IMPLICIT_SUBJECT_CONTINUATION	recorded
OL	Q	f106r|f106r.8-f106r.9	B	H	O	f106r.8:3	ol	f106r.9:1		f106r.8:3	UNREAD_BETWEEN:f106r.8:5;UNREAD_BETWEEN:f106r.8:8;UNREAD_BETWEEN:f106r.8:11;IMPLICIT_SUBJECT_CONTINUATION	recorded
OL	Q	f106r|f106r.8-f106r.9	B	H	I	f106r.8:3	ol	f106r.9:1		f106r.8:3	UNREAD_BETWEEN:f106r.8:5;UNREAD_BETWEEN:f106r.8:8;UNREAD_BETWEEN:f106r.8:11;IMPLICIT_SUBJECT_CONTINUATION	recorded
O	A	f106r|f106r.8-f106r.9	B	D	O	f106r.8:3	ol	f106r.9:1		f106r.8:3	UNREAD_BETWEEN:f106r.8:5;UNREAD_BETWEEN:f106r.8:8;UNREAD_BETWEEN:f106r.8:11;IMPLICIT_SUBJECT_CONTINUATION	recorded
O	A	f106r|f106r.8-f106r.9	B	D	I	f106r.8:3	ol	f106r.9:1		f106r.8:3	UNREAD_BETWEEN:f106r.8:5;UNREAD_BETWEEN:f106r.8:8;UNREAD_BETWEEN:f106r.8:11;IMPLICIT_SUBJECT_CONTINUATION	recorded
O	A	f106r|f106r.8-f106r.9	B	H	O	f106r.8:3	ol	f106r.9:1		f106r.8:3	UNREAD_BETWEEN:f106r.8:5;UNREAD_BETWEEN:f106r.8:8;UNREAD_BETWEEN:f106r.8:11;IMPLICIT_SUBJECT_CONTINUATION	recorded
O	A	f106r|f106r.8-f106r.9	B	H	I	f106r.8:3	ol	f106r.9:1		f106r.8:3	UNREAD_BETWEEN:f106r.8:5;UNREAD_BETWEEN:f106r.8:8;UNREAD_BETWEEN:f106r.8:11;IMPLICIT_SUBJECT_CONTINUATION	recorded
OL	A	f106r|f106r.8-f106r.9	B	D	O	f106r.8:3	ol	f106r.9:1		f106r.8:3	UNREAD_BETWEEN:f106r.8:5;UNREAD_BETWEEN:f106r.8:8;UNREAD_BETWEEN:f106r.8:11;IMPLICIT_SUBJECT_CONTINUATION	recorded
OL	A	f106r|f106r.8-f106r.9	B	D	I	f106r.8:3	ol	f106r.9:1		f106r.8:3	UNREAD_BETWEEN:f106r.8:5;UNREAD_BETWEEN:f106r.8:8;UNREAD_BETWEEN:f106r.8:11;IMPLICIT_SUBJECT_CONTINUATION	recorded
OL	A	f106r|f106r.8-f106r.9	B	H	O	f106r.8:3	ol	f106r.9:1		f106r.8:3	UNREAD_BETWEEN:f106r.8:5;UNREAD_BETWEEN:f106r.8:8;UNREAD_BETWEEN:f106r.8:11;IMPLICIT_SUBJECT_CONTINUATION	recorded
OL	A	f106r|f106r.8-f106r.9	B	H	I	f106r.8:3	ol	f106r.9:1		f106r.8:3	UNREAD_BETWEEN:f106r.8:5;UNREAD_BETWEEN:f106r.8:8;UNREAD_BETWEEN:f106r.8:11;IMPLICIT_SUBJECT_CONTINUATION	recorded
