source_reading_id	source_gdt	evidence_path	selector	expected_source_surface	expected_source_decomposition	normalized_decomposition	field_assertions	score_credit_family_ids	normalization_class
chedaiin#1	GDT663	experiments/yolo/gdt663_one_hundred_two_residual_family_completion/artifacts/TARGET_DECISION_DECK.tsv	decision_id=G663-D060	chedaiin	CH_DRY+E_MIDDLE+D_MEASURE+A+IIN_III	CH_DRY+E_MIDDLE+D_MEASURE+A+IIN_III	occurrences=32;lines=31;pages=19;reader_exact_occurrences=17;split_normalized_occurrences=18	F_STATE|F_D|F_N	SOURCE_EXACT__E_MIDDLE_UNSCORED
chodaiin#1	GDT664	experiments/yolo/gdt664_one_hundred_forty_residual_family_completion/artifacts/TARGET_DECISION_DECK.tsv	decision_id=G664-D035	chodaiin	CHO_DRY_PREP+D_A+IIN_DOSE_III	CHO_DRY_PREP+D_MEASURE+A+IIN_III	occurrences=42;lines=41;pages=34;reader_exact_occurrences=37;split_normalized_occurrences=38	F_STATE|F_O|F_N|F_D	FAMILY_NORMALIZED_D_AND_VALUE_TERMINAL
cholkain#1	GDT679	experiments/yolo/gdt679_eight_three_hole_family_completion/artifacts/TARGET_FAMILY_CARDS.tsv	card_rank=21;surface=cholkain	cholkain	CHOL_DRY_MATERIAL+K_HOT+AIN_II	CHOL_DRY_MATERIAL+K_HOT+AIN_II	observed_occurrences=1;observed_pages=1;both_exact=1;it2a_only_exact=0;rf1b_only_exact=0;neither_exact=0	NONE	SOURCE_EXACT__PROSE_ONLY_ZERO_CREDIT
chos#1	GDT665	experiments/yolo/gdt665_one_hundred_forty_eight_residual_family_completion/artifacts/TARGET_DECISION_DECK.tsv	decision_id=G665-D045	chos	CH_DRY+O_PREP+S_TERM_SPECIES	CH_DRY+O_PREP+S_BOUND_UNRESOLVED	occurrences=30;lines=30;pages=22;reader_exact_occurrences=27;split_normalized_occurrences=27	F_STATE|F_O	REMOVE_UNSUPPORTED_S_SPECIES_IDENTITY
chs#1	GDT661	experiments/yolo/gdt661_forty_eight_residual_family_completion/artifacts/TARGET_DECISION_DECK.tsv	decision_id=G661-D03	chs	CH_DRY+S_BOUND_BASE	CH_DRY+S_BOUND_BASE	occurrences=13;lines=13;pages=10;reader_exact_occurrences=11;split_normalized_occurrences=11	F_STATE	SOURCE_EXACT
dshees#1	GDT690	experiments/yolo/gdt690_noun_ordinal_provenance_main_apparatus/artifacts/V63_479_TOKEN_NOUN_BINDING.tsv	page=f105r;locus=f105r.2;token_ordinal=1;surface=dshees	dshees	NONE	DSHEES_EXACT_WHOLE__UNLICENSED_COMPOSITION_RIVAL[D_SH_EE_S]	focus_family=NONE;renderer_rule_id=N023;provenance_tier=LOCAL_LEARNED_WHOLE;upstream_source_match=NONE;upstream_source_records=0;upstream_source_experiments=NONE;upstream_source_artifacts=NONE	NONE	LOCAL_WHOLE_ONLY__INTERNAL_RIVAL_UNLICENSED
dshey#1	GDT665	experiments/yolo/gdt665_one_hundred_forty_eight_residual_family_completion/artifacts/TARGET_DECISION_DECK.tsv	decision_id=G665-D137	dshey	D_MEASURE+SH_MOIST+E_MIDDLE+Y_START_OR_CLOSE	D_MEASURE+SH_MOIST+E_MIDDLE+Y_CLOSE_OR_BASE	occurrences=10;lines=10;pages=8;reader_exact_occurrences=7;split_normalized_occurrences=7	F_D|F_STATE|F_STAGE	NORMALIZE_Y_ROLE_OPEN
kc#1	GDT679	experiments/yolo/gdt679_eight_three_hole_family_completion/artifacts/TARGET_FAMILY_CARDS.tsv	card_rank=23;surface=kc	kc	K_HOT+CH_DRY+S_TERM_SPECIES	KC_ZL3B__READER_CORRECTED[K_HOT+CH_DRY+S_BOUND_UNRESOLVED]	observed_occurrences=1;observed_pages=1;both_exact=0;it2a_only_exact=0;rf1b_only_exact=0;neither_exact=1	NONE	READER_CORRECTED__S_UNRESOLVED__ZERO_CREDIT
keo#1	GDT678	experiments/yolo/gdt678_seventeen_two_hole_family_completion/artifacts/TARGET_FAMILY_CARDS.tsv	card_rank=19;surface=keo	keo	K_HOT+E_MIDDLE+O_PREP	K_HOT+E_MIDDLE+O_PREP	observed_occurrences=5;observed_pages=5;both_exact=0;it2a_only_exact=0;rf1b_only_exact=3;neither_exact=2	NONE	SOURCE_EXACT__CORE_COMPRESSION_ZERO_CREDIT
kor#1	GDT654	experiments/yolo/gdt654_ar_or_surface_consolidation/artifacts/TARGET_DECISION_DECK.tsv	candidate_id=G654-C04	kor	K_HEISS+OR_PORTION	K_HOT+OR_PORTION	occurrences=20;pages=20;reader_exact_occurrences=13;split_normalized_occurrences=13;reader_variant_occurrences=7	F_STATE|F_OR	NORMALIZE_HEISS_TO_HOT_TAG
