endpoint	held_domain	representation	n	positives	auc	average_precision	prevalence	full_gain_vs_nuisance_bits	representation_gain_vs_nuisance_bits
HEAD_WITH_DEPENDENTS	COREMA	ABSOLUTE_PROBABILITY	27349	7315	0.507427264	0.252655818	0.267468646	-6468.724019761	-6468.724019761
HEAD_WITH_DEPENDENTS	COREMA	WITHIN_RECORD_RANK	27349	7315	0.513136445	0.255497137	0.267468646	-6468.724019761	nan
HEAD_WITH_DEPENDENTS	COREMA	STRUCTURE_MINUS_NUISANCE_DELTA	27349	7315	0.461224469	0.229691415	0.267468646	-6468.724019761	nan
HEAD_WITH_DEPENDENTS	COREMA	DOMAIN_STANDARDIZED	27349	7315	0.461224469	0.229691415	0.267468646	-6468.724019761	nan
HEAD_WITH_DEPENDENTS	COREMA	SCOPE_HORIZON	27349	7315	0.603566118	0.306465155	0.267468646	-6468.724019761	1919.120482954
HEAD_WITH_DEPENDENTS	COREMA	NEIGHBOR_RECURRENCE	27349	7315	0.504000711	0.252367178	0.267468646	-6468.724019761	-6812.791038526
HEAD_WITH_DEPENDENTS	COREMA	FIXED_RANK_COMBINATION	27349	7315	0.520266265	0.264974234	0.267468646	-6468.724019761	nan
HEAD_WITH_DEPENDENTS	PCEEC2	ABSOLUTE_PROBABILITY	27518	3225	0.462195618	0.101416890	0.117196017	-1805.627437865	-1805.627437865
HEAD_WITH_DEPENDENTS	PCEEC2	WITHIN_RECORD_RANK	27518	3225	0.446412260	0.098887630	0.117196017	-1805.627437865	nan
HEAD_WITH_DEPENDENTS	PCEEC2	STRUCTURE_MINUS_NUISANCE_DELTA	27518	3225	0.412432330	0.091122841	0.117196017	-1805.627437865	nan
HEAD_WITH_DEPENDENTS	PCEEC2	DOMAIN_STANDARDIZED	27518	3225	0.412432330	0.091122841	0.117196017	-1805.627437865	nan
HEAD_WITH_DEPENDENTS	PCEEC2	SCOPE_HORIZON	27518	3225	0.612479615	0.153429741	0.117196017	-1805.627437865	-56.315608477
HEAD_WITH_DEPENDENTS	PCEEC2	NEIGHBOR_RECURRENCE	27518	3225	0.460702234	0.101234252	0.117196017	-1805.627437865	-1656.368342463
HEAD_WITH_DEPENDENTS	PCEEC2	FIXED_RANK_COMBINATION	27518	3225	0.476414503	0.107160717	0.117196017	-1805.627437865	nan
HEAD_WITH_DEPENDENTS	CURIOUS_CURES	ABSOLUTE_PROBABILITY	21817	1139	0.637590553	0.066945223	0.052206995	234.801168922	234.801168922
HEAD_WITH_DEPENDENTS	CURIOUS_CURES	WITHIN_RECORD_RANK	21817	1139	0.640833259	0.068423327	0.052206995	234.801168922	nan
HEAD_WITH_DEPENDENTS	CURIOUS_CURES	STRUCTURE_MINUS_NUISANCE_DELTA	21817	1139	0.650739195	0.073645293	0.052206995	234.801168922	nan
HEAD_WITH_DEPENDENTS	CURIOUS_CURES	DOMAIN_STANDARDIZED	21817	1139	0.650739195	0.073645293	0.052206995	234.801168922	nan
HEAD_WITH_DEPENDENTS	CURIOUS_CURES	SCOPE_HORIZON	21817	1139	0.602459587	0.061093041	0.052206995	234.801168922	161.358684239
HEAD_WITH_DEPENDENTS	CURIOUS_CURES	NEIGHBOR_RECURRENCE	21817	1139	0.630693078	0.066138473	0.052206995	234.801168922	256.343070664
HEAD_WITH_DEPENDENTS	CURIOUS_CURES	FIXED_RANK_COMBINATION	21817	1139	0.634740421	0.066570656	0.052206995	234.801168922	nan
