transition_index	record_unit_id	statement_id	page	left_locus	left_event	left_card	left_terminal_status	right_locus	right_event	right_card	right_terminal_status	same_exact_card	same_owner_without_reset	same_statement	no_close	carry_rule_fires	central_expected_carry	classification	forward_copy_action	backward_source_action	boundary_recovery	strongest_risk
1	H5	H5-S001	f56r	f56r.5	E077	2f1c5e56e8f0ff459065	NONCLOSE	f56r.7	E078	2cc054357a929df85f64	NONCLOSE	NO	YES	YES	YES	NO	NO	TN	COPY_BOTH_ORDINARY_EDGE_EVENTS	READ_EACH_EVENT_ORDINARILY	EXACT	suppressing here would be a false positive
2	B1	B1-S002	f81v	f81v.2	E112	0f18de177ed7c878bf95	NONCLOSE	f81v.7	E113	dec401773c1f0347793d	NONCLOSE	NO	YES	YES	YES	NO	NO	TN	COPY_BOTH_ORDINARY_EDGE_EVENTS	READ_EACH_EVENT_ORDINARILY	EXACT	suppressing here would be a false positive
3	B1	B1-S003	f81v	f81v.7	E121	dcda95c81a5460feb191	NONCLOSE	f81v.17	E122	54e32e9c1414b20640e9	TERMINAL	NO	YES	YES	NO	NO	NO	TN	COPY_BOTH_ORDINARY_EDGE_EVENTS	READ_EACH_EVENT_ORDINARILY	EXACT	suppressing here would be a false positive
4	B1	B1-S018	f81v	f81v.24	E159	b38d70daefd663d74625	NONCLOSE	f81v.27	E160	74c76d589d44120f647b	NONCLOSE	NO	YES	YES	YES	NO	NO	TN	COPY_BOTH_ORDINARY_EDGE_EVENTS	READ_EACH_EVENT_ORDINARILY	EXACT	suppressing here would be a false positive
5	B2	B2-S004	f82r	f82r.2	E174	ba8142680851f24c9ff2	NONCLOSE	f82r.3	E175	0275fbf14e07935b0a45	NONCLOSE	NO	YES	YES	YES	NO	NO	TN	COPY_BOTH_ORDINARY_EDGE_EVENTS	READ_EACH_EVENT_ORDINARILY	EXACT	suppressing here would be a false positive
6	B2	B2-S005	f82r	f82r.3	E180	b5fcea1eaed06b2f2291	NONCLOSE	f82r.4	E181	b5fcea1eaed06b2f2291	NONCLOSE	YES	YES	YES	YES	YES	YES	TP	COPY_BOTH_VISIBLE_CARDS	FIRST_IS_ANTICIPATION__READ_SECOND_ONCE	EXACT	single positive example; convention remains underdetermined against dittography/formal reset
7	B2	B2-S012	f82r	f82r.19	E202	0ab57b7166de99db3a55	NONCLOSE	f82r.23	E203	b5df9126607030b95175	NONCLOSE	NO	NO	YES	YES	NO	NO	TN	COPY_BOTH_ORDINARY_EDGE_EVENTS	READ_EACH_EVENT_ORDINARILY	EXACT	suppressing here would be a false positive
8	B2	B2-S016	f82r	f82r.26	E220	08bd5ca0c2ad137a056d	NONCLOSE	f82r.27	E221	65df3cd9e59060042d47	TERMINAL	NO	YES	YES	NO	NO	NO	TN	COPY_BOTH_ORDINARY_EDGE_EVENTS	READ_EACH_EVENT_ORDINARILY	EXACT	suppressing here would be a false positive
9	B3	B3-S016	f83r	f83r.11	E263	2b7fa918d1b2f5c656e3	NONCLOSE	f83r.14	E264	07913ef9b1fb773cd325	TERMINAL	NO	NO	YES	NO	NO	NO	TN	COPY_BOTH_ORDINARY_EDGE_EVENTS	READ_EACH_EVENT_ORDINARILY	EXACT	suppressing here would be a false positive
10	B3	B3-S021	f83r	f83r.14	E273	b921a237be883a820352	NONCLOSE	f83r.15	E274	2f1c5e56e8f0ff459065	NONCLOSE	NO	YES	YES	YES	NO	NO	TN	COPY_BOTH_ORDINARY_EDGE_EVENTS	READ_EACH_EVENT_ORDINARILY	EXACT	suppressing here would be a false positive
11	B3	B3-S026	f83r	f83r.16	E290	d788d8d72d41b25a3c71	NONCLOSE	f83r.20	E291	3b70942557b3a40e8030	TERMINAL	NO	NO	YES	NO	NO	NO	TN	COPY_BOTH_ORDINARY_EDGE_EVENTS	READ_EACH_EVENT_ORDINARILY	EXACT	suppressing here would be a false positive
12	B3	B3-S030	f83r	f83r.20	E299	2f1c5e56e8f0ff459065	NONCLOSE	f83r.22	E300	b154ff779abe5f196c80	NONCLOSE	NO	YES	YES	YES	NO	NO	TN	COPY_BOTH_ORDINARY_EDGE_EVENTS	READ_EACH_EVENT_ORDINARILY	EXACT	suppressing here would be a false positive
13	B4	B4-S003	f83r	f83r.25	E320	90bcf0a9ec0ef56399e6	NONCLOSE	f83r.26	E321	faf321940aed922846a9	NONCLOSE	NO	YES	YES	YES	NO	NO	TN	COPY_BOTH_ORDINARY_EDGE_EVENTS	READ_EACH_EVENT_ORDINARILY	EXACT	suppressing here would be a false positive
