transition_id	record_unit_id	statement_id	before_event	after_event	before_locus	after_locus	before_tuple	after_tuple	same_exact_card	same_visible_owner	no_close_between	visible_owner_reset	generic_read_once_predicate	selected_reading	remaining_rival
L01	H5	H5-S001	E077	E078	f56r.5	f56r.7	2f1c5e56e8f0ff459065	2cc054357a929df85f64	NO	YES	YES	NO	NO_MATCH	ORDINARY_CROSS_LINE_CONTINUATION	NONE
L02	B1	B1-S002	E112	E113	f81v.2	f81v.7	0f18de177ed7c878bf95	dec401773c1f0347793d	NO	YES	YES	NO	NO_MATCH	ORDINARY_CROSS_LINE_CONTINUATION	NONE
L03	B1	B1-S003	E121	E122	f81v.7	f81v.17	dcda95c81a5460feb191	54e32e9c1414b20640e9	NO	YES	YES	NO	NO_MATCH	ORDINARY_CROSS_LINE_CONTINUATION	NONE
L04	B1	B1-S018	E159	E160	f81v.24	f81v.27	b38d70daefd663d74625	74c76d589d44120f647b	NO	YES	YES	NO	NO_MATCH	ORDINARY_CROSS_LINE_CONTINUATION	NONE
L05	B2	B2-S004	E174	E175	f82r.2	f82r.3	ba8142680851f24c9ff2	0275fbf14e07935b0a45	NO	YES	YES	NO	NO_MATCH	ORDINARY_CROSS_LINE_CONTINUATION	NONE
L06	B2	B2-S005	E180	E181	f82r.3	f82r.4	b5fcea1eaed06b2f2291	b5fcea1eaed06b2f2291	YES	YES	YES	NO	MATCH	ONE_SOURCE_TOKEN__FIRST_ANTICIPATORY_COPY	INTENTIONAL_REPETITION_OR_LOCAL_DITTOGRAPHY
L07	B2	B2-S012	E202	E203	f82r.19	f82r.23	0ab57b7166de99db3a55	b5df9126607030b95175	NO	NO	YES	YES	NO_MATCH	ORDINARY_CROSS_LINE_CONTINUATION	NONE
L08	B2	B2-S016	E220	E221	f82r.26	f82r.27	08bd5ca0c2ad137a056d	65df3cd9e59060042d47	NO	YES	YES	NO	NO_MATCH	ORDINARY_CROSS_LINE_CONTINUATION	NONE
L09	B3	B3-S016	E263	E264	f83r.11	f83r.14	2b7fa918d1b2f5c656e3	07913ef9b1fb773cd325	NO	NO	YES	YES	NO_MATCH	ORDINARY_CROSS_LINE_CONTINUATION	NONE
L10	B3	B3-S021	E273	E274	f83r.14	f83r.15	b921a237be883a820352	2f1c5e56e8f0ff459065	NO	YES	YES	NO	NO_MATCH	ORDINARY_CROSS_LINE_CONTINUATION	NONE
L11	B3	B3-S026	E290	E291	f83r.16	f83r.20	d788d8d72d41b25a3c71	3b70942557b3a40e8030	NO	NO	YES	YES	NO_MATCH	ORDINARY_CROSS_LINE_CONTINUATION	NONE
L12	B3	B3-S030	E299	E300	f83r.20	f83r.22	2f1c5e56e8f0ff459065	b154ff779abe5f196c80	NO	YES	YES	NO	NO_MATCH	ORDINARY_CROSS_LINE_CONTINUATION	NONE
L13	B4	B4-S003	E320	E321	f83r.25	f83r.26	90bcf0a9ec0ef56399e6	faf321940aed922846a9	NO	YES	YES	NO	NO_MATCH	ORDINARY_CROSS_LINE_CONTINUATION	NONE
L14	B4	B4-S011	E342	E343	f83r.35	f83r.37	6f7ff8287eddf4da9fdb	dcda95c81a5460feb191	NO	YES	YES	NO	NO_MATCH	ORDINARY_CROSS_LINE_CONTINUATION	NONE
L15	B4	B4-S015	E355	E356	f83r.39	f83r.41	21ed2873b71e57269c08	42cdc187d5b9ffc60063	NO	NO	YES	YES	NO_MATCH	ORDINARY_CROSS_LINE_CONTINUATION	NONE
L16	B4	B4-S016	E359	E360	f83r.41	f83r.44	dd0ecaf5e27d81befffc	883a6708116c342cb10b	NO	YES	YES	NO	NO_MATCH	ORDINARY_CROSS_LINE_CONTINUATION	NONE
L17	B5	B5-S003	E364	E365	f83r.47	f83r.48	abb23e5e6936b4147f76	dd0ecaf5e27d81befffc	NO	YES	YES	NO	NO_MATCH	ORDINARY_CROSS_LINE_CONTINUATION	NONE
L18	B5	B5-S003	E369	E370	f83r.48	f83r.49	2f1c5e56e8f0ff459065	dcda95c81a5460feb191	NO	YES	YES	NO	NO_MATCH	ORDINARY_CROSS_LINE_CONTINUATION	NONE
L19	B6	B6-S001	E376	E377	f83r.52	f83r.54	dcda95c81a5460feb191	2f1c5e56e8f0ff459065	NO	YES	YES	NO	NO_MATCH	ORDINARY_CROSS_LINE_CONTINUATION	NONE
