rule_order	state	visible_input	condition	operation	state_update	forward_output	backward_output	failure_if_omitted
01	START	selected unit identifier	always	LOAD_UNIT	clear record/statement/owner/pending-copy; retain exact code sheet and physical layout	none	none	state leaks between records or namespaces
02	PROSE_RECORD	record boundary	new H/B record	RESET_RECORD	set record; clear statement, owner, substance, target, direction and pending-copy	record address	record boundary	B5/B6 or Herbal articles merge illegally
03	PROSE_RECORD	frozen statement membership	statement_id changes	OPEN_STATEMENT	set statement; do not treat physical line as a sentence boundary	statement address	statement boundary from layout template	19 line transitions split 18 valid statements
04	PROSE_STATEMENT	image_owner_id	record start or visible owner changes	SET_OR_RESET_OWNER	set local owner; clear substance, target and direction on BREAK_VISIBLE_GAP	local owner address only	same visible owner binding	disconnected Bio stations become one invented flow
05	PROSE_STATEMENT	line-final exact card	physical line ends while statement remains open	BUFFER_EDGE_CARD	hold exact card and owner until next line-initial event; emit nothing yet	pending edge candidate	none	E180 may be spoken before E181 is inspected
06	PENDING_EDGE_CARD	next line-initial event	same exact card + same statement + same owner + prior NONCLOSE	COLLAPSE_ANTICIPATORY_COPY	mark first visible copy marginal; emit second occurrence once; clear buffer	one source token for two visible copies	render source token at line start and anticipate it once at preceding line edge	PER? PER? before one complement
07	PENDING_EDGE_CARD	next line-initial event	any edge-copy condition fails	RELEASE_BOTH	read buffered and current events independently; clear buffer	two source positions	two visible events	false catchwords at ordinary line crossings
08	PROSE_STATEMENT	dcda95c81a5460feb191	exact identity match	EMIT_ET_QUESTIONED	no semantic state change is licensed	ET?	dcda95c81a5460feb191	V78 dictionary inconsistency; silent LINK/SLOT remains equally valid
09	PROSE_STATEMENT	b5fcea1eaed06b2f2291	exact identity match and not suppressed edge copy	EMIT_PER_QUESTIONED	no semantic state change is licensed	PER?	b5fcea1eaed06b2f2291	V78 dictionary inconsistency; ENTRY/RESET remains equally valid
10	PROSE_STATEMENT	formal nonword card	V78 status FORMAL_LABEL_NOT_WORD	EMIT_FORMAL_CHANNEL	keep channel nonlexical	formal parameter/relation prompt	same exact card from code sheet	editorial label becomes a claimed word
11	PROSE_STATEMENT	all other exact cards	no admitted V77 word	EMIT_OPAQUE_VALUE	retain exact identity and position only	EXEMPLAR_VALUE_UNKNOWN	same exact card from code sheet	new unsupported dictionary meanings appear
12	ANY_PROSE	master exemplar switch	master exemplar present	LOOKUP_CONTEXT_EXPANSION	attach occurrence-bound bracketed expansion without changing dictionary	selected V78 German exemplar phrase	same occurrence address	content cannot be recovered; formal copying still succeeds
13	ANY_PROSE	master exemplar switch	master exemplar absent	MASK_CONTEXT_EXPANSION	retain formal identity/layout; set source content UNKNOWN	no semantic content	formal layout only	lookup content is mistaken for internally decoded meaning
14	START	f69v left-wheel namespace	local owner in f69v.4..31	SET_F69_LEFT_NAMESPACE	set F69_LEFT_WHEEL_NS; forbid middle/right wheel and crosspage inheritance	local wheel address	same namespace	three f69 wheels or f68/f69 are merged
15	F69_LEFT_WHEEL_NS	one of 28 local loci	direct visible slot address	LOOKUP_UNORDERED_SLOT	set local owner and copy its 1..n opaque groups; choose no start or direction	opaque group sequence plus optional exemplar label	same opaque group sequence at same local owner	editorial L01..L28 becomes a claimed ordered cycle
16	ANY	end of unit	always	VERIFY_ROUNDTRIP	compare exact IDs, boundaries, owner resets and source-token count	audit result	audit result	fluent paraphrase may hide lost or duplicated formal units
