transition_index	statement_id	record_unit_id	page	left_event_id	left_physical_line	left_exact_card	left_owner	left_terminal_status	right_event_id	right_physical_line	right_exact_card	right_owner	right_owner_break_before	same_statement	same_exact_card	same_visible_owner	no_close_between	no_owner_reset_between	read_once_rule_match	source_token_count_for_visible_pair	decision	failure_reason_if_not_match	historical_hypothesis_label	semantic_use
1	H5-S001	H5	f56r	E077	f56r.5	2f1c5e56e8f0ff459065	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	NONCLOSE	E078	f56r.7	2cc054357a929df85f64	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	SAME_OWNER	YES	NO	YES	YES	YES	NO	2	READ_BOTH__NONIDENTICAL_EXACT_CARDS	EXACT_CARD_ID_DIFFERS	NO_ANTICIPATION_CLAIM	NONE__RULE_TESTED_FROM_VISIBLE_FORM_OWNER_AND_CLOSE_ONLY
2	B1-S002	B1	f81v	E112	f81v.2	0f18de177ed7c878bf95	B1_SHARED_TWO_ROW_POOL	NONCLOSE	E113	f81v.7	dec401773c1f0347793d	B1_SHARED_TWO_ROW_POOL	SAME_LOCAL_OWNER__NO_NEW_GEOMETRIC_CLAIM	YES	NO	YES	YES	YES	NO	2	READ_BOTH__NONIDENTICAL_EXACT_CARDS	EXACT_CARD_ID_DIFFERS	NO_ANTICIPATION_CLAIM	NONE__RULE_TESTED_FROM_VISIBLE_FORM_OWNER_AND_CLOSE_ONLY
3	B1-S003	B1	f81v	E121	f81v.7	dcda95c81a5460feb191	B1_SHARED_TWO_ROW_POOL	NONCLOSE	E122	f81v.17	54e32e9c1414b20640e9	B1_SHARED_TWO_ROW_POOL	SAME_LOCAL_OWNER__NO_NEW_GEOMETRIC_CLAIM	YES	NO	YES	YES	YES	NO	2	READ_BOTH__NONIDENTICAL_EXACT_CARDS	EXACT_CARD_ID_DIFFERS	NO_ANTICIPATION_CLAIM	NONE__RULE_TESTED_FROM_VISIBLE_FORM_OWNER_AND_CLOSE_ONLY
4	B1-S018	B1	f81v	E159	f81v.24	b38d70daefd663d74625	B1_SHARED_TWO_ROW_POOL	NONCLOSE	E160	f81v.27	74c76d589d44120f647b	B1_SHARED_TWO_ROW_POOL	SAME_LOCAL_OWNER__NO_NEW_GEOMETRIC_CLAIM	YES	NO	YES	YES	YES	NO	2	READ_BOTH__NONIDENTICAL_EXACT_CARDS	EXACT_CARD_ID_DIFFERS	NO_ANTICIPATION_CLAIM	NONE__RULE_TESTED_FROM_VISIBLE_FORM_OWNER_AND_CLOSE_ONLY
5	B2-S004	B2	f82r	E174	f82r.2	ba8142680851f24c9ff2	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	NONCLOSE	E175	f82r.3	0275fbf14e07935b0a45	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	SAME_LOCAL_OWNER__NO_NEW_GEOMETRIC_CLAIM	YES	NO	YES	YES	YES	NO	2	READ_BOTH__NONIDENTICAL_EXACT_CARDS	EXACT_CARD_ID_DIFFERS	NO_ANTICIPATION_CLAIM	NONE__RULE_TESTED_FROM_VISIBLE_FORM_OWNER_AND_CLOSE_ONLY
6	B2-S005	B2	f82r	E180	f82r.3	b5fcea1eaed06b2f2291	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	NONCLOSE	E181	f82r.4	b5fcea1eaed06b2f2291	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	SAME_LOCAL_OWNER__NO_NEW_GEOMETRIC_CLAIM	YES	YES	YES	YES	YES	YES	1	READ_ONCE__FIRST_VISIBLE_COPY_NOT_COUNTED_AS_SECOND_SOURCE_TOKEN	NONE__ALL_FOUR_VISIBLE_CONDITIONS_PASS	LOCAL_ANTICIPATION_CARRY_OR_DITTOGRAPHY_HYPOTHESIS__NOT_ATTESTED_STANDARD_CATCHWORD	NONE__RULE_TESTED_FROM_VISIBLE_FORM_OWNER_AND_CLOSE_ONLY
7	B2-S012	B2	f82r	E202	f82r.19	0ab57b7166de99db3a55	B2_MIDDLE_RIGHT_AMBIGUOUS_STATION	NONCLOSE	E203	f82r.23	b5df9126607030b95175	B2_LOWER_GREEN_MULTI_FIGURE_POOL	BREAK_VISIBLE_GAP__RESET_SUBSTANCE_TARGET_DIRECTION	YES	NO	NO	YES	NO	NO	2	READ_BOTH__NONIDENTICAL_EXACT_CARDS	EXACT_CARD_ID_DIFFERS	NO_ANTICIPATION_CLAIM	NONE__RULE_TESTED_FROM_VISIBLE_FORM_OWNER_AND_CLOSE_ONLY
8	B2-S016	B2	f82r	E220	f82r.26	08bd5ca0c2ad137a056d	B2_LOWER_POOL_EDGE_STATIONS	NONCLOSE	E221	f82r.27	65df3cd9e59060042d47	B2_LOWER_POOL_EDGE_STATIONS	SAME_LOCAL_OWNER__NO_NEW_GEOMETRIC_CLAIM	YES	NO	YES	YES	YES	NO	2	READ_BOTH__NONIDENTICAL_EXACT_CARDS	EXACT_CARD_ID_DIFFERS	NO_ANTICIPATION_CLAIM	NONE__RULE_TESTED_FROM_VISIBLE_FORM_OWNER_AND_CLOSE_ONLY
9	B3-S016	B3	f83r	E263	f83r.11	2b7fa918d1b2f5c656e3	B3_LOWER_MARGIN_BASKET_VESSEL_STATION	NONCLOSE	E264	f83r.14	07913ef9b1fb773cd325	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	BREAK_VISIBLE_GAP__RESET_SUBSTANCE_TARGET_DIRECTION	YES	NO	NO	YES	NO	NO	2	READ_BOTH__NONIDENTICAL_EXACT_CARDS	EXACT_CARD_ID_DIFFERS	NO_ANTICIPATION_CLAIM	NONE__RULE_TESTED_FROM_VISIBLE_FORM_OWNER_AND_CLOSE_ONLY
10	B3-S021	B3	f83r	E273	f83r.14	b921a237be883a820352	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	NONCLOSE	E274	f83r.15	2f1c5e56e8f0ff459065	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	SAME_LOCAL_OWNER__NO_NEW_GEOMETRIC_CLAIM	YES	NO	YES	YES	YES	NO	2	READ_BOTH__NONIDENTICAL_EXACT_CARDS	EXACT_CARD_ID_DIFFERS	NO_ANTICIPATION_CLAIM	NONE__RULE_TESTED_FROM_VISIBLE_FORM_OWNER_AND_CLOSE_ONLY
11	B3-S026	B3	f83r	E290	f83r.16	d788d8d72d41b25a3c71	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	NONCLOSE	E291	f83r.20	3b70942557b3a40e8030	B3_MAIN_ARCH_LINKED_PAIR	BREAK_VISIBLE_GAP__RESET_SUBSTANCE_TARGET_DIRECTION	YES	NO	NO	YES	NO	NO	2	READ_BOTH__NONIDENTICAL_EXACT_CARDS	EXACT_CARD_ID_DIFFERS	NO_ANTICIPATION_CLAIM	NONE__RULE_TESTED_FROM_VISIBLE_FORM_OWNER_AND_CLOSE_ONLY
12	B3-S030	B3	f83r	E299	f83r.20	2f1c5e56e8f0ff459065	B3_MAIN_ARCH_LINKED_PAIR	NONCLOSE	E300	f83r.22	b154ff779abe5f196c80	B3_MAIN_ARCH_LINKED_PAIR	SAME_LOCAL_OWNER__NO_NEW_GEOMETRIC_CLAIM	YES	NO	YES	YES	YES	NO	2	READ_BOTH__NONIDENTICAL_EXACT_CARDS	EXACT_CARD_ID_DIFFERS	NO_ANTICIPATION_CLAIM	NONE__RULE_TESTED_FROM_VISIBLE_FORM_OWNER_AND_CLOSE_ONLY
13	B4-S003	B4	f83r	E320	f83r.25	90bcf0a9ec0ef56399e6	B4_MAIN_ARCH_LINKED_PAIR	NONCLOSE	E321	f83r.26	faf321940aed922846a9	B4_MAIN_ARCH_LINKED_PAIR	SAME_LOCAL_OWNER__NO_NEW_GEOMETRIC_CLAIM	YES	NO	YES	YES	YES	NO	2	READ_BOTH__NONIDENTICAL_EXACT_CARDS	EXACT_CARD_ID_DIFFERS	NO_ANTICIPATION_CLAIM	NONE__RULE_TESTED_FROM_VISIBLE_FORM_OWNER_AND_CLOSE_ONLY
14	B4-S011	B4	f83r	E342	f83r.35	6f7ff8287eddf4da9fdb	B4_MAIN_LEFT_OPEN_FRINGE_STATION	NONCLOSE	E343	f83r.37	dcda95c81a5460feb191	B4_MAIN_LEFT_OPEN_FRINGE_STATION	SAME_LOCAL_OWNER__NO_NEW_GEOMETRIC_CLAIM	YES	NO	YES	YES	YES	NO	2	READ_BOTH__NONIDENTICAL_EXACT_CARDS	EXACT_CARD_ID_DIFFERS	NO_ANTICIPATION_CLAIM	NONE__RULE_TESTED_FROM_VISIBLE_FORM_OWNER_AND_CLOSE_ONLY
15	B4-S015	B4	f83r	E355	f83r.39	21ed2873b71e57269c08	B4_MAIN_LEFT_OPEN_FRINGE_STATION	NONCLOSE	E356	f83r.41	42cdc187d5b9ffc60063	B4_MAIN_RIGHT_S_RUN_MULTIPORT_STATION	BREAK_VISIBLE_GAP__RESET_SUBSTANCE_TARGET_DIRECTION	YES	NO	NO	YES	NO	NO	2	READ_BOTH__NONIDENTICAL_EXACT_CARDS	EXACT_CARD_ID_DIFFERS	NO_ANTICIPATION_CLAIM	NONE__RULE_TESTED_FROM_VISIBLE_FORM_OWNER_AND_CLOSE_ONLY
16	B4-S016	B4	f83r	E359	f83r.41	dd0ecaf5e27d81befffc	B4_MAIN_RIGHT_S_RUN_MULTIPORT_STATION	NONCLOSE	E360	f83r.44	883a6708116c342cb10b	B4_MAIN_RIGHT_S_RUN_MULTIPORT_STATION	SAME_LOCAL_OWNER__NO_NEW_GEOMETRIC_CLAIM	YES	NO	YES	YES	YES	NO	2	READ_BOTH__NONIDENTICAL_EXACT_CARDS	EXACT_CARD_ID_DIFFERS	NO_ANTICIPATION_CLAIM	NONE__RULE_TESTED_FROM_VISIBLE_FORM_OWNER_AND_CLOSE_ONLY
17	B5-S003	B5	f83r	E364	f83r.47	abb23e5e6936b4147f76	B5_LEFT_OPEN_FRINGE_STATION	NONCLOSE	E365	f83r.48	dd0ecaf5e27d81befffc	B5_LEFT_OPEN_FRINGE_STATION	SAME_LOCAL_OWNER__NO_NEW_GEOMETRIC_CLAIM	YES	NO	YES	YES	YES	NO	2	READ_BOTH__NONIDENTICAL_EXACT_CARDS	EXACT_CARD_ID_DIFFERS	NO_ANTICIPATION_CLAIM	NONE__RULE_TESTED_FROM_VISIBLE_FORM_OWNER_AND_CLOSE_ONLY
18	B5-S003	B5	f83r	E369	f83r.48	2f1c5e56e8f0ff459065	B5_LEFT_OPEN_FRINGE_STATION	NONCLOSE	E370	f83r.49	dcda95c81a5460feb191	B5_LEFT_OPEN_FRINGE_STATION	SAME_LOCAL_OWNER__NO_NEW_GEOMETRIC_CLAIM	YES	NO	YES	YES	YES	NO	2	READ_BOTH__NONIDENTICAL_EXACT_CARDS	EXACT_CARD_ID_DIFFERS	NO_ANTICIPATION_CLAIM	NONE__RULE_TESTED_FROM_VISIBLE_FORM_OWNER_AND_CLOSE_ONLY
19	B6-S001	B6	f83r	E376	f83r.52	dcda95c81a5460feb191	B6_RIGHT_S_RUN_MULTIPORT_STATION	NONCLOSE	E377	f83r.54	2f1c5e56e8f0ff459065	B6_RIGHT_S_RUN_MULTIPORT_STATION	SAME_LOCAL_OWNER__NO_NEW_GEOMETRIC_CLAIM	YES	NO	YES	YES	YES	NO	2	READ_BOTH__NONIDENTICAL_EXACT_CARDS	EXACT_CARD_ID_DIFFERS	NO_ANTICIPATION_CLAIM	NONE__RULE_TESTED_FROM_VISIBLE_FORM_OWNER_AND_CLOSE_ONLY
