error_id	failure	scope	observation	status	repair_or_ceiling
E01	MASTER_EXEMPLAR_ABSENT	ALL	Concrete source content cannot be reconstructed independently.	HARD	Retain EXAMPLAR_VALUE_UNKNOWN; do not invent a word.
E02	E180_E181_DUPLICATE	B2	Two visible PER? copies precede one complement.	REPAIRED_PROVISIONALLY	Apply M07; count one source token, while preserving both visible events.
E03	OWNER_RESET_INSIDE_STATEMENT	PROSE	Four of 19 cross-line transitions change visible owner inside the selected statement.	HARD	Reset substance/target/direction; syntax may continue but referent may not.
E04	ET_VS_SILENT_LINK	PROSE	The same 19 positions admit an unspoken structural link.	UNRESOLVED	ET? remains a learned codebook-compatible convention, not an internally proven word.
E05	PER_VS_ENTRY_RESET	PROSE	The nine positions admit a formal entry or scope-reset mark.	UNRESOLVED	PER? remains provisional even if M07 is teachable.
E06	PHYSICAL_LINE_AS_SENTENCE	PROSE	Nineteen selected statement transitions cross physical loci.	REJECTED	Carry statement state across the line unless Close/statement boundary says otherwise.
E07	ASTRO_ORDER	A3_LEFT_28	Twenty-eight local places have no authorial start or direction.	HARD	Use addresses only; do not turn the wheel into an ordered 28-rule text.
E08	F68_F69_KEY	ASTRO	No visible key joins the namespaces.	HARD	Keep pages independent.
E09	CLOSE_AS_WORD	PROSE	Terminal forms are position-confounded and unattested as words.	REJECTED	Teach Close only as renderer/form state.
E10	OPAQUE_TAIL_LOAD	ALL	Most exact values must be copied or memorized occurrence by occurrence.	HARD	Call the system exemplar-learnable, not independently decipherable.
