trace_serial	trace_unit	atom_kind	forward_audit_order	backward_audit_order	audit_order_status	atom_id	page	physical_locus	field_or_slot	statement_id	exact_visible_identity	visible_owner	owner_action	literal_or_formal_layer	visible_copy_role	forward_copy_instruction	backward_formal_recovery	master_exemplar_content	concrete_semantics_without_master	source_token_count	close_status	error_guard	trace_pass_condition
1	H2	PROSE_EVENT	1	24	PHYSICAL_RECORD_ORDER	E015	f10r	f10r.6	F003	H2-S001	7249edc4df3419c26999	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	OPEN_LOCAL_OWNER_AND_CLEAR_ALL_ARGUMENTS	[EXEMPLARWERT UNBEKANNT]	OPAQUE_EXACT_CARD	Copy exact visible card at this position; obtain all concrete content from the master exemplar.	EXACT_CARD_OWNER_PLACEMENT_AND_CLOSE_ONLY	[EXEMPLAR:Nimm die jungen Spitzen mit Blütenständen und Blättern derselben unbenannten Pflanze]	NOT_RECOVERABLE	1	NONCLOSE	Concrete content is copied from the master exemplar, never reconstructed from the card.	EXACT_FORM_OWNER_CLOSE_AND_SOURCE_COUNT_RECONSTRUCTED
2	H2	PROSE_EVENT	2	23	PHYSICAL_RECORD_ORDER	E016	f10r	f10r.6	F003	H2-S001	e0b630cb1b5df5e7105b	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	KEEP_CURRENT_VISIBLE_OWNER_ONLY	[EXEMPLARWERT UNBEKANNT]	OPAQUE_EXACT_CARD	Copy exact visible card at this position; obtain all concrete content from the master exemplar.	EXACT_CARD_OWNER_PLACEMENT_AND_CLOSE_ONLY	[EXEMPLAR:Sammle sie, wenn sie sich eben öffnen]	NOT_RECOVERABLE	1	NONCLOSE	Concrete content is copied from the master exemplar, never reconstructed from the card.	EXACT_FORM_OWNER_CLOSE_AND_SOURCE_COUNT_RECONSTRUCTED
3	H2	PROSE_EVENT	3	22	PHYSICAL_RECORD_ORDER	E017	f10r	f10r.6	F003	H2-S001	7a4bb8136330ee4e6e56	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	KEEP_CURRENT_VISIBLE_OWNER_ONLY	[EXEMPLARWERT UNBEKANNT]	OPAQUE_EXACT_CARD	Copy exact visible card at this position; obtain all concrete content from the master exemplar.	EXACT_CARD_OWNER_PLACEMENT_AND_CLOSE_ONLY	[EXEMPLAR:Führe sie als frischen Ansatz]	NOT_RECOVERABLE	1	NONCLOSE	Concrete content is copied from the master exemplar, never reconstructed from the card.	EXACT_FORM_OWNER_CLOSE_AND_SOURCE_COUNT_RECONSTRUCTED
4	H2	PROSE_EVENT	4	21	PHYSICAL_RECORD_ORDER	E018	f10r	f10r.6	F003	H2-S001	f3c23f42baf625639e1e	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	KEEP_CURRENT_VISIBLE_OWNER_ONLY	[EXEMPLARWERT UNBEKANNT]	OPAQUE_EXACT_CARD	Copy exact visible card at this position; obtain all concrete content from the master exemplar.	EXACT_CARD_OWNER_PLACEMENT_AND_CLOSE_ONLY	[EXEMPLAR:Zerstoße das Kraut]	NOT_RECOVERABLE	1	NONCLOSE	Concrete content is copied from the master exemplar, never reconstructed from the card.	EXACT_FORM_OWNER_CLOSE_AND_SOURCE_COUNT_RECONSTRUCTED
5	H2	PROSE_EVENT	5	20	PHYSICAL_RECORD_ORDER	E019	f10r	f10r.6	F003	H2-S001	af816c04e65874a0f2fa	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	KEEP_CURRENT_VISIBLE_OWNER_ONLY	[EXEMPLARWERT UNBEKANNT]	OPAQUE_EXACT_CARD	Copy exact visible card at this position; obtain all concrete content from the master exemplar.	EXACT_CARD_OWNER_PLACEMENT_AND_CLOSE_ONLY	[EXEMPLAR:Presse den Saft durch ein Tuch]	NOT_RECOVERABLE	1	NONCLOSE	Concrete content is copied from the master exemplar, never reconstructed from the card.	EXACT_FORM_OWNER_CLOSE_AND_SOURCE_COUNT_RECONSTRUCTED
6	H2	PROSE_EVENT	6	19	PHYSICAL_RECORD_ORDER	E020	f10r	f10r.6	F003	H2-S001	b921a237be883a820352	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	KEEP_CURRENT_VISIBLE_OWNER_ONLY	[EXEMPLARWERT UNBEKANNT]	OPAQUE_EXACT_CARD	Copy exact visible card at this position; obtain all concrete content from the master exemplar.	EXACT_CARD_OWNER_PLACEMENT_AND_CLOSE_ONLY	[EXEMPLAR:Fange die erste Fraktion auf]	NOT_RECOVERABLE	1	NONCLOSE	Concrete content is copied from the master exemplar, never reconstructed from the card.	EXACT_FORM_OWNER_CLOSE_AND_SOURCE_COUNT_RECONSTRUCTED
7	H2	PROSE_EVENT	7	18	PHYSICAL_RECORD_ORDER	E021	f10r	f10r.6	F003	H2-S001	b921a237be883a820352	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	KEEP_CURRENT_VISIBLE_OWNER_ONLY	[EXEMPLARWERT UNBEKANNT]	OPAQUE_EXACT_CARD	Copy exact visible card at this position; obtain all concrete content from the master exemplar.	EXACT_CARD_OWNER_PLACEMENT_AND_CLOSE_ONLY	[EXEMPLAR:Gib Olivenöl hinzu]	NOT_RECOVERABLE	1	NONCLOSE	Concrete content is copied from the master exemplar, never reconstructed from the card.	EXACT_FORM_OWNER_CLOSE_AND_SOURCE_COUNT_RECONSTRUCTED
8	H2	PROSE_EVENT	8	17	PHYSICAL_RECORD_ORDER	E022	f10r	f10r.6	F003	H2-S001	2f1c5e56e8f0ff459065	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	KEEP_CURRENT_VISIBLE_OWNER_ONLY	[FORMAL:VORGABEPARAMETER?; KEIN WORT]	FORMAL_NONWORD_PROMPT	Copy exact visible card at this position; obtain all concrete content from the master exemplar.	[FORMAL:VORGABEPARAMETER?; KEIN WORT]	[EXEMPLAR:Nimm das örtlich vorgeschriebene Maß]	NOT_RECOVERABLE	1	NONCLOSE	Formal prompt is not spoken or promoted to a portable word.	EXACT_FORM_OWNER_CLOSE_AND_SOURCE_COUNT_RECONSTRUCTED
9	H2	PROSE_EVENT	9	16	PHYSICAL_RECORD_ORDER	E023	f10r	f10r.6	F003	H2-S001	b921a237be883a820352	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	KEEP_CURRENT_VISIBLE_OWNER_ONLY	[EXEMPLARWERT UNBEKANNT]	OPAQUE_EXACT_CARD	Copy exact visible card at this position; obtain all concrete content from the master exemplar.	EXACT_CARD_OWNER_PLACEMENT_AND_CLOSE_ONLY	[EXEMPLAR:Erwärme gelinde]	NOT_RECOVERABLE	1	NONCLOSE	Concrete content is copied from the master exemplar, never reconstructed from the card.	EXACT_FORM_OWNER_CLOSE_AND_SOURCE_COUNT_RECONSTRUCTED
10	H2	PROSE_EVENT	10	15	PHYSICAL_RECORD_ORDER	E024	f10r	f10r.8	F004	H2-S002	10488b911aae52b3b334	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	KEEP_CURRENT_VISIBLE_OWNER_ONLY	[EXEMPLARWERT UNBEKANNT]	OPAQUE_EXACT_CARD	Copy exact visible card at this position; obtain all concrete content from the master exemplar.	EXACT_CARD_OWNER_PLACEMENT_AND_CLOSE_ONLY	[EXEMPLAR:Nimm vor voller Blüte eine zweite Portion der Spitzen]	NOT_RECOVERABLE	1	NONCLOSE	Concrete content is copied from the master exemplar, never reconstructed from the card.	EXACT_FORM_OWNER_CLOSE_AND_SOURCE_COUNT_RECONSTRUCTED
