trace_id	unit_id	visible_owner_or_namespace	visible_item_count	logical_item_count_after_read_once	taught_word_candidates	formal_nonword_events	direction	master_exemplar_access	input_layer	reconstructed_output	exact_form_recovery	concrete_content_recovery	line_carry_handling	decisive_error_or_limit
T01	H2	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	24	24	ET=2;PER_VISIBLE=0	2	FORWARD	WITH_MASTER_EXEMPLAR	owner+source expansion+master card ledger	7249edc4df3419c26999>e0b630cb1b5df5e7105b>7a4bb8136330ee4e6e56>f3c23f42baf625639e1e>af816c04e65874a0f2fa>b921a237be883a820352>b921a237be883a820352>2f1c5e56e8f0ff459065>b921a237be883a820352>10488b911aae52b3b334>7a4bb8136330ee4e6e56>497cbd9c7401810ff56b>dcda95c81a5460feb191>dec401773c1f0347793d>dcda95c81a5460feb191>2f1c5e56e8f0ff459065>4d4559019a961b834aa1>27d97af8c96eb056c2e6>7a4bb8136330ee4e6e56>7a4bb8136330ee4e6e56>b921a237be883a820352>409de02322e7b2ca0c62>b921a237be883a820352>834825c61d048a6b5628	COMPLETE	COMPLETE_BY_LOOKUP	NO_MATCH_IN_UNIT	The apprentice copies, does not derive, the opaque sequence.
T02	H2	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	24	24	ET=2;PER_VISIBLE=0	2	BACKWARD	WITH_MASTER_EXEMPLAR	visible card sequence+owner+master card ledger	[EXEMPLAR:Nimm die jungen Spitzen mit Blütenständen und Blättern derselben unbenannten Pflanze] [EXEMPLAR:Sammle sie, wenn sie sich eben öffnen] [EXEMPLAR:Führe sie als frischen Ansatz] [EXEMPLAR:Zerstoße das Kraut] [EXEMPLAR:Presse den Saft durch ein Tuch] [EXEMPLAR:Fange die erste Fraktion auf] [EXEMPLAR:Gib Olivenöl hinzu] [EXEMPLAR:Nimm das örtlich vorgeschriebene Maß] [EXEMPLAR:Erwärme gelinde] [EXEMPLAR:Nimm vor voller Blüte eine zweite Portion der Spitzen] [EXEMPLAR:Führe den ersten Ansatz weiter] [EXEMPLAR:Nimm eine Handvoll] ET? (UND/AUCH?) [EXEMPLAR:Nimm den vorherigen Posten hinzu] ET? (UND/AUCH?) [EXEMPLAR:Gib von beiden das gleiche örtliche Maß] [EXEMPLAR:Vereinige die beiden Fraktionen] [EXEMPLAR:Gib sie in ein glasiertes Gefäß] [EXEMPLAR:Führe die Mischung als Salbenansatz] [EXEMPLAR:Der wiederholte Ansatzvermerk bestätigt hier denselben Salbenposten] [EXEMPLAR:Rühre bei kleinem Feuer] [EXEMPLAR:Bis eine weiche Salbe entsteht] [EXEMPLAR:Bewahre sie bedeckt] [EXEMPLAR:Lege sie äußerlich auf ein Geschwür oder eine harte Schwellung]	COMPLETE	COMPLETE_BY_LOOKUP	NO_MATCH_IN_UNIT	The ledger supplies every bracketed source expansion.
T03	H2	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	24	24	ET=2;PER_VISIBLE=0	2	FORWARD	WITHOUT_MASTER_EXEMPLAR	owner+intended source expansion only	ET?/PER?/formal channel positions cannot determine the remaining opaque cards	INCOMPLETE	ZERO_INDEPENDENT_CONCRETE_CONTENT	NO_MATCH_IN_UNIT	Opaque card selection is underdetermined.
T04	H2	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	24	24	ET=2;PER_VISIBLE=0	2	BACKWARD	WITHOUT_MASTER_EXEMPLAR	visible card sequence+owner only	ET?=2; PER?=0; formal nonwords=2; other values UNKNOWN	VISIBLE_FORM_ONLY	ZERO_INDEPENDENT_CONCRETE_CONTENT	NO_MATCH_IN_UNIT	Formal skeleton survives; source content does not.
T05	B2	FIVE_LOCAL_F82R_STATIONS_WITH_RESETS	62	61	ET=0;PER_VISIBLE=3	4	FORWARD	WITH_MASTER_EXEMPLAR	owner+source expansion+master card ledger	259b2b3b0bf859882e2c>28ffbc88b97772a75f1e>1645e612504fcef59ced>b921a237be883a820352>7d25241b0e56c836372a>308e8ea2d5d190c498e8>f329f2051370174e9a38>ba8142680851f24c9ff2>0275fbf14e07935b0a45>c1db6b0a28d5cbb5d3d2>4a7a6326ac95a8809302>2d2e37ccb2dacc53ee5a>2cc8bb3c2af19607888f>b5fcea1eaed06b2f2291>b5fcea1eaed06b2f2291>a8f891de626fc00028e9>f0db6d30cd34f4cb2a4d>04a3877f0fc81b7597c9>5d5e0b288cf36864ed9d>308e8ea2d5d190c498e8>c1913ec4ff84148da6d3>276a7c2d74d1143446f4>cbb42a4fe68068325d6b>54d0e228ca346110af05>3ae9a121ba0045b913e8>bc4f1f5c006c74a4d26d>daa1347f456415fe8737>0275fbf14e07935b0a45>276a7c2d74d1143446f4>5eff216ba51fbfb21f22>b5df9126607030b95175>1645e612504fcef59ced>4d4559019a961b834aa1>1645e612504fcef59ced>7d25241b0e56c836372a>0ab57b7166de99db3a55>b5df9126607030b95175>6b89d6dd70635bc60fe0>0275fbf14e07935b0a45>5fca8fc3dee57e1d8c1f>2f1c5e56e8f0ff459065>b921a237be883a820352>d25110e0d8488927278f>de7321bface5628e35d6>29e0eb222ef2fb99523a>d4a31dbcf1ed6d9e5aa9>7d25241b0e56c836372a>dd0ecaf5e27d81befffc>0f15effeca7ab10bb026>db729b598e89e11452e0>2f1c5e56e8f0ff459065>5d5e0b288cf36864ed9d>b5fcea1eaed06b2f2291>08bd5ca0c2ad137a056d>65df3cd9e59060042d47>98bdc4244c84cbef3321>78b3b3140714da19090d>7d25241b0e56c836372a>7f68f60279efe6b28cd7>ff178343c18e287ce3b7>7d25241b0e56c836372a>f2af6326898fb5b490a4	COMPLETE	COMPLETE_BY_LOOKUP	E180/E181_READ_ONCE_BY_GENERIC_RULE	The apprentice copies, does not derive, the opaque sequence.
T06	B2	FIVE_LOCAL_F82R_STATIONS_WITH_RESETS	62	61	ET=0;PER_VISIBLE=3	4	BACKWARD	WITH_MASTER_EXEMPLAR	visible card sequence+owner+master card ledger	[EXEMPLAR:Spüle das benutzte Gefäß oder den Lauf einmal aus und beende den Schritt] [EXEMPLAR:Stelle die Mischung im bedeckten Auffanggefäß beiseite und beende den Schritt] [EXEMPLAR:Gib einen abgemessenen Anteil in das Gefäß] [EXEMPLAR:Diese aktive Portion] [EXEMPLAR:Lasse die Badende im temperierten Teilbad sitzen und beende den Schritt] [EXEMPLAR:Den aktiven Posten an der örtlich bezeichneten Station führen] [EXEMPLAR:Die zweite Öffnung] [EXEMPLAR:Und gehe zum nächsten Becken weiter] [EXEMPLAR:Die Charge für den vorgesehenen Gebrauch temperieren] [EXEMPLAR:Seihe es klar und beende den Schritt] [EXEMPLAR:Fahre am zweiten Lauf fort] [EXEMPLAR:Durch ein Tuch] [EXEMPLAR:Durch die verbundenen Läufe] [KUSTODE:PER?; AM NAECHSTEN ZEILENANFANG WIEDERHOLT; NICHT DOPPELT SPRECHEN] PER? (DURCH/GEMÄSS?) [EXEMPLAR:dieselbe örtliche Einstellung] [EXEMPLAR:Das breite Gefäß] [EXEMPLAR:Ziehe es ab und beende den Schritt] [EXEMPLAR:Der vorbereitete Bade- oder Waschzusatz] [EXEMPLAR:Den aktiven Posten an der örtlich bezeichneten Station führen] [EXEMPLAR:Über der örtlich bezeichneten Stelle] [EXEMPLAR:Die Badeflüssigkeit am bezeichneten Körper- oder Teilbadbereich gebrauchen] [EXEMPLAR:Gib sauberes Wasser hinzu und beende den Schritt] [EXEMPLAR:Für dieselbe Dauer wie zuvor] [EXEMPLAR:Über der örtlich bezeichneten Stelle] [EXEMPLAR:Lasse es bis zur Bereitschaft stehen und beende den Schritt] [EXEMPLAR:Halte es warm und beende den Schritt] [EXEMPLAR:Die Charge für den vorgesehenen Gebrauch temperieren] [EXEMPLAR:Die Badeflüssigkeit am bezeichneten Körper- oder Teilbadbereich gebrauchen] [EXEMPLAR:Die erste Öffnung] [EXEMPLAR:Den örtlichen Prüfzustand der Charge feststellen] [EXEMPLAR:Gib einen abgemessenen Anteil in das Gefäß] [EXEMPLAR:Daraus, aus demselben Ansatz] [EXEMPLAR:Gib einen abgemessenen Anteil in das Gefäß] [EXEMPLAR:Lasse die Badende im temperierten Teilbad sitzen und beende den Schritt] [EXEMPLAR:Ziehe die klare Flüssigkeit ab] [EXEMPLAR:Den örtlichen Prüfzustand der Charge feststellen] [EXEMPLAR:Unter derselben Einstellung] [EXEMPLAR:Die Charge für den vorgesehenen Gebrauch temperieren] [EXEMPLAR:Der benetzte Körperbereich] [EXEMPLAR:Den aktiven Posten nach der örtlichen Vorschrift bemessen] [EXEMPLAR:Diese aktive Portion] [EXEMPLAR:Benetze den bezeichneten Körperbereich vollständig und beende den Schritt] [EXEMPLAR:Die verbrauchte Flüssigkeit zum Auffang- oder Auslassbereich abführen] [EXEMPLAR:Schließe den unteren Ablauf] [EXEMPLAR:Beginne die Spülung] [EXEMPLAR:Lasse die Badende im temperierten Teilbad sitzen und beende den Schritt] [EXEMPLAR:Den aktiven Posten an der örtlich bezeichneten Station führen] [EXEMPLAR:Kühles Wasser] [EXEMPLAR:Zu gleichen Anteilen] [EXEMPLAR:Den aktiven Posten nach der örtlichen Vorschrift bemessen] [EXEMPLAR:Der vorbereitete Bade- oder Waschzusatz] PER? (DURCH/GEMÄSS?) [EXEMPLAR:warmes Wasser] [EXEMPLAR:Ziehe es ab und beende den Schritt] [EXEMPLAR:Gieße das erwärmte Wasser ein] [EXEMPLAR:Wiederhole es an der zweiten Öffnung und beende den Schritt] [EXEMPLAR:Lasse die Badende im temperierten Teilbad sitzen und beende den Schritt] [EXEMPLAR:Verwende den Anteil als örtliche Waschung und beende den Schritt] [EXEMPLAR:Lege ein warmes Tuch auf die bezeichnete äußere Stelle und beende den Schritt] [EXEMPLAR:Lasse die Badende im temperierten Teilbad sitzen und beende den Schritt] [EXEMPLAR:Mische zu gleichen Teilen und beende den Schritt]	COMPLETE	COMPLETE_BY_LOOKUP	E180/E181_READ_ONCE_BY_GENERIC_RULE	The ledger supplies every bracketed source expansion.
T07	B2	FIVE_LOCAL_F82R_STATIONS_WITH_RESETS	62	61	ET=0;PER_VISIBLE=3	4	FORWARD	WITHOUT_MASTER_EXEMPLAR	owner+intended source expansion only	ET?/PER?/formal channel positions cannot determine the remaining opaque cards	INCOMPLETE	ZERO_INDEPENDENT_CONCRETE_CONTENT	E180/E181_READ_ONCE_BY_GENERIC_RULE	Opaque card selection is underdetermined.
T08	B2	FIVE_LOCAL_F82R_STATIONS_WITH_RESETS	62	61	ET=0;PER_VISIBLE=3	4	BACKWARD	WITHOUT_MASTER_EXEMPLAR	visible card sequence+owner only	ET?=0; PER?=3; formal nonwords=4; other values UNKNOWN	VISIBLE_FORM_ONLY	ZERO_INDEPENDENT_CONCRETE_CONTENT	E180/E181_READ_ONCE_BY_GENERIC_RULE	Formal skeleton survives; source content does not.
T09	A3_LEFT_28	A3_LEFT_WHEEL_ONLY	33	33	ET=0;PER_VISIBLE=0	0	FORWARD	WITH_MASTER_EXEMPLAR	left-wheel geometry+28 local exemplar labels	A3:G108|A3:G109>A3:G110|A3:G111>A3:G112>A3:G113>A3:G114>A3:G115>A3:G116>A3:G117>A3:G118>A3:G119>A3:G120>A3:G121>A3:G122>A3:G123>A3:G124>A3:G125>A3:G126>A3:G127>A3:G128>A3:G129>A3:G130>A3:G131|A3:G132>A3:G133|A3:G134>A3:G135>A3:G136>A3:G137>A3:G138>A3:G139|A3:G140	COMPLETE	LOCAL_LABELS_COMPLETE_BY_LOOKUP	NOT_APPLICABLE	Start and direction remain editorial, not recovered.
T10	A3_LEFT_28	A3_LEFT_WHEEL_ONLY	33	33	ET=0;PER_VISIBLE=0	0	BACKWARD	WITH_MASTER_EXEMPLAR	28 visible local labels+master atlas	28 distinct local slot entries; no ordered rule sequence	COMPLETE	LOCAL_LABELS_COMPLETE_BY_LOOKUP	NOT_APPLICABLE	No external celestial names are licensed.
