audit_id	audit_family	scope	opportunities	successes	failures	metric	result	failure_examples	dependency	interpretation
A01	EDGE_COPY_CLASSIFIER	19 statement-internal line transitions	19	19	0	TP=1;FP=0;FN=0;TN=18;precision=1.000;recall=1.000;specificity=1.000	FROZEN_VISIBLE_RULE_REPRODUCES_V78_LABELS	NONE	V78 gold is an editorial repair, not external historical truth	apprentice needs no locus exception; this validates mechanics only
A02	PROSE_FORMAL_ROUNDTRIP_WITH_MASTER	H2+H4+B2	104	104	0	exact visible cards/layout/owners=104/104	PASS	NONE	exact code sheet + physical layout + master exemplar	master content does not improve the already exact formal roundtrip
A03	PROSE_FORMAL_ROUNDTRIP_WITHOUT_MASTER	H2+H4+B2	104	104	0	exact visible cards/layout/owners=104/104	PASS	NONE	exact code sheet + physical layout remain available	formal copying does not require content recovery
A04	PROSE_EXEMPLAR_RECOVERY_WITH_MASTER	H2+H4+B2 independent source positions	103	103	0	selected expansion lookup=103/103	LOOKUP_PASS	NONE	the selected V78 master exemplar is supplied	lookup reproduction, not semantic inference
A05	PROSE_SEMANTIC_RECOVERY_WITHOUT_MASTER	H2+H4+B2 independent source positions	103	0	103	concrete source content=0/103	FAIL_BY_DESIGN	every content-bearing exemplar slot	no external exemplar	ET?/PER? and formal channels do not recover the bracketed content
A06	STATEMENT_AND_FIELD_ROUNDTRIP	H2+H4+B2	62	62	0	statements=29/29;fields=33/33	PASS	NONE	frozen statement/line layout	physical lines remain distinct from statements
A07	B2_OWNER_RESET	B2	4	4	0	E189|E198|E203|E212 detected; false resets=0	PASS	NONE	visible owner ledger	no global substance or direction crosses station gaps
A08	ASTRO_FORMAL_ROUNDTRIP_WITH_MASTER	f69v left 28 slots	33	33	0	opaque groups=33/33 at 28/28 direct slots	PASS	NONE	local namespace + exact group code sheet	no start, direction, rotation or celestial identity recovered
A09	ASTRO_FORMAL_ROUNDTRIP_WITHOUT_MASTER	f69v left 28 slots	33	33	0	opaque groups=33/33 at 28/28 direct slots	PASS	NONE	local namespace + exact group code sheet	formal lookup is exemplar-independent
A10	ASTRO_EXEMPLAR_RECOVERY_WITH_MASTER	f69v left 28 slots	28	28	0	selected local labels lookup=28/28	LOOKUP_PASS	NONE	selected V75 exemplar supplied	labels are retrieved, not decoded
A11	ASTRO_SEMANTIC_RECOVERY_WITHOUT_MASTER	f69v left 28 slots	28	0	28	celestial identities/order=0/28	FAIL_BY_DESIGN	L01..L28 all retain opaque local values	no external anchor	editorial addresses do not become Moon stations or calendar names
A12	ET_WORD_VS_SILENT_LINK	all 19 V78 ET? occurrences	19	19	0	spoken ET? formal coverage=19/19; silent LINK/SLOT formal coverage=19/19	TIE__NO_SEMANTIC_DISCRIMINATION	NONE	no independent semantic endpoint	state machine cannot choose word over silent formal link
A13	PER_WORD_VS_ENTRY_RESET	all 9 visible V78 PER? occurrences	9	9	0	word route=8 source tokens after one edge copy; formal ENTRY/RESET=9 visible marks without collapse	WORD_ROUTE_MECHANICALLY_REPAIRED__FORMAL_RIVAL_SIMPLER_OR_TIED	word route depends on edge-copy convention at E180/E181	physical line layout; no locus exception	successful copying repair does not establish PER semantics
