error_id	scope	failure	why_it_matters	repair_or_decision	severity_0_4
ERR01	CARRY	Only one positive transition exists.	A perfect 1/19 audit can still be an accidental duplicated form.	Retain mechanical rule, do not promote semantics.	3
ERR02	PER	E180/E181 are two visible copies but one proposed source token.	Independent-word reading gives PER PER before one complement.	Retain PER on probation because the locus-free rule returns TP1/FP0/FN0; formal-entry/dittography rival remains.	4
ERR03	ET	Exact additive reading is executable but a silent formal link fits the same positions.	Backward form recovery cannot decide lexical word versus nonlexical link.	Retain ET? provisionally; do not promote or add senses.	3
ERR04	FORMAL	A learner may restore old MASS or target glosses.	The two cards are explicitly nonwords in V78.	Correct every such reading to [FORMAL; KEIN WORT].	4
ERR05	H2	Oil, fraction, preparation and external use can be copied only from the exemplar.	The cards alone do not recover those contents.	Score exact card/boundary PASS but semantic-without-exemplar FAIL/UNKNOWN.	3
ERR06	B2_OWNER	Four visible B2 gaps reset local owner state.	Carrying substance or direction across E189, E198, E203, or E212 invents a process.	Reset substance, target and direction at each break.	4
ERR07	LINE	Physical line ends are not sentence ends.	E180/E181 and 18 other transitions remain inside one statement.	Recover statements from the frozen statement boundary, not line layout.	3
ERR08	ASTRO	L01-L28 are editorial addresses, not an authorial cycle.	No visible start, rank, direction or name is established.	Recover 28 local buckets only.	4
ERR09	ASTRO_NAMESPACE	The three f69v wheels are disconnected.	Moving a value from the left 28-slot wheel to middle/right creates an unsupported key.	Keep every group in A3_LEFT_WHEEL_ONLY.	4
ERR10	SEMANTICS	With-exemplar recovery is rote copying, not inference.	Removing the exemplar destroys concrete content while exact identities remain.	Report semantic recovery with and without exemplar separately.	4
