transition_id	statement_id	record_unit_id	page	from_locus	to_locus	line_final_event	line_initial_event	line_final_exact_card	line_initial_exact_card	same_exact_card	same_statement	line_final_owner	line_initial_owner	same_visible_owner	line_final_terminal_status	no_close_between	rule_prediction	frozen_v78_gold	classification	read_action	visible_occurrences	source_tokens_after_rule	et_per_effect	locus_specific_exception	interpretation_ceiling
LT01	H5-S001	H5	f56r	f56r.5	f56r.7	E077	E078	2f1c5e56e8f0ff459065	2cc054357a929df85f64	NO	YES	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	YES	NONCLOSE	YES	NO_COPY	NO_COPY	TN	READ_BOTH_BOUNDARY_EVENTS_INDEPENDENTLY	2	2	NONE	NO	VISIBLE_EDGE_COPY_CLASSIFICATION_NOT_WORD_MEANING
LT02	B1-S002	B1	f81v	f81v.2	f81v.7	E112	E113	0f18de177ed7c878bf95	dec401773c1f0347793d	NO	YES	B1_SHARED_TWO_ROW_POOL	B1_SHARED_TWO_ROW_POOL	YES	NONCLOSE	YES	NO_COPY	NO_COPY	TN	READ_BOTH_BOUNDARY_EVENTS_INDEPENDENTLY	2	2	NONE	NO	VISIBLE_EDGE_COPY_CLASSIFICATION_NOT_WORD_MEANING
LT03	B1-S003	B1	f81v	f81v.7	f81v.17	E121	E122	dcda95c81a5460feb191	54e32e9c1414b20640e9	NO	YES	B1_SHARED_TWO_ROW_POOL	B1_SHARED_TWO_ROW_POOL	YES	NONCLOSE	YES	NO_COPY	NO_COPY	TN	READ_BOTH_BOUNDARY_EVENTS_INDEPENDENTLY	2	2	ET?_BOUNDARY_WITH_DIFFERENT_NEIGHBOUR__NO_COLLAPSE	NO	VISIBLE_EDGE_COPY_CLASSIFICATION_NOT_WORD_MEANING
LT04	B1-S018	B1	f81v	f81v.24	f81v.27	E159	E160	b38d70daefd663d74625	74c76d589d44120f647b	NO	YES	B1_SHARED_TWO_ROW_POOL	B1_SHARED_TWO_ROW_POOL	YES	NONCLOSE	YES	NO_COPY	NO_COPY	TN	READ_BOTH_BOUNDARY_EVENTS_INDEPENDENTLY	2	2	NONE	NO	VISIBLE_EDGE_COPY_CLASSIFICATION_NOT_WORD_MEANING
LT05	B2-S004	B2	f82r	f82r.2	f82r.3	E174	E175	ba8142680851f24c9ff2	0275fbf14e07935b0a45	NO	YES	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	YES	NONCLOSE	YES	NO_COPY	NO_COPY	TN	READ_BOTH_BOUNDARY_EVENTS_INDEPENDENTLY	2	2	NONE	NO	VISIBLE_EDGE_COPY_CLASSIFICATION_NOT_WORD_MEANING
LT06	B2-S005	B2	f82r	f82r.3	f82r.4	E180	E181	b5fcea1eaed06b2f2291	b5fcea1eaed06b2f2291	YES	YES	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	YES	NONCLOSE	YES	ANTICIPATORY_MARGIN_COPY	ANTICIPATORY_MARGIN_COPY	TP	E180=ANTICIPATORY_MARGIN_COPY__NO_SOURCE_EMIT;E181=MAIN_OCCURRENCE__READ_ONCE	2	1	PER?_DOUBLE_VISIBLE__ONE_SOURCE_TOKEN	NO	VISIBLE_EDGE_COPY_CLASSIFICATION_NOT_WORD_MEANING
LT07	B2-S012	B2	f82r	f82r.19	f82r.23	E202	E203	0ab57b7166de99db3a55	b5df9126607030b95175	NO	YES	B2_MIDDLE_RIGHT_AMBIGUOUS_STATION	B2_LOWER_GREEN_MULTI_FIGURE_POOL	NO	NONCLOSE	YES	NO_COPY	NO_COPY	TN	READ_BOTH_BOUNDARY_EVENTS_INDEPENDENTLY	2	2	NONE	NO	VISIBLE_EDGE_COPY_CLASSIFICATION_NOT_WORD_MEANING
LT08	B2-S016	B2	f82r	f82r.26	f82r.27	E220	E221	08bd5ca0c2ad137a056d	65df3cd9e59060042d47	NO	YES	B2_LOWER_POOL_EDGE_STATIONS	B2_LOWER_POOL_EDGE_STATIONS	YES	NONCLOSE	YES	NO_COPY	NO_COPY	TN	READ_BOTH_BOUNDARY_EVENTS_INDEPENDENTLY	2	2	NONE	NO	VISIBLE_EDGE_COPY_CLASSIFICATION_NOT_WORD_MEANING
LT09	B3-S016	B3	f83r	f83r.11	f83r.14	E263	E264	2b7fa918d1b2f5c656e3	07913ef9b1fb773cd325	NO	YES	B3_LOWER_MARGIN_BASKET_VESSEL_STATION	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	NO	NONCLOSE	YES	NO_COPY	NO_COPY	TN	READ_BOTH_BOUNDARY_EVENTS_INDEPENDENTLY	2	2	NONE	NO	VISIBLE_EDGE_COPY_CLASSIFICATION_NOT_WORD_MEANING
LT10	B3-S021	B3	f83r	f83r.14	f83r.15	E273	E274	b921a237be883a820352	2f1c5e56e8f0ff459065	NO	YES	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	YES	NONCLOSE	YES	NO_COPY	NO_COPY	TN	READ_BOTH_BOUNDARY_EVENTS_INDEPENDENTLY	2	2	NONE	NO	VISIBLE_EDGE_COPY_CLASSIFICATION_NOT_WORD_MEANING
