owner_de	card_no	owner_default_surface	events	event_ids	observed_surfaces	owner_card_conflict	copy_rule_de
abgebildete breit gezähnte radialblütige Pflanze	PROC008	oky	1	E008	oky	NO	Bei diesem sichtbaren Besitzer diese Kartenoberfläche statt der globalen Form verwenden.
abgebildete breit gezähnte radialblütige Pflanze	PROC011	qokchy	1	E011	qokchy	NO	Bei diesem sichtbaren Besitzer diese Kartenoberfläche statt der globalen Form verwenden.
abgebildete breit gezähnte radialblütige Pflanze	PROC019	dy	3	E020,E023,E037	dy|shy	YES	Bei diesem sichtbaren Besitzer diese Kartenoberfläche statt der globalen Form verwenden.
abgebildete breit gezähnte radialblütige Pflanze	PROC009	taiin	1	E022	taiin	NO	Bei diesem sichtbaren Besitzer diese Kartenoberfläche statt der globalen Form verwenden.
abgebildete breit gezähnte radialblütige Pflanze	PROC020	qotchor	1	E024	qotchor	NO	Bei diesem sichtbaren Besitzer diese Kartenoberfläche statt der globalen Form verwenden.
abgebildete breit gezähnte radialblütige Pflanze	PROC022	cholor	1	E028	cholor	NO	Bei diesem sichtbaren Besitzer diese Kartenoberfläche statt der globalen Form verwenden.
abgebildete breit gezähnte radialblütige Pflanze	PROC016	shor	1	E033	shor	NO	Bei diesem sichtbaren Besitzer diese Kartenoberfläche statt der globalen Form verwenden.
abgebildete dicht blau blühende Kronenpflanze	PROC019	dy	2	E050,E055	dy	NO	Bei diesem sichtbaren Besitzer diese Kartenoberfläche statt der globalen Form verwenden.
abgebildete breitblättrige rispige Pflanze	PROC009	chaiin	2	E057,E068	chaiin|aiin	YES	Bei diesem sichtbaren Besitzer diese Kartenoberfläche statt der globalen Form verwenden.
abgebildete breitblättrige rispige Pflanze	PROC048	okal	1	E069	okal	NO	Bei diesem sichtbaren Besitzer diese Kartenoberfläche statt der globalen Form verwenden.
abgebildete breitblättrige rispige Pflanze	PROC019	y	1	E072	y	NO	Bei diesem sichtbaren Besitzer diese Kartenoberfläche statt der globalen Form verwenden.
abgebildete mehrköpfige stachelige Pflanze	PROC034	schol	1	E083	schol	NO	Bei diesem sichtbaren Besitzer diese Kartenoberfläche statt der globalen Form verwenden.
abgebildete mehrköpfige stachelige Pflanze	PROC011	chokchy	1	E095	chokchy	NO	Bei diesem sichtbaren Besitzer diese Kartenoberfläche statt der globalen Form verwenden.
gemeinsame zweireihige Figuren-/Beckenstation	PROC038	okaiin	1	E102	okaiin	NO	Bei diesem sichtbaren Besitzer diese Kartenoberfläche statt der globalen Form verwenden.
gemeinsame zweireihige Figuren-/Beckenstation	PROC048	okal	1	E104	okal	NO	Bei diesem sichtbaren Besitzer diese Kartenoberfläche statt der globalen Form verwenden.
gemeinsame zweireihige Figuren-/Beckenstation	PROC003	sar	1	E105	sar	NO	Bei diesem sichtbaren Besitzer diese Kartenoberfläche statt der globalen Form verwenden.
gemeinsame zweireihige Figuren-/Beckenstation	PROC055	al	3	E109,E156,E166	al|sal|chal	YES	Bei diesem sichtbaren Besitzer diese Kartenoberfläche statt der globalen Form verwenden.
gemeinsame zweireihige Figuren-/Beckenstation	PROC013	qol	3	E121,E148,E154	qol	NO	Bei diesem sichtbaren Besitzer diese Kartenoberfläche statt der globalen Form verwenden.
gemeinsame zweireihige Figuren-/Beckenstation	PROC075	shckhy	1	E128	shckhy	NO	Bei diesem sichtbaren Besitzer diese Kartenoberfläche statt der globalen Form verwenden.
gemeinsame zweireihige Figuren-/Beckenstation	PROC085	qokey	1	E142	qokey	NO	Bei diesem sichtbaren Besitzer diese Kartenoberfläche statt der globalen Form verwenden.
gemeinsame zweireihige Figuren-/Beckenstation	PROC092	okeey	1	E153	okeey	NO	Bei diesem sichtbaren Besitzer diese Kartenoberfläche statt der globalen Form verwenden.
gemeinsame zweireihige Figuren-/Beckenstation	PROC078	cheedy	2	E155,E163	cheedy|tedy	YES	Bei diesem sichtbaren Besitzer diese Kartenoberfläche statt der globalen Form verwenden.
