surface	learned_card_id	component_recipe	workshop_learned_value_de	image_register_value_de	events	physical_pages	channel_class	surface_role
dy	P942-K01	Y	DIESER POSTEN	dieser Bildplatz	37	f10r|f11r|f13r|f56r|f67r2|f69v|f70v|f75r|f81v|f82r	BICHANNEL	PRIMARY_FORM
chey	P942-K01	Y	DIESER POSTEN	dieser Bildplatz	29	f55v|f56r|f69v|f75r|f81v|f82r|f83r|f88r	BICHANNEL	POSITION_OR_HAND_VARIANT
y	P942-K01	Y	DIESER POSTEN	dieser Bildplatz	23	f10r|f11r|f13r|f55v|f56r|f67r2|f69v|f81v	BICHANNEL	POSITION_OR_HAND_VARIANT
chy	P942-K01	Y	DIESER POSTEN	dieser Bildplatz	15	f10r|f11r|f56r|f67r2|f69v|f70v|f75r|f81v|f88r	BICHANNEL	POSITION_OR_HAND_VARIANT
shy	P942-K01	Y	DIESER POSTEN	dieser Bildplatz	8	f10r|f13r|f56r|f75r|f83r|f88r	PROSE_ONLY	POSITION_OR_HAND_VARIANT
sy	P942-K01	Y	DIESER POSTEN	dieser Bildplatz	4	f67r2|f75r|f83r	PROSE_ONLY	POSITION_OR_HAND_VARIANT
ol	P942-K02	OL	DAMIT WEITER	dieselbe Reihe fortführen	36	f55v|f69v|f75r|f81v|f82r|f83r|f88r	BICHANNEL	PRIMARY_FORM
chol	P942-K02	OL	DAMIT WEITER	dieselbe Reihe fortführen	22	f10r|f11r|f13r|f56r|f67r2|f69v|f70v|f88r	BICHANNEL	POSITION_OR_HAND_VARIANT
qol	P942-K02	OL	DAMIT WEITER	dieselbe Reihe fortführen	16	f55v|f75r|f81v|f82r|f83r	PROSE_ONLY	POSITION_OR_HAND_VARIANT
sol	P942-K02	OL	DAMIT WEITER	dieselbe Reihe fortführen	12	f75r|f82r|f83r	PROSE_ONLY	POSITION_OR_HAND_VARIANT
ls	P942-K02	OL	DAMIT WEITER	dieselbe Reihe fortführen	1	f82r	PROSE_ONLY	POSITION_OR_HAND_VARIANT
daiin	P942-K03	AIIN	NACH SOLLMASS	verzeichneter Sollwert	51	f10r|f11r|f13r|f55v|f56r|f67r2|f70v|f81v|f82r|f83r|f88r	BICHANNEL	PRIMARY_FORM
aiin	P942-K03	AIIN	NACH SOLLMASS	verzeichneter Sollwert	27	f10r|f55v|f56r|f67r2|f69v|f70v|f81v|f82r|f83r|f88r	BICHANNEL	POSITION_OR_HAND_VARIANT
chedy	P942-K04	CHD+Y	DIESEN POSTEN UMSETZEN	zu Gegen- oder Folgeplatz wechseln; dieser Bildplatz	43	f55v|f70v|f75r|f81v|f82r|f83r	BICHANNEL	PRIMARY_FORM
chdy	P942-K04	CHD+Y	DIESEN POSTEN UMSETZEN	zu Gegen- oder Folgeplatz wechseln; dieser Bildplatz	8	f56r|f69v|f75r|f81v|f82r|f83r	BICHANNEL	POSITION_OR_HAND_VARIANT
chedchy	P942-K04	CHD+Y	DIESEN POSTEN UMSETZEN	zu Gegen- oder Folgeplatz wechseln; dieser Bildplatz	1	f83r	PROSE_ONLY	POSITION_OR_HAND_VARIANT
shedy	P942-K05	SHED+DY	ABSETZEN; ENDE	Absetzklasse; Bildeintrag schließen	46	f75r|f81v|f82r|f83r	PROSE_ONLY	PRIMARY_FORM
qokedy	P942-K06	OK+E+DY	KURZ ANSETZEN; ENDE	Bildplatz aktivieren; erster Grad; Bildeintrag schließen	38	f75r|f81v|f82r|f83r	PROSE_ONLY	PRIMARY_FORM
okedy	P942-K06	OK+E+DY	KURZ ANSETZEN; ENDE	Bildplatz aktivieren; erster Grad; Bildeintrag schließen	7	f69v|f75r|f81v|f83r	BICHANNEL	POSITION_OR_HAND_VARIANT
qokeedy	P942-K07	OK+EE+DY	LAENGER ANSETZEN; ENDE	Bildplatz aktivieren; zweiter Grad; Bildeintrag schließen	38	f75r|f82r|f83r	PROSE_ONLY	PRIMARY_FORM
okeedy	P942-K07	OK+EE+DY	LAENGER ANSETZEN; ENDE	Bildplatz aktivieren; zweiter Grad; Bildeintrag schließen	7	f55v|f75r|f81v|f83r	BICHANNEL	POSITION_OR_HAND_VARIANT
qoky	P942-K08	OK+Y	DIESEN POSTEN ANSETZEN	Bildplatz aktivieren; dieser Bildplatz	21	f13r|f75r|f81v|f82r|f83r	PROSE_ONLY	PRIMARY_FORM
oky	P942-K08	OK+Y	DIESEN POSTEN ANSETZEN	Bildplatz aktivieren; dieser Bildplatz	9	f10r|f55v|f68r1|f70v|f81v|f82r|f88r	BICHANNEL	POSITION_OR_HAND_VARIANT
qokchy	P942-K08	OK+Y	DIESEN POSTEN ANSETZEN	Bildplatz aktivieren; dieser Bildplatz	4	f10r|f13r|f55v|f83r	PROSE_ONLY	POSITION_OR_HAND_VARIANT
choky	P942-K08	OK+Y	DIESEN POSTEN ANSETZEN	Bildplatz aktivieren; dieser Bildplatz	3	f56r|f69v	BICHANNEL	POSITION_OR_HAND_VARIANT
okchy	P942-K08	OK+Y	DIESEN POSTEN ANSETZEN	Bildplatz aktivieren; dieser Bildplatz	3	f13r|f56r|f67r2	BICHANNEL	POSITION_OR_HAND_VARIANT
okchey	P942-K08	OK+Y	DIESEN POSTEN ANSETZEN	Bildplatz aktivieren; dieser Bildplatz	1	f13r	PROSE_ONLY	POSITION_OR_HAND_VARIANT
dal	P942-K09	AL	ZUR ZIELSTELLE	Zielplatz	25	f56r|f67r2|f69v|f70v|f75r|f81v|f82r|f83r|f88r	BICHANNEL	PRIMARY_FORM
al	P942-K09	AL	ZUR ZIELSTELLE	Zielplatz	10	f55v|f70v|f75r|f81v|f83r	BICHANNEL	POSITION_OR_HAND_VARIANT
cheal	P942-K09	AL	ZUR ZIELSTELLE	Zielplatz	2	f69v|f82r	BICHANNEL	POSITION_OR_HAND_VARIANT
qokain	P942-K10	OK+AIN	EINE PORTION ANSETZEN	Bildplatz aktivieren; Einheit oder Index	30	f55v|f75r|f81v|f82r|f83r	PROSE_ONLY	PRIMARY_FORM
okain	P942-K10	OK+AIN	EINE PORTION ANSETZEN	Bildplatz aktivieren; Einheit oder Index	6	f67r2|f81v|f82r|f83r	BICHANNEL	POSITION_OR_HAND_VARIANT
chokain	P942-K10	OK+AIN	EINE PORTION ANSETZEN	Bildplatz aktivieren; Einheit oder Index	1	f70v	IMAGE_ONLY	POSITION_OR_HAND_VARIANT
qokeey	P942-K11	OK+EE+Y	LAENGER ANSETZEN	Bildplatz aktivieren; zweiter Grad; dieser Bildplatz	20	f56r|f75r|f81v|f82r|f83r|f88r	PROSE_ONLY	PRIMARY_FORM
okeey	P942-K11	OK+EE+Y	LAENGER ANSETZEN	Bildplatz aktivieren; zweiter Grad; dieser Bildplatz	8	f68r1|f69v|f75r|f81v	BICHANNEL	POSITION_OR_HAND_VARIANT
chokeey	P942-K11	OK+EE+Y	LAENGER ANSETZEN	Bildplatz aktivieren; zweiter Grad; dieser Bildplatz	2	f56r	PROSE_ONLY	POSITION_OR_HAND_VARIANT
s	P942-K12	S	VARIANTE WAEHLEN	Bildklasse auswählen	27	f11r|f13r|f55v|f56r|f67r2|f70v|f75r|f81v|f82r|f83r|f88r	BICHANNEL	PRIMARY_FORM
qokaiin	P942-K13	OK+AIIN	NACH SOLLMASS ANSETZEN	Bildplatz aktivieren; verzeichneter Sollwert	18	f55v|f81v|f82r|f83r	PROSE_ONLY	PRIMARY_FORM
okaiin	P942-K13	OK+AIIN	NACH SOLLMASS ANSETZEN	Bildplatz aktivieren; verzeichneter Sollwert	8	f55v|f56r|f75r|f81v|f88r	PROSE_ONLY	POSITION_OR_HAND_VARIANT
qokal	P942-K14	OK+AL	AN DER ZIELSTELLE ANSETZEN	Bildplatz aktivieren; Zielplatz	16	f75r|f81v|f82r|f83r	PROSE_ONLY	PRIMARY_FORM
okal	P942-K14	OK+AL	AN DER ZIELSTELLE ANSETZEN	Bildplatz aktivieren; Zielplatz	9	f55v|f67r2|f75r|f81v|f82r	BICHANNEL	POSITION_OR_HAND_VARIANT
chokal	P942-K14	OK+AL	AN DER ZIELSTELLE ANSETZEN	Bildplatz aktivieren; Zielplatz	1	f68r1	PROSE_ONLY	POSITION_OR_HAND_VARIANT
shey	P942-K15	SH+E+Y	KURZ HALTEN	Bezug festhalten; erster Grad; dieser Bildplatz	25	f11r|f13r|f68r1|f70v|f75r|f81v|f82r|f83r	BICHANNEL	PRIMARY_FORM
tshey	P942-K15	SH+E+Y	KURZ HALTEN	Bezug festhalten; erster Grad; dieser Bildplatz	1	f82r	PROSE_ONLY	POSITION_OR_HAND_VARIANT
ar	P942-K16	AR	AUS DER QUELLE	Quell- oder Bezugsstelle	21	f55v|f67r2|f69v|f70v|f75r|f83r|f88r	BICHANNEL	PRIMARY_FORM
char	P942-K16	AR	AUS DER QUELLE	Quell- oder Bezugsstelle	4	f10r|f69v|f75r|f82r	BICHANNEL	POSITION_OR_HAND_VARIANT
qoty	P942-K17	OT+Y	DANACH DIESER POSTEN	nächster Bildplatz; dieser Bildplatz	10	f10r|f11r|f13r|f75r|f81v|f82r|f83r	PROSE_ONLY	PRIMARY_FORM
oty	P942-K17	OT+Y	DANACH DIESER POSTEN	nächster Bildplatz; dieser Bildplatz	6	f56r|f69v|f70v|f75r	BICHANNEL	POSITION_OR_HAND_VARIANT
qotchy	P942-K17	OT+Y	DANACH DIESER POSTEN	nächster Bildplatz; dieser Bildplatz	5	f10r|f11r|f56r	PROSE_ONLY	POSITION_OR_HAND_VARIANT
otchey	P942-K17	OT+Y	DANACH DIESER POSTEN	nächster Bildplatz; dieser Bildplatz	3	f56r|f67r2|f83r	PROSE_ONLY	POSITION_OR_HAND_VARIANT
dain	P942-K18	AIN	EINE PORTION	Einheit oder Index	16	f10r|f11r|f67r2|f75r|f81v|f83r	PROSE_ONLY	PRIMARY_FORM
ain	P942-K18	AIN	EINE PORTION	Einheit oder Index	5	f55v|f67r2|f75r	PROSE_ONLY	POSITION_OR_HAND_VARIANT
dar	P942-K19	D_ADDR+AR	AUS DEM BEZEICHNETEN TEIL	Unterplatz; Quell- oder Bezugsstelle	21	f10r|f13r|f67r2|f69v|f70v|f75r|f81v|f82r|f83r|f88r	BICHANNEL	PRIMARY_FORM
okar	P942-K20	OK+AR	AUS DER QUELLE ANSETZEN	Bildplatz aktivieren; Quell- oder Bezugsstelle	13	f55v|f56r|f67r2|f69v|f75r|f81v	BICHANNEL	PRIMARY_FORM
