learned_card_id	component_recipe	workshop_learned_value_de	image_register_value_de	surface_variants	surface_variant_count	events	physical_pages	registers	learning_rule_de
P942-K01	Y	DIESER POSTEN	dieser Bildplatz	dy|chey|y|chy|shy|sy	6	116	f10r|f11r|f13r|f55v|f56r|f67r2|f69v|f70v|f75r|f81v|f82r|f83r|f88r	BIOLOGICAL|HERBAL|PHARMA|ZODIAC	Eine Bedeutung als Ganzkarte lernen; q/s/ch/d-Varianten werden über dieselbe Komponentenfolge erkannt.
P942-K02	OL	DAMIT WEITER	dieselbe Reihe fortführen	ol|chol|qol|sol|ls	5	87	f10r|f11r|f13r|f55v|f56r|f67r2|f69v|f70v|f75r|f81v|f82r|f83r|f88r	BIOLOGICAL|HERBAL|PHARMA|ZODIAC	Eine Bedeutung als Ganzkarte lernen; q/s/ch/d-Varianten werden über dieselbe Komponentenfolge erkannt.
P942-K03	AIIN	NACH SOLLMASS	verzeichneter Sollwert	daiin|aiin	2	78	f10r|f11r|f13r|f55v|f56r|f67r2|f69v|f70v|f81v|f82r|f83r|f88r	BIOLOGICAL|HERBAL|PHARMA|ZODIAC	Eine Bedeutung als Ganzkarte lernen; q/s/ch/d-Varianten werden über dieselbe Komponentenfolge erkannt.
P942-K04	CHD+Y	DIESEN POSTEN UMSETZEN	zu Gegen- oder Folgeplatz wechseln; dieser Bildplatz	chedy|chdy|chedchy	3	52	f55v|f56r|f69v|f70v|f75r|f81v|f82r|f83r	BIOLOGICAL|HERBAL|ZODIAC	Eine Bedeutung als Ganzkarte lernen; q/s/ch/d-Varianten werden über dieselbe Komponentenfolge erkannt.
P942-K05	SHED+DY	ABSETZEN; ENDE	Absetzklasse; Bildeintrag schließen	shedy	1	46	f75r|f81v|f82r|f83r	BIOLOGICAL	Eine Bedeutung als Ganzkarte lernen; q/s/ch/d-Varianten werden über dieselbe Komponentenfolge erkannt.
P942-K06	OK+E+DY	KURZ ANSETZEN; ENDE	Bildplatz aktivieren; erster Grad; Bildeintrag schließen	qokedy|okedy	2	45	f69v|f75r|f81v|f82r|f83r	BIOLOGICAL|ZODIAC	Eine Bedeutung als Ganzkarte lernen; q/s/ch/d-Varianten werden über dieselbe Komponentenfolge erkannt.
P942-K07	OK+EE+DY	LAENGER ANSETZEN; ENDE	Bildplatz aktivieren; zweiter Grad; Bildeintrag schließen	qokeedy|okeedy	2	45	f55v|f75r|f81v|f82r|f83r	BIOLOGICAL|HERBAL	Eine Bedeutung als Ganzkarte lernen; q/s/ch/d-Varianten werden über dieselbe Komponentenfolge erkannt.
P942-K08	OK+Y	DIESEN POSTEN ANSETZEN	Bildplatz aktivieren; dieser Bildplatz	qoky|oky|qokchy|choky|okchy|okchey	6	41	f10r|f13r|f55v|f56r|f67r2|f68r1|f69v|f70v|f75r|f81v|f82r|f83r|f88r	BIOLOGICAL|HERBAL|PHARMA|ZODIAC	Eine Bedeutung als Ganzkarte lernen; q/s/ch/d-Varianten werden über dieselbe Komponentenfolge erkannt.
P942-K09	AL	ZUR ZIELSTELLE	Zielplatz	dal|al|cheal	3	37	f55v|f56r|f67r2|f69v|f70v|f75r|f81v|f82r|f83r|f88r	BIOLOGICAL|HERBAL|PHARMA|ZODIAC	Eine Bedeutung als Ganzkarte lernen; q/s/ch/d-Varianten werden über dieselbe Komponentenfolge erkannt.
P942-K10	OK+AIN	EINE PORTION ANSETZEN	Bildplatz aktivieren; Einheit oder Index	qokain|okain|chokain	3	37	f55v|f67r2|f70v|f75r|f81v|f82r|f83r	BIOLOGICAL|HERBAL|ZODIAC	Eine Bedeutung als Ganzkarte lernen; q/s/ch/d-Varianten werden über dieselbe Komponentenfolge erkannt.
P942-K11	OK+EE+Y	LAENGER ANSETZEN	Bildplatz aktivieren; zweiter Grad; dieser Bildplatz	qokeey|okeey|chokeey	3	30	f56r|f68r1|f69v|f75r|f81v|f82r|f83r|f88r	BIOLOGICAL|HERBAL|PHARMA|ZODIAC	Eine Bedeutung als Ganzkarte lernen; q/s/ch/d-Varianten werden über dieselbe Komponentenfolge erkannt.
P942-K12	S	VARIANTE WAEHLEN	Bildklasse auswählen	s	1	27	f11r|f13r|f55v|f56r|f67r2|f70v|f75r|f81v|f82r|f83r|f88r	BIOLOGICAL|HERBAL|PHARMA|ZODIAC	Eine Bedeutung als Ganzkarte lernen; q/s/ch/d-Varianten werden über dieselbe Komponentenfolge erkannt.
P942-K13	OK+AIIN	NACH SOLLMASS ANSETZEN	Bildplatz aktivieren; verzeichneter Sollwert	qokaiin|okaiin	2	26	f55v|f56r|f75r|f81v|f82r|f83r|f88r	BIOLOGICAL|HERBAL|PHARMA	Eine Bedeutung als Ganzkarte lernen; q/s/ch/d-Varianten werden über dieselbe Komponentenfolge erkannt.
P942-K14	OK+AL	AN DER ZIELSTELLE ANSETZEN	Bildplatz aktivieren; Zielplatz	qokal|okal|chokal	3	26	f55v|f67r2|f68r1|f75r|f81v|f82r|f83r	BIOLOGICAL|HERBAL|ZODIAC	Eine Bedeutung als Ganzkarte lernen; q/s/ch/d-Varianten werden über dieselbe Komponentenfolge erkannt.
P942-K15	SH+E+Y	KURZ HALTEN	Bezug festhalten; erster Grad; dieser Bildplatz	shey|tshey	2	26	f11r|f13r|f68r1|f70v|f75r|f81v|f82r|f83r	BIOLOGICAL|HERBAL|ZODIAC	Eine Bedeutung als Ganzkarte lernen; q/s/ch/d-Varianten werden über dieselbe Komponentenfolge erkannt.
P942-K16	AR	AUS DER QUELLE	Quell- oder Bezugsstelle	ar|char	2	25	f10r|f55v|f67r2|f69v|f70v|f75r|f82r|f83r|f88r	BIOLOGICAL|HERBAL|PHARMA|ZODIAC	Eine Bedeutung als Ganzkarte lernen; q/s/ch/d-Varianten werden über dieselbe Komponentenfolge erkannt.
P942-K17	OT+Y	DANACH DIESER POSTEN	nächster Bildplatz; dieser Bildplatz	qoty|oty|qotchy|otchey	4	24	f10r|f11r|f13r|f56r|f67r2|f69v|f70v|f75r|f81v|f82r|f83r	BIOLOGICAL|HERBAL|ZODIAC	Eine Bedeutung als Ganzkarte lernen; q/s/ch/d-Varianten werden über dieselbe Komponentenfolge erkannt.
P942-K18	AIN	EINE PORTION	Einheit oder Index	dain|ain	2	21	f10r|f11r|f55v|f67r2|f75r|f81v|f83r	BIOLOGICAL|HERBAL|ZODIAC	Eine Bedeutung als Ganzkarte lernen; q/s/ch/d-Varianten werden über dieselbe Komponentenfolge erkannt.
