token_order	field_id	field_position	position_class	source_field_mode	master_card_id	portable_value_de	harmonized_surface	mixed_hand_surface	selection_basis	surface_changed	mixed_surface_frame	still_matches_source_field_mode	surface_registered	surface_unique_to_card	field_closure	is_field_final
1	N1	1	INITIAL	CH	MC080	Ansatz	chor	or	POSITION_TIE_MASTER_OR_LEXICAL	YES	O	NO	YES	YES	OPEN	NO
2	N1	2	MEDIAL	CH	MC039	Sollmaß	chaiin	daiin	POSITION_MAJORITY	YES	D	NO	YES	YES	OPEN	NO
3	N1	3	MEDIAL	CH	MC147	kurz wärmen	cheky	cheky	POSITION_MAJORITY	NO	CH	YES	YES	YES	OPEN	NO
4	N1	4	MEDIAL	CH	MC153	weiter	cheol	ol	POSITION_MAJORITY	YES	O	NO	YES	YES	OPEN	NO
5	N1	5	FINAL	CH	MC123	dies	chey	dy	POSITION_TIE_MASTER_OR_LEXICAL	YES	D	NO	YES	YES	OPEN	YES
6	N2	1	INITIAL	D	MC142	vom vorigen	dchol	dchol	POSITION_TIE_MASTER_OR_LEXICAL	NO	D	YES	YES	YES	OPEN	NO
7	N2	2	MEDIAL	D	MC071	Grundteil	dchey	dchey	CARD_OVERALL_FALLBACK	NO	D	YES	YES	YES	OPEN	NO
8	N2	3	MEDIAL	D	MC039	Sollmaß	daiin	daiin	POSITION_MAJORITY	NO	D	YES	YES	YES	OPEN	NO
9	N2	4	MEDIAL	D	MC154	dorthin	dal	al	POSITION_TIE_MASTER_OR_LEXICAL	YES	X	NO	YES	YES	OPEN	NO
10	N2	5	FINAL	D	MC055	davon	dar	dar	POSITION_MAJORITY	NO	D	YES	YES	YES	OPEN	YES
11	N3	1	INITIAL	O	MC080	Ansatz	or	or	POSITION_TIE_MASTER_OR_LEXICAL	NO	O	YES	YES	YES	CLOSED	NO
12	N3	2	MEDIAL	O	MC017	Anteil zugeben	okain	okain	POSITION_MAJORITY	NO	O	YES	YES	YES	CLOSED	NO
13	N3	3	MEDIAL	O	MC002	lange einwirken	okeey	qokeey	POSITION_MAJORITY	YES	Q	NO	YES	YES	CLOSED	NO
14	N3	4	MEDIAL	O	MC153	weiter	ol	ol	POSITION_MAJORITY	NO	O	YES	YES	YES	CLOSED	NO
15	N3	5	FINAL	O	MC028	weiterführen; Schluss	olchedy	olchedy	POSITION_MAJORITY	NO	O	YES	YES	YES	CLOSED	YES
16	N4	1	INITIAL	Q	MC120	bemessen	qokaiin	qokaiin	POSITION_MAJORITY	NO	Q	YES	YES	YES	CLOSED	NO
17	N4	2	MEDIAL	Q	MC040	dorthin einsetzen	qokal	okal	POSITION_TIE_MASTER_OR_LEXICAL	YES	O	NO	YES	YES	CLOSED	NO
18	N4	3	MEDIAL	Q	MC002	lange einwirken	qokeey	qokeey	POSITION_MAJORITY	NO	Q	YES	YES	YES	CLOSED	NO
19	N4	4	MEDIAL	Q	MC026	einsetzen	qoky	qoky	POSITION_MAJORITY	NO	Q	YES	YES	YES	CLOSED	NO
20	N4	5	FINAL	Q	MC083	kurz einwirken; Schluss	qokedy	qokedy	POSITION_MAJORITY	NO	Q	YES	YES	YES	CLOSED	YES
21	N5	1	INITIAL	S	MC039	Sollmaß	saiin	saiin	POSITION_MAJORITY	NO	S	YES	YES	YES	CLOSED	NO
22	N5	2	MEDIAL	S	MC113	am Ziel absetzen	shedal	shedal	POSITION_MAJORITY	NO	S	YES	YES	YES	CLOSED	NO
23	N5	3	MEDIAL	S	MC137	Kurzvorbereitung	shecthy	shecthy	POSITION_MAJORITY	NO	S	YES	YES	YES	CLOSED	NO
24	N5	4	MEDIAL	S	MC161	bereit	shcthy	checthy	POSITION_TIE_MASTER_OR_LEXICAL	YES	CH	NO	YES	YES	CLOSED	NO
25	N5	5	FINAL	S	MC025	überführen; Schluss	schedy	schedy	POSITION_MAJORITY	NO	S	YES	YES	YES	CLOSED	YES
