token_order	master_card_id	position_class	position_observations	position_distribution	overall_distribution	selected_surface	selection_basis
1	MC080	INITIAL	2	or:1|sor:1	chor:3|or:2|shor:1|sor:1	or	POSITION_TIE_MASTER_OR_LEXICAL
2	MC039	MEDIAL	9	aiin:1|chaiin:1|daiin:6|taiin:1	aiin:3|chaiin:1|daiin:11|saiin:4|taiin:1	daiin	POSITION_MAJORITY
3	MC147	MEDIAL	2	cheky:2	cheky:3	cheky	POSITION_MAJORITY
4	MC153	MEDIAL	14	cheol:1|chol:3|ol:7|qol:2|tol:1	cheol:1|chol:3|ol:8|qol:3|sol:3|tol:1	ol	POSITION_MAJORITY
5	MC123	FINAL	3	dy:1|shy:1|sy:1	chey:7|chy:3|dy:5|shy:1|sy:1|y:1	dy	POSITION_TIE_MASTER_OR_LEXICAL
6	MC142	INITIAL	2	dchol:1|schol:1	dchol:1|schol:1	dchol	POSITION_TIE_MASTER_OR_LEXICAL
7	MC071	MEDIAL	0	NONE	dchey:1	dchey	CARD_OVERALL_FALLBACK
8	MC039	MEDIAL	9	aiin:1|chaiin:1|daiin:6|taiin:1	aiin:3|chaiin:1|daiin:11|saiin:4|taiin:1	daiin	POSITION_MAJORITY
9	MC154	MEDIAL	3	al:1|dal:1|tal:1	al:1|chal:1|cheal:1|dal:5|sal:1|tal:1	al	POSITION_TIE_MASTER_OR_LEXICAL
10	MC055	FINAL	2	dar:2	char:2|dar:2|sar:1	dar	POSITION_MAJORITY
11	MC080	INITIAL	2	or:1|sor:1	chor:3|or:2|shor:1|sor:1	or	POSITION_TIE_MASTER_OR_LEXICAL
12	MC017	MEDIAL	3	okain:2|qokain:1	okain:3|qokain:4	okain	POSITION_MAJORITY
13	MC002	MEDIAL	4	okeey:1|qokeey:3	okeey:1|qokeey:6	qokeey	POSITION_MAJORITY
14	MC153	MEDIAL	14	cheol:1|chol:3|ol:7|qol:2|tol:1	cheol:1|chol:3|ol:8|qol:3|sol:3|tol:1	ol	POSITION_MAJORITY
15	MC028	FINAL	1	olchedy:1	olchedy:1|qolchedy:2	olchedy	POSITION_MAJORITY
16	MC120	INITIAL	7	okaiin:1|qokaiin:6	okaiin:1|qokaiin:8	qokaiin	POSITION_MAJORITY
17	MC040	MEDIAL	4	okal:2|qokal:2	okal:2|qokal:4	okal	POSITION_TIE_MASTER_OR_LEXICAL
18	MC002	MEDIAL	4	okeey:1|qokeey:3	okeey:1|qokeey:6	qokeey	POSITION_MAJORITY
19	MC026	MEDIAL	6	choky:2|oky:1|qoky:3	choky:2|oky:1|qoky:7	qoky	POSITION_MAJORITY
20	MC083	FINAL	5	qokedy:5	qokedy:8	qokedy	POSITION_MAJORITY
21	MC039	INITIAL	6	aiin:1|daiin:2|saiin:3	aiin:3|chaiin:1|daiin:11|saiin:4|taiin:1	saiin	POSITION_MAJORITY
22	MC113	MEDIAL	1	shedal:1	shedal:2	shedal	POSITION_MAJORITY
23	MC137	MEDIAL	1	shecthy:1	shecthy:1	shecthy	POSITION_MAJORITY
24	MC161	MEDIAL	6	checthy:2|cthy:2|shcthy:2	checthy:2|cthy:3|shcthy:2	checthy	POSITION_TIE_MASTER_OR_LEXICAL
25	MC025	FINAL	1	schedy:1	dchedy:1|schedy:2|tchedy:1	schedy	POSITION_MAJORITY
