profile	all_carriers	paragraph_counts	eligible_families	all_single_column_deficits
0	a	[35, 17, 18, 10, 16, 33, 17, 19, 8, 14, 34, 7, 14, 35, 35, 32, 41, 45, 25, 46, 38, 31, 33, 11, 30, 14, 7, 6, 4, 16, 15, 12, 4, 15, 14, 7, 17, 42, 20, 17, 20, 27, 12, 18, 12, 7, 15, 20, 24, 16, 15, 11, 16, 43, 29, 19, 3, 28, 9, 17, 27, 18, 22, 14, 16, 15, 5, 7, 29, 25, 31]		"{""AQUA"":[{""count"":0,""required"":1,""observed"":0},{""count"":1,""required"":4,""observed"":0},{""count"":2,""required"":13,""observed"":0},{""count"":3,""required"":6,""observed"":1},{""count"":4,""required"":6,""observed"":2},{""count"":5,""required"":2,""observed"":1}],""HEAD"":[{""count"":0,""required"":22,""observed"":0},{""count"":1,""required"":8,""observed"":0},{""count"":2,""required"":2,""observed"":0}],""STOMACH"":[{""count"":0,""required"":19,""observed"":0},{""count"":1,""required"":13,""observed"":0}],""OCULUS"":[{""count"":0,""required"":25,""observed"":0},{""count"":1,""required"":5,""observed"":0},{""count"":2,""required"":2,""observed"":0}],""LIVER"":[{""count"":0,""required"":23,""observed"":0},{""count"":1,""required"":9,""observed"":0}],""SPLEEN"":[{""count"":0,""required"":25,""observed"":0},{""count"":1,""required"":7,""observed"":0}],""SKIN"":[{""count"":0,""required"":26,""observed"":0},{""count"":1,""required"":4,""observed"":0},{""count"":2,""required"":2,""observed"":0}],""LUNG"":[{""count"":0,""required"":27,""observed"":0},{""count"":1,""required"":5,""observed"":0}],""KIDNEY"":[{""count"":0,""required"":27,""observed"":0},{""count"":1,""required"":5,""observed"":0}],""BLADDER"":[{""count"":0,""required"":29,""observed"":0},{""count"":1,""required"":3,""observed"":0}],""WOMB"":[{""count"":0,""required"":29,""observed"":0},{""count"":1,""required"":2,""observed"":0},{""count"":2,""required"":1,""observed"":0}],""NERVOUS_TISSUE"":[{""count"":0,""required"":29,""observed"":0},{""count"":1,""required"":2,""observed"":0},{""count"":2,""required"":1,""observed"":0}],""HYDROPS"":[{""count"":0,""required"":27,""observed"":0},{""count"":1,""required"":5,""observed"":0}]}"
1	aa aan cheory chkam choto chotor cphh cphhd cphhdy ecphh ecphhd ecphhdy eory hecphh hecphhd hecphhdy heory hhd hhdy hkam hoto hotor ltshey oaa oaan oltshey ork orka orkar otcho otchot otchoto otchotor phh phhd phhdy polk polke polkee polkeey rk rka rkar shecphh shecphhd shecphhdy tchot tchoto tchotor	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]		"{""AQUA"":[{""count"":1,""required"":4,""observed"":1},{""count"":2,""required"":13,""observed"":0},{""count"":3,""required"":6,""observed"":0},{""count"":4,""required"":6,""observed"":0},{""count"":5,""required"":2,""observed"":0}],""HEAD"":[{""count"":1,""required"":8,""observed"":1},{""count"":2,""required"":2,""observed"":0}],""STOMACH"":[{""count"":1,""required"":13,""observed"":1}],""OCULUS"":[{""count"":1,""required"":5,""observed"":1},{""count"":2,""required"":2,""observed"":0}],""LIVER"":[{""count"":1,""required"":9,""observed"":1}],""SPLEEN"":[{""count"":1,""required"":7,""observed"":1}],""SKIN"":[{""count"":1,""required"":4,""observed"":1},{""count"":2,""required"":2,""observed"":0}],""LUNG"":[{""count"":1,""required"":5,""observed"":1}],""KIDNEY"":[{""count"":1,""required"":5,""observed"":1}],""BLADDER"":[{""count"":1,""required"":3,""observed"":1}],""WOMB"":[{""count"":1,""required"":2,""observed"":1},{""count"":2,""required"":1,""observed"":0}],""NERVOUS_TISSUE"":[{""count"":1,""required"":2,""observed"":1},{""count"":2,""required"":1,""observed"":0}],""HYDROPS"":[{""count"":1,""required"":5,""observed"":1}]}"
2	ad ady alshee alshees cheyky cthc cthct cthcth cthcthe cthcthey hekaiin kad kady kail koroi koroii koroiin ltalo ltalor okad okady okail orchey oroiin qokad qokady qokail qotor rchek rcheky shekaiin shepche shepched shepchedy thc thct thcth thcthe thcthey tot toto totol	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]		"{""AQUA"":[{""count"":1,""required"":4,""observed"":1},{""count"":2,""required"":13,""observed"":0},{""count"":3,""required"":6,""observed"":0},{""count"":4,""required"":6,""observed"":0},{""count"":5,""required"":2,""observed"":0}],""HEAD"":[{""count"":1,""required"":8,""observed"":1},{""count"":2,""required"":2,""observed"":0}],""STOMACH"":[{""count"":1,""required"":13,""observed"":1}],""OCULUS"":[{""count"":1,""required"":5,""observed"":1},{""count"":2,""required"":2,""observed"":0}],""LIVER"":[{""count"":1,""required"":9,""observed"":1}],""SPLEEN"":[{""count"":1,""required"":7,""observed"":1}],""SKIN"":[{""count"":1,""required"":4,""observed"":1},{""count"":2,""required"":2,""observed"":0}],""LUNG"":[{""count"":1,""required"":5,""observed"":1}],""KIDNEY"":[{""count"":1,""required"":5,""observed"":1}],""BLADDER"":[{""count"":1,""required"":3,""observed"":1}],""WOMB"":[{""count"":1,""required"":2,""observed"":1},{""count"":2,""required"":1,""observed"":0}],""NERVOUS_TISSUE"":[{""count"":1,""required"":2,""observed"":1},{""count"":2,""required"":1,""observed"":0}],""HYDROPS"":[{""count"":1,""required"":5,""observed"":1}]}"
3	ag dag daral efai efaii efaiin heckhd heckhdy kees koin okees okoin otchs otchsd otchsdy qokees qokoin sheckhd sheckhdy tchs tchsd tchsdy ydar ydara ydaral ye yef yefa yefai yefaii yefaiin	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]		"{""AQUA"":[{""count"":1,""required"":4,""observed"":1},{""count"":2,""required"":13,""observed"":0},{""count"":3,""required"":6,""observed"":0},{""count"":4,""required"":6,""observed"":0},{""count"":5,""required"":2,""observed"":0}],""HEAD"":[{""count"":1,""required"":8,""observed"":1},{""count"":2,""required"":2,""observed"":0}],""STOMACH"":[{""count"":1,""required"":13,""observed"":1}],""OCULUS"":[{""count"":1,""required"":5,""observed"":1},{""count"":2,""required"":2,""observed"":0}],""LIVER"":[{""count"":1,""required"":9,""observed"":1}],""SPLEEN"":[{""count"":1,""required"":7,""observed"":1}],""SKIN"":[{""count"":1,""required"":4,""observed"":1},{""count"":2,""required"":2,""observed"":0}],""LUNG"":[{""count"":1,""required"":5,""observed"":1}],""KIDNEY"":[{""count"":1,""required"":5,""observed"":1}],""BLADDER"":[{""count"":1,""required"":3,""observed"":1}],""WOMB"":[{""count"":1,""required"":2,""observed"":1},{""count"":2,""required"":1,""observed"":0}],""NERVOUS_TISSUE"":[{""count"":1,""required"":2,""observed"":1},{""count"":2,""required"":1,""observed"":0}],""HYDROPS"":[{""count"":1,""required"":5,""observed"":1}]}"
4	ai	[11, 8, 9, 6, 6, 16, 8, 6, 3, 4, 22, 5, 10, 23, 20, 22, 21, 19, 3, 27, 17, 12, 12, 2, 15, 6, 4, 5, 2, 10, 5, 7, 2, 9, 9, 4, 11, 21, 8, 11, 14, 17, 9, 7, 5, 4, 11, 15, 7, 9, 9, 4, 6, 28, 6, 9, 2, 17, 3, 5, 15, 11, 13, 2, 7, 8, 2, 3, 12, 10, 11]		"{""AQUA"":[{""count"":0,""required"":1,""observed"":0},{""count"":1,""required"":4,""observed"":0},{""count"":2,""required"":13,""observed"":6},{""count"":3,""required"":6,""observed"":4},{""count"":4,""required"":6,""observed"":5}],""HEAD"":[{""count"":0,""required"":22,""observed"":0},{""count"":1,""required"":8,""observed"":0}],""STOMACH"":[{""count"":0,""required"":19,""observed"":0},{""count"":1,""required"":13,""observed"":0}],""OCULUS"":[{""count"":0,""required"":25,""observed"":0},{""count"":1,""required"":5,""observed"":0}],""LIVER"":[{""count"":0,""required"":23,""observed"":0},{""count"":1,""required"":9,""observed"":0}],""SPLEEN"":[{""count"":0,""required"":25,""observed"":0},{""count"":1,""required"":7,""observed"":0}],""SKIN"":[{""count"":0,""required"":26,""observed"":0},{""count"":1,""required"":4,""observed"":0}],""LUNG"":[{""count"":0,""required"":27,""observed"":0},{""count"":1,""required"":5,""observed"":0}],""KIDNEY"":[{""count"":0,""required"":27,""observed"":0},{""count"":1,""required"":5,""observed"":0}],""BLADDER"":[{""count"":0,""required"":29,""observed"":0},{""count"":1,""required"":3,""observed"":0}],""WOMB"":[{""count"":0,""required"":29,""observed"":0},{""count"":1,""required"":2,""observed"":0}],""NERVOUS_TISSUE"":[{""count"":0,""required"":29,""observed"":0},{""count"":1,""required"":2,""observed"":0}],""HYDROPS"":[{""count"":0,""required"":27,""observed"":0},{""count"":1,""required"":5,""observed"":0}]}"
5	aii	[2, 2, 1, 2, 1, 7, 6, 4, 3, 3, 16, 4, 9, 14, 17, 17, 14, 13, 2, 15, 5, 3, 7, 0, 5, 2, 2, 5, 0, 3, 3, 1, 1, 3, 2, 0, 5, 8, 2, 4, 0, 9, 5, 3, 4, 3, 2, 1, 2, 3, 1, 2, 4, 17, 2, 5, 0, 13, 1, 1, 7, 3, 4, 0, 7, 5, 2, 1, 7, 5, 5]	AQUA	"{""HEAD"":[{""count"":0,""required"":22,""observed"":6}],""STOMACH"":[{""count"":0,""required"":19,""observed"":6},{""count"":1,""required"":13,""observed"":9}],""OCULUS"":[{""count"":0,""required"":25,""observed"":6}],""LIVER"":[{""count"":0,""required"":23,""observed"":6}],""SPLEEN"":[{""count"":0,""required"":25,""observed"":6}],""SKIN"":[{""count"":0,""required"":26,""observed"":6}],""LUNG"":[{""count"":0,""required"":27,""observed"":6}],""KIDNEY"":[{""count"":0,""required"":27,""observed"":6}],""BLADDER"":[{""count"":0,""required"":29,""observed"":6}],""WOMB"":[{""count"":0,""required"":29,""observed"":6}],""NERVOUS_TISSUE"":[{""count"":0,""required"":29,""observed"":6}],""HYDROPS"":[{""count"":0,""required"":27,""observed"":6}]}"
6	aiid aiidy daiid daiidy dalal dka dkai dkain dykain eckha eckhal heckha heckhal id idy iid iidy keeda keedal ofa ofal okeeda okeedal qokeeda qokeedal sheckha sheckhal shekal ya yar yko ykol	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]		"{""AQUA"":[{""count"":1,""required"":4,""observed"":1},{""count"":2,""required"":13,""observed"":0},{""count"":3,""required"":6,""observed"":0},{""count"":4,""required"":6,""observed"":0},{""count"":5,""required"":2,""observed"":0}],""HEAD"":[{""count"":1,""required"":8,""observed"":1},{""count"":2,""required"":2,""observed"":0}],""STOMACH"":[{""count"":1,""required"":13,""observed"":1}],""OCULUS"":[{""count"":1,""required"":5,""observed"":1},{""count"":2,""required"":2,""observed"":0}],""LIVER"":[{""count"":1,""required"":9,""observed"":1}],""SPLEEN"":[{""count"":1,""required"":7,""observed"":1}],""SKIN"":[{""count"":1,""required"":4,""observed"":1},{""count"":2,""required"":2,""observed"":0}],""LUNG"":[{""count"":1,""required"":5,""observed"":1}],""KIDNEY"":[{""count"":1,""required"":5,""observed"":1}],""BLADDER"":[{""count"":1,""required"":3,""observed"":1}],""WOMB"":[{""count"":1,""required"":2,""observed"":1},{""count"":2,""required"":1,""observed"":0}],""NERVOUS_TISSUE"":[{""count"":1,""required"":2,""observed"":1},{""count"":2,""required"":1,""observed"":0}],""HYDROPS"":[{""count"":1,""required"":5,""observed"":1}]}"
7	aiii aiiin	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]	LIVER,SPLEEN,LUNG,KIDNEY,BLADDER,HYDROPS	"{""AQUA"":[{""count"":2,""required"":13,""observed"":0},{""count"":3,""required"":6,""observed"":1},{""count"":4,""required"":6,""observed"":0},{""count"":5,""required"":2,""observed"":0}],""HEAD"":[{""count"":2,""required"":2,""observed"":0}],""STOMACH"":[{""count"":1,""required"":13,""observed"":10}],""OCULUS"":[{""count"":2,""required"":2,""observed"":0}],""SKIN"":[{""count"":2,""required"":2,""observed"":0}],""WOMB"":[{""count"":2,""required"":1,""observed"":0}],""NERVOUS_TISSUE"":[{""count"":2,""required"":1,""observed"":0}]}"
8	aiil alory aol chckha chckhal chdolt chdoltd chdoltdy daiil dchc dchck dchckh dchckhe dchckhed dchckhedy dolt doltd doltdy eded ededy hckha hckhal hdolt hdoltd hdoltdy heked hekedy iil kary keded kededy kyc kych kychd kychdy loke lokee lokeed lokeedy loroi loroin lory ltd ltdy okede okeded okededy okyc okych okychd okychdy oltd oltdy oroin qch qche qched qchedy qck qckh qckhe qckhed qckhedy qeeda qeedar qokede qokeded qokededy qokyc qokych qokychd qokychdy roin shedo shedor sheked shekedy soko sokol tchdo tchdol tchdolt tchdoltd tchdoltdy tdy tshedo tshedor ychd ychdy	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]		"{""AQUA"":[{""count"":1,""required"":4,""observed"":1},{""count"":2,""required"":13,""observed"":0},{""count"":3,""required"":6,""observed"":0},{""count"":4,""required"":6,""observed"":0},{""count"":5,""required"":2,""observed"":0}],""HEAD"":[{""count"":1,""required"":8,""observed"":1},{""count"":2,""required"":2,""observed"":0}],""STOMACH"":[{""count"":1,""required"":13,""observed"":1}],""OCULUS"":[{""count"":1,""required"":5,""observed"":1},{""count"":2,""required"":2,""observed"":0}],""LIVER"":[{""count"":1,""required"":9,""observed"":1}],""SPLEEN"":[{""count"":1,""required"":7,""observed"":1}],""SKIN"":[{""count"":1,""required"":4,""observed"":1},{""count"":2,""required"":2,""observed"":0}],""LUNG"":[{""count"":1,""required"":5,""observed"":1}],""KIDNEY"":[{""count"":1,""required"":5,""observed"":1}],""BLADDER"":[{""count"":1,""required"":3,""observed"":1}],""WOMB"":[{""count"":1,""required"":2,""observed"":1},{""count"":2,""required"":1,""observed"":0}],""NERVOUS_TISSUE"":[{""count"":1,""required"":2,""observed"":1},{""count"":2,""required"":1,""observed"":0}],""HYDROPS"":[{""count"":1,""required"":5,""observed"":1}]}"
9	aiin	[2, 2, 1, 2, 1, 7, 6, 4, 3, 3, 13, 4, 8, 14, 15, 17, 13, 13, 1, 15, 4, 3, 6, 0, 5, 2, 2, 5, 0, 3, 3, 1, 1, 3, 2, 0, 5, 7, 2, 4, 0, 8, 5, 3, 4, 3, 2, 1, 2, 3, 1, 2, 3, 16, 2, 5, 0, 13, 1, 1, 6, 3, 4, 0, 7, 5, 1, 1, 7, 5, 4]		"{""AQUA"":[{""count"":2,""required"":13,""observed"":11}],""HEAD"":[{""count"":0,""required"":22,""observed"":6}],""STOMACH"":[{""count"":0,""required"":19,""observed"":6},{""count"":1,""required"":13,""observed"":11}],""OCULUS"":[{""count"":0,""required"":25,""observed"":6}],""LIVER"":[{""count"":0,""required"":23,""observed"":6}],""SPLEEN"":[{""count"":0,""required"":25,""observed"":6}],""SKIN"":[{""count"":0,""required"":26,""observed"":6}],""LUNG"":[{""count"":0,""required"":27,""observed"":6}],""KIDNEY"":[{""count"":0,""required"":27,""observed"":6}],""BLADDER"":[{""count"":0,""required"":29,""observed"":6}],""WOMB"":[{""count"":0,""required"":29,""observed"":6}],""NERVOUS_TISSUE"":[{""count"":0,""required"":29,""observed"":6}],""HYDROPS"":[{""count"":0,""required"":27,""observed"":6}]}"
