trace_no	clause_id	record	page	silent_owner_de	source_steps	component_stream	card_stream	surface_stream	decoded_workshop_instruction_de	semantic_roundtrip	exact_card_roundtrip	master_card_prose_used
1	I023-C01	B1	f81v	gemeinsame zweireihige Figuren-/Beckenstation	3	AL | E+OL | CHD+DY	PROC055 PROC093 PROC094	sal teol dchdy	den laufenden Posten weiter an der bezeichneten Stelle kurz umfüllen und den Schritt schließen	PASS	NEEDS_LOCAL_ALLOGRAPH	NO
2	I040-C03	B2	f82r	kleine Randstationen des unteren Beckens	3	AIIN | OT+EE+Y | OK+AIIN	PROC009 PROC109 PROC038	aiin oteey qokaiin	danach den laufenden Posten nach vorgeschriebenem Maß länger einsetzen	PASS	PASS	NO
3	I064-C02	B3	f83r	unverbundener Zwischenbereich	5	CTH+Y | AL | Y | AIIN | SHED+AL	PROC014 PROC055 PROC019 PROC009 PROC142	shcthy dal sy saiin shedal	den laufenden Posten nach vorgeschriebenem Maß an der bezeichneten Stelle bis bereit ablagern	PASS	PASS	NO
4	I091-C01	B4	f83r	linke Hauptstation mit offenem Fransenlauf	4	OR | Y | O+CKH+E+Y | AIR+Y+DY	PROC016 PROC019 PROC161 PROC162	or chey qockhey dairydy	den Ansatz mit dem laufenden Bestand kurz durch den Durchlass führen und den Schritt schließen	PASS	PASS	NO
5	I096-C04	B5	f83r	linke Fransenstation im B5-Nachtrag	4	AIIN | OL | DA+IIN | CHD+Y	PROC009 PROC013 PROC169 PROC042	aiin sol daiiin chedy	den laufenden Posten weiter nach vorgeschriebenem Maß bis zur zweiten Sollstufe abmessen und umsetzen	PASS	NEEDS_LOCAL_ALLOGRAPH	NO
6	I097-C04	B6	f83r	rechter S-Lauf im B6-Nachtrag	6	OL | AIIN | OL | AIN | Y | L+AL+OR	PROC013 PROC009 PROC013 PROC156 PROC019 PROC173	ol daiin ol dain chey ldalor	den laufenden Posten weiter nach vorgeschriebenem Maß als Portion an der bezeichneten Stelle hinleiten	PASS	NEEDS_LOCAL_ALLOGRAPH	NO
7	I001-C08	H1	f10r	abgebildete breit gezähnte radialblütige Pflanze	3	OT+CH+OL | OL | CTH+Y	PROC012 PROC013 PROC014	qotchol chol cthy	danach den laufenden Posten weiter bis bereit abnehmen	PASS	NEEDS_LOCAL_ALLOGRAPH	NO
8	I002-C02	H2	f10r	abgebildete breit gezähnte radialblütige Pflanze	9	CTH+Y | OR | CTH+AIIN | O+CTH+OL+Y | Y | Y | AIIN | Y | OT+CH+OR	PROC014 PROC016 PROC017 PROC018 PROC019 PROC019 PROC009 PROC019 PROC020	cthy chor cthaiin qoctholy dy chy taiin shy qotchor	danach den laufenden Posten weiter nach vorgeschriebenem Maß im Arbeitsgang bis bereit abziehen	PASS	PASS	NO
9	I002-C03	H2	f10r	abgebildete breit gezähnte radialblütige Pflanze	8	OR | OT+OL | OL | OL+OR | OL | AIIN | AR | O+Y+K+OR	PROC016 PROC021 PROC013 PROC022 PROC013 PROC009 PROC003 PROC023	chor otol chol cholor chol daiin dar oykchor	danach den laufenden Posten weiter von dort nach vorgeschriebenem Maß im Arbeitsgang zugeben	PASS	NEEDS_LOCAL_ALLOGRAPH	NO
10	I002-C04	H2	f10r	abgebildete breit gezähnte radialblütige Pflanze	4	OR | OR | Y | K+IIN	PROC016 PROC016 PROC019 PROC024	shor chor chy kaiiin	den laufenden Posten bis zur Sollstufe zugeben	PASS	PASS	NO
11	I004-C03	H3	f11r	abgebildete dicht blau blühende Kronenpflanze	6	Y | AIIN | OT+Y | OK+OL | CTH+Y | Y	PROC019 PROC009 PROC036 PROC037 PROC014 PROC019	dy daiin qotchy okchol cthy dy	danach den laufenden Posten weiter nach vorgeschriebenem Maß bis bereit einsetzen	PASS	NEEDS_LOCAL_ALLOGRAPH	NO
12	I007-C02	H4	f55v	abgebildete breitblättrige rispige Pflanze	4	OL+T+Y | OR | Y | OR+AIN	PROC049 PROC016 PROC019 PROC050	oltchy or y orain	den laufenden Posten weiter als Portion eintragen	PASS	PASS	NO
13	I008-C02	H5	f56r	abgebildete mehrköpfige stachelige Pflanze	5	HO | HO+AL+Y | AIIN | HO | K+OL	PROC052 PROC053 PROC009 PROC052 PROC054	cho chodaly daiin sho kchol	den laufenden Posten weiter nach vorgeschriebenem Maß an der bezeichneten Stelle zuführen	PASS	PASS	NO
14	I008-C05	H5	f56r	abgebildete mehrköpfige stachelige Pflanze	4	AL | OL | HO+Y | OK+Y	PROC055 PROC034 PROC056 PROC008	dal schol choy choky	den laufenden Posten weiter an der bezeichneten Stelle anlegen	PASS	NEEDS_LOCAL_ALLOGRAPH	NO
